row_num,qid,video_name,gif_num,question,correct_answer,blip2_visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,yes,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description confirms that crong misses his shot, aligning with both the pure language and visual language answers.","the scene shows crong missing the basketball shot, which directly supports the conclusion that he did not score.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,i do not know,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description confirms that pororo is apologizing to poby, which directly supports the answers provided.","the scene shows pororo in a position to apologize, aligning with the dialogue in the subtitles.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby they are going to do,"eddy tells poby, ""poby, we are going to leave now.""",eddy tells poby that they are going to leave now.,"eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description accurately reflects the context of the dialogue, confirming that eddy is telling poby they are going to leave. the scene description and subtitles support this action clearly.","the scene shows eddy and poby in a setting where the dialogue about leaving is relevant, aligning with the visual description.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,a polar bear - psp - wikihow,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description and scene description confirm that pororo almost forgets to leave with the camera, aligning perfectly with both the pure language and visual language answers.","the scene shows pororo placing the camera on the floor, which directly supports the claim.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,i felt sad,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description directly relates to pororo's emotional response to the wilting flower, confirming that he felt sad.","the scene shows a wilted flower, which aligns with the emotional context provided.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,a bear and a pig will go to picnic,loopy will go on a picnic tomorrow.,loopy the pig and a bear will go on a picnic tomorrow.,loopy the pig and a bear will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description accurately reflects the characters involved in the picnic and aligns with the temporal aspect of the question, confirming that loopy is preparing for the picnic tomorrow.","the scene shows loopy cooking, which supports the idea of preparation for the picnic.",True
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",a crocodal croco,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and startled in the dark while holding a lamp that has gone out.,crong is scared of pororo because he is surprised and startled in the dark while holding a lamp that has gone out.,"0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description accurately depicts crong's surprised expression and his action of holding a lamp, which aligns with the context of the question.","the visual shows crong with an open mouth and a lamp, confirming his startled state in a dark environment.",False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,a spoon,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is adding salt to her mixing bowl, which aligns with both the pure language and visual language answers.","the scene description and subtitles confirm the action of adding salt, supporting the conclusion.",False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby",eddy thinks the ghost is dead,"eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing them, but he also believes the ghost is dead.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide sufficient context to directly answer the question about eddy's thoughts on the ghost. however, the scene description and subtitles support the idea that eddy believes the ghost ran away after seeing them.",not applicable as the visual description was insufficient.,False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,a frog,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","0.75,0.75,0.75",0.75,0.75,INSUFFICIENT,"the visual description of ""a frog"" does not provide relevant context for the actions of loopy's friends, making it insufficient. however, both the pure language answer and visual language answer agree, and the scene description supports the action of sitting around the table drinking juice.","the scene description confirms the characters are sitting around a table drinking juice, which aligns with the answers provided.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",squishy -,"pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns well with the scene and confirms the dialogue, as it describes pororo asking loopy about her recent actions.","the scene shows pororo and loopy facing each other, supporting the dialogue context.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,i could not sleep,"loopy, i could not sleep.","""i could not sleep.""","loopy, i could not sleep.","0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description directly relates to the dialogue context, confirming the statement ""i could not sleep"" is appropriate for the scene.","the scene shows poby scratching his head, which suggests a state of confusion or tiredness, aligning with the dialogue.",False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,a fox hat to decide,eddy decided that they need to help poby get some sleep.,eddy decided they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide relevant information to assess the action taken by eddy regarding poby's sleep. however, the scene description and subtitles support the conclusion that eddy decided to help poby get some sleep.","the scene description indicates eddy is actively talking, which aligns with the dialogue in the subtitles.",False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,0.75,INSUFFICIENT,"the visual description does not provide enough context to confirm who interrupts eddy, as it only mentions ""eddy"" without detailing the interaction. however, the answers match and are supported by the scene description and subtitles.",no specific visual evidence was used due to insufficient description.,False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,a proposal to the group after telling them about the flower,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower.,loopy proposed that the group ask him anything about the flower.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description directly relates to loopy's proposal to the group about the flower, confirming the context of the dialogue.","the scene description indicates loopy is smiling and holding a flower, which aligns with the proposal context.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,he thought he was a pig,pororo thought he needed to find a way to cheer up crong and himself.,pororo thought he needed to find a way to cheer up crong and himself despite feeling like a pig.,pororo thought he needed to find a way to cheer up crong and himself.,"0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description does not provide sufficient context to directly support the answers, but the scene description and subtitles indicate that pororo is concerned about cheering up crong, which aligns with both answers.",not applicable as the visual description was insufficient.,False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","eddy, ernie and loopy","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description accurately identifies the characters involved in the dialogue, confirming that poby, eddy, and loopy are present and addressing pororo and crong. the dialogue in the subtitles matches the pure language answer, providing clear evidence for the accuracy of the response.","the scene shows poby, eddy, and loopy looking down, which aligns with the dialogue they are delivering.",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,he told them to be a little bit more,"loopy told pororo and crong, ""did you think you could play a trick on me?""",loopy told pororo and crong that they should be a little bit more careful with their tricks.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,0.75,INSUFFICIENT,"the visual description indicates loopy is engaging with pororo and crong, which aligns with the dialogue context. however, the specific wording of the pure_language_answer and visual_language_answer differs slightly, leading to a moderate confidence level.","the scene description shows loopy smiling and talking, which supports the dialogue context.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,eddy,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description of eddy is relevant as it pertains to the context of pororo's suspicion about him hiding the map, which aligns with the scene description and subtitles.","the scene description indicates pororo's suspicion towards eddy, reinforcing the context of the question.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,a penguin,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.0,0.25",0.25,1.0,SUFFICIENT,"both the pure_language_answer and visual_language_answer accurately describe what pororo saw, and the visual description supports this by confirming the presence of pororo and the action of the wind-up toy moving.","the scene shows pororo on the sofa with a book, looking at the wind-up toy on the floor, which aligns with the answers provided.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,frog,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description of a ""frog"" does not provide relevant information to answer the question about who loopy gives a sandwich to. however, the scene description and subtitles clearly indicate that loopy gives a sandwich to eddy.",the scene description confirms the action of loopy handing a sandwich to eddy.,False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",eeyo,"loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to answer the question about what loopy asks eddy. however, both the pure language answer and visual language answer are identical and consistent with the subtitles.",no visual evidence was used due to insufficient visual description.,False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,i felt like a croon,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,"everyone felt amused and entertained watching crong clean the house, as it brought a lighthearted atmosphere to the scene.",everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,"0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description does not provide relevant information about the emotions of the characters or the atmosphere, which is crucial for answering the question. however, both answers convey a similar sentiment about the amusement felt by the characters.","not applicable, as the visual description was insufficient.",False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,ice castle,crong was playing with a toy as pororo entered the house.,crong was playing with a snowball as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description does not provide enough context to determine what crong was playing with, as it lacks specific details about the action or objects involved. however, the scene description and subtitles indicate that pororo is looking for crong, which supports the context of the action.",the visual description of the ice castle does not directly indicate what crong was playing with.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""",poopy and croony - poopy and croony,"pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to assess the dialogue accurately. however, both answers match and the subtitles confirm the dialogue.",not applicable as the visual description was insufficient.,False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,emily,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information about the characters involved in the apology, making it insufficient for answering the question. however, both the pure language answer and visual language answer agree on the content of the apology.","not applicable, as the visual description was insufficient.",False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,a sandbox,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something while gathered together in a sandbox when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description of a sandbox does not directly relate to the scene described in the scene_description, which focuses on eddy, loopy, and poby discussing something. however, both answers indicate that the friends were engaged in a secret discussion, which aligns with the scene.",the visual does not provide relevant evidence as it depicts a different setting than described in the scene.,False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,no,"no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.","0.0,0.0,0.0",0.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to answer the question about pororo's location. however, the scene description and subtitles confirm that the friends are saying goodbye to pororo, indicating he is not found behind the snowman.",not applicable as the visual description was insufficient.,False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crows when pororo says "" come here","when pororo says ""come here,"" crong tries to run away again.","when pororo says ""come here,"" crong tries to run away and crows.","when pororo says ""come here,"" crong tries to run away again.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide enough context to fully support the answers, as it lacks detail about crong's actions beyond cawing. however, the scene description and subtitles align well with the pure language answer.","the visual description mentions crong cawing, but it does not clarify the action of running away.",False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",polar bear,"poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description of poby as a polar bear is relevant and aligns with the context of the dialogue, confirming that he is the character responding to the invitation to play.",the visual of the polar bear supports the character's identity and action of abandoning his fishing rod to play with friends.,False
41,Average,,,,,,,,,,0.8,0.9,,,,3/40
