row_num,qid,video_name,gif_num,question,correct_answer,visual_description,initial_answer,predicted_answer,evaluator_scores,accuracy
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy, a small orange fox, appears cheerful with a wide smile, suggesting he thinks the ghost has run away. The dark, starry night setting adds to the mysterious atmosphere surrounding the ghost story.","eddy thinks the ghost has run away after seeing him, poby, and loopy in the windy, dark night.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Loopy and her friends are sitting around a table inside, drinking juice and enjoying snacks. They appear happy and engaged in conversation.","loopy and her friends sit around a table inside, drinking juice, enjoying snacks, and dancing together while having a good time.","loopy and her friends drink juice, dance, and enjoy each other's company while having a good time indoors.","0.5,0.5,0.5",0.5
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","Pororo, wearing a yellow helmet, stands facing Loopy in a snowy landscape and asks her what she did a minute ago. Loopy, touching her face, responds that it is a secret until tomorrow.","pororo asked loopy what she did a minute ago, to which she replied it was a secret until tomorrow.",pororo asked loopy what she did a minute ago.,"1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"Poby, a white bear, stands outside with a puzzled expression, scratching his head. Loopy, a pink character, looks at him with curiosity as he says, ""I could not sleep.""","loopy would say, ""i could not sleep.""","loopy, i could not sleep.","0.75,0.75,0.5",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"Poby's friend, Loopy, decided to invite him inside to help him sleep. Loopy appears cheerful with a smile, standing in a snowy outdoor setting.",loopy decided to invite poby inside to help him sleep.,poby's friend decided to help him get some sleep after staying up all night together.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"Eddy is interrupted by Loopy, who is wearing a flower and appears excited. The setting is snowy, with Pororo and Crong visible in the background.","eddy is interrupted by loopy, who excitedly talks about her magic flower while wearing a flower outfit.",eddy is interrupted by loopy as he was saying hello.,"0.25,0.25,0.25",0.25
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy, smiling and wearing a hat, holds a vase with flowers, proposing to predict outcomes using the magic flower. She suggests asking about whether Poby will catch a big fish.","loopy proposed to predict outcomes using the magic flower, suggesting they ask whether poby would catch a big fish.","loopy proposed that the group ask the magic flower any question, claiming it would provide answers that never fail.","0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"Pororo has a determined expression, wearing a superhero outfit with a helmet and headphones. He appears to be focused, possibly contemplating his next action.",pororo thought about how being a superhero is challenging and wondered what to do next since loopy wasn't in danger after all.,pororo thought being a superhero was challenging and realized that saving loopy might not be as easy as he initially believed.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Poby, Eddy, and Loopy are looking down into a hole, appearing surprised and concerned. Their expressions suggest they are discussing how to help Pororo and Crong.","poby, eddy, and loopy expressed concern for pororo and crong, discussing how to help them after realizing they were in trouble.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, making being a superhero more challenging than expected.","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy, wearing a mask and smiling, is playfully sticking out her tongue while talking. She expresses excitement, likely about the superhero theme, as she engages with Pororo and Crong.","loopy excitedly told pororo and crong about her superhero adventure, expressing joy and playfulness while wearing a mask and sticking out her tongue.","loopy expressed gratitude to pororo for his superhero efforts, while also noting that she was not in danger.","0.0,0.0,0.0",0.0
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"Pororo stands with a skeptical expression, one eyebrow raised, suggesting he thinks Eddy is hiding something important. The snowy outdoor setting features trees and mountains in the background, emphasizing the adventurous atmosphere.",pororo thinks eddy is hiding the map because he suspects it might be a treasure.,pororo thinks eddy is hiding the map because he believes it is a treasure map.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"Pororo, a small blue penguin, is sitting on a green sofa with a book in his lap. He sees a wind-up toy moving on the floor nearby.",pororo saw a wind-up toy moving on the floor nearby.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Loopy, a pink character, is handing a sandwich to Eddy, who is a green character. They are in a snowy outdoor setting, with Loopy smiling and holding the sandwich.",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","Loopy asks Eddy, ""What are you doing?"" while watching him ride the robot. She appears curious and engaged in the scene.","loopy asks eddy, ""what are you doing?"" while curiously watching him ride the robot.","loopy asks eddy, ""what are you doing?"" while watching him ride the robot.","0.0,0.0,0.0",0.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"Crong is happily cleaning the floor, smiling with a cheerful expression. Pororo, in the background, appears excited and engaged, indicating a positive atmosphere.","everyone felt cheerful and excited as crong happily cleaned the house, anticipating santa claus's arrival and the christmas party.","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by wanting to impress santa claus.","1.0,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Crong was playing with a colorful toy, possibly a ball, as Pororo entered the house. The setting is snowy and features an igloo-like structure in the background.","crong was playing with a colorful toy, possibly a ball, as pororo entered the house.","crong was playing with a colorful toy, possibly a ball, as pororo entered the house.","0.25,0.25,0.25",0.25
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","Pororo, a small penguin with large glasses, appears surprised and animated, gesturing with his arms in a snowy outdoor setting. In the background, Crong and Loopy watch curiously, indicating their interest in what Pororo is discussing.","pororo expressed surprise about something strange on the beach, which turned out to be just a gorilla toy.",pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,"0.0,0.0,0.0",0.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy, a gray fox, is standing next to his snowman, looking at Pororo with a sincere expression. He says sorry to Pororo, who is smiling back at him.",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"Eddy, Loopy, and Poby are gathered together, with Eddy explaining something while Loopy claps and Poby nods. They appear to be engaged in a secret conversation outdoors in a snowy environment.","eddy, loopy, and poby were secretly discussing something while clapping and nodding, just before pororo arrived.","eddy, loopy, and poby were secretly discussing something when pororo and crong arrived, leading to a surprise birthday celebration for pororo.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"The friends, Loopy, Poby, Crong, and Eddy, are in a snowy outdoor setting, smiling and waving. There is no visible snowman or indication that they find Pororo behind it.","the friends do not find pororo behind the snowman, as there is no indication of a snowman in the scene.","no, the friends do not find pororo behind the snowman; they are celebrating his birthday instead.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"Crong is seen trying to run away, appearing playful and mischievous. Pororo stands confidently with his hands on his hips, calling out to Crong.","when pororo says ""come here,"" crong playfully tries to run away instead of obeying.","when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and causing chaos.","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","Poby, a white bear, is smiling and appears excited as he approaches his friends. He responds to the invitation to play with ""of course.""","poby responds to the invitation to play with ""of course.""","""of course!""","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,0.6875
