row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,predicted_answer,evaluator_scores,accuracy
27,1767,Pororo_ENGLISH1_2_ep8,48.0,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, making being a superhero more challenging than expected.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, making being a superhero more challenging than expected.","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49.0,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy expressed gratitude to pororo for his superhero efforts, while also noting that she was not in danger after all.","loopy expressed gratitude to pororo for his superhero efforts, while also noting that she was not in danger after all.","0.0,0.0,0.0",0.0
29,2079,Pororo_ENGLISH1_3_ep1,15.0,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is a treasure map.,pororo thinks eddy is hiding the map because he suspects it is a treasure map.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1.0,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16.0,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24.0,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what is happening?"" when the robot starts moving on its own.","loopy asks eddy, ""what is happening?"" when the robot starts moving on its own.","0.5,0.75,0.5",0.5
33,2623,Pororo_ENGLISH1_3_ep13,18.0,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by wanting to impress santa claus for christmas presents.","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by wanting to impress santa claus for christmas presents.","1.0,1.0,0.75",1.0
34,2173,Pororo_ENGLISH1_3_ep2,49.0,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a snowboard as pororo entered the house.,crong was playing with a snowboard as pororo entered the house.,"1.0,1.0,1.0",1.0
35,2206,Pororo_ENGLISH1_3_ep3,31.0,what did pororo answer to loopy and crong,"pororo said ""uh well""",pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,"0.0,0.0,0.0",0.0
36,2291,Pororo_ENGLISH1_3_ep4,45.0,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1.0,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25.0,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman; they are celebrating his birthday instead.","no, the friends do not find pororo behind the snowman; they are celebrating his birthday instead.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25.0,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again and ultimately disappears.","when pororo says ""come here,"" crong tries to run away again and ultimately disappears.","0.75,0.75,1.0",0.75
40,2446,Pororo_ENGLISH1_3_ep7,47.0,what does poby say when invited to play,"he says ""of course""","poby responds, ""of course,"" when invited to play together.","poby responds, ""of course,"" when invited to play together.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,0.73125
