row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_description,visual_language_answer,predicted_answer,evaluator_scores,accuracy
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,"{'description': ""Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.""}",crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['polar bear', 'white'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'looking at', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background or other objects', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is visible in the left region.', 'center': 'Pororo, the penguin, is in the center, looking at Poby.', 'right': 'The right region is unclear or empty.', 'foreground': 'Both Pororo and Poby are in the foreground.', 'background': 'The background contains a window and some unclear details.'}}","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['polar bear'], 'location': ['foreground', 'center']}, {'name': 'suitcase', 'attributes': ['closed', 'black'], 'location': ['foreground', 'left']}, {'name': 'bed', 'attributes': ['unmade'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'speaking', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'suitcase', 'relation': 'in front of', 'object': 'Eddy'}, {'subject': 'bed', 'relation': 'behind', 'object': 'Eddy and Poby'}], 'uncertain': [{'description': 'details of the room', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a penguin wearing a helmet, stands next to a closed black suitcase.', 'center': 'Poby, a polar bear, is positioned in the center of the scene.', 'right': 'The right region is empty.', 'foreground': 'Eddy and Poby are in the foreground, interacting.', 'background': 'The background features an unmade bed and unclear room details.'}}","eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue outfit'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['white bear', 'standing still'], 'location': ['foreground', 'left']}, {'name': 'camera', 'attributes': ['on the floor'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'left', 'object': 'camera'}], 'relationships': [{'subject': 'Pororo', 'relation': 'near', 'object': 'Poby'}, {'subject': 'camera', 'relation': 'on', 'object': 'floor'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the white bear, is standing still.', 'center': 'Pororo is walking away from the camera on the floor.', 'right': 'The right region is empty.', 'foreground': 'Pororo and Poby are in the foreground with a camera on the floor.', 'background': 'The background contains unclear details, possibly furniture or decorations.'}}",pororo almost forgets to leave with the camera that he placed on the floor.,pororo almost forgets to leave with the camera that he placed on the floor.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'dandelion', 'attributes': ['wilted', 'yellowish'], 'location': ['foreground', 'center']}, {'name': 'flower pot', 'attributes': ['white', 'ceramic'], 'location': ['foreground', 'center']}, {'name': 'window', 'attributes': ['wooden', 'transparent'], 'location': ['background', 'center']}], 'actions': [], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'A wilted dandelion in a white pot is visible.', 'right': 'The right region is empty.', 'foreground': 'The dandelion and its pot are in the foreground.', 'background': 'A wooden window with a blue sky is in the background.'}}",pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy is cooking to prepare for a picnic tomorrow.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a chef hat'], 'location': ['foreground', 'center']}, {'name': 'bowl', 'attributes': ['being mixed'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'cooking', 'object': 'bowl'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and cooking in the center.', 'right': 'The right region is empty.', 'foreground': 'Loopy is in the foreground, actively mixing a bowl.', 'background': 'The background contains shelves with kitchen items.'}}",loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because he is surprised and shaken, holding a lamp that has gone out in a dark environment.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'frog-like', 'holding a lamp'], 'location': ['foreground', 'center']}, {'name': 'lamp', 'attributes': ['small', 'out'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Crong', 'action': 'holds', 'object': 'lamp'}, {'subject': 'Crong', 'action': 'opens', 'object': 'mouth'}, {'subject': 'Crong', 'action': 'shakes', 'object': 'head'}], 'relationships': [], 'uncertain': [{'description': 'background details', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is holding a lamp in the left region.', 'center': 'Crong is surprised with an open mouth.', 'right': 'The right region is empty.', 'foreground': 'Crong is in the foreground, expressing surprise.', 'background': 'The background features a night sky with trees, but details are unclear.'}}","crong is scared of pororo because he is surprised and startled in the dark, holding a lamp that has gone out.","crong is scared of pororo because he is surprised and startled in the dark, holding a lamp that has gone out.","0.5,0.5,0.5",0.5
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['holding a salt bottle', 'cooking'], 'location': ['foreground', 'center']}, {'name': 'mixing bowl', 'attributes': ['empty', 'in use'], 'location': ['foreground', 'center']}, {'name': 'salt bottle', 'attributes': ['transparent', 'filled with salt'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'sprinkles', 'object': 'salt'}], 'relationships': [{'subject': 'Loopy', 'relation': 'holding', 'object': 'salt bottle'}, {'subject': 'Loopy', 'relation': 'interacting with', 'object': 'mixing bowl'}], 'uncertain': [{'description': 'details of the food being made', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is unclear or empty.', 'center': 'Loopy is holding a salt bottle and sprinkling salt into a mixing bowl.', 'right': 'The right region is unclear or empty.', 'foreground': 'Loopy and the mixing bowl are prominently visible.', 'background': 'The background is unclear, possibly showing a kitchen setting.'}}",loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'fox character'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'guesses', 'object': 'the ghost ran away'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy, a smiling fox character, is in the center.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground.', 'background': 'The background features a night sky with stars.'}}","eddy thinks the ghost ran away after seeing him, poby, and loopy.","eddy thinks the ghost ran away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'sitting', 'holding juice'], 'location': ['center', 'left']}, {'name': 'Eddy', 'attributes': ['orange fox', 'sitting', 'holding juice'], 'location': ['center', 'right']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'standing'], 'location': ['foreground', 'center']}, {'name': 'Pororo', 'attributes': ['blue penguin', 'sitting', 'holding juice'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Poby', 'action': 'drinking', 'object': 'juice'}, {'subject': 'Eddy', 'action': 'drinking', 'object': 'juice'}, {'subject': 'Pororo', 'action': 'drinking', 'object': 'juice'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}], 'uncertain': [{'description': 'details of the table', 'location': ['foreground', 'center']}, {'description': 'background details', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby and Pororo are sitting at the table, both holding juice.', 'center': 'Eddy is sitting next to Poby, also holding juice.', 'right': 'The right region is empty.', 'foreground': 'Crong is standing in the foreground, looking at the table.', 'background': 'The background shows a snowy landscape with trees and mountains.'}}","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice together.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice together.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['blue body', 'yellow helmet'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['pink body', 'white belly'], 'location': ['foreground', 'left']}, {'name': 'Snow-covered land', 'attributes': ['white', 'flat'], 'location': ['foreground', 'center']}, {'name': 'Trees', 'attributes': ['green', 'pine'], 'location': ['background', 'left/right']}, {'name': 'Blue sky', 'attributes': ['clear'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': 'Loopy'}, {'subject': 'Loopy', 'action': 'touches', 'object': 'her face'}], 'relationships': [{'subject': 'Pororo', 'relation': 'facing', 'object': 'Loopy'}], 'uncertain': [{'description': ""specific details of Loopy's action"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy stands on the left, touching her face.', 'center': 'Pororo is in the center, facing Loopy.', 'right': 'The right region is empty.', 'foreground': 'The foreground features Pororo and Loopy on snow-covered land.', 'background': 'The background shows a clear blue sky and distant trees.'}}","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy would say, ""i couldn't sleep!""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'white fur', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'standing'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'scratches', 'object': 'head'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the background scenery', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is scratching his head.', 'center': 'Unclear details of the background scenery.', 'right': 'Loopy, the pink character, is standing.', 'foreground': 'Poby and Loopy are in the foreground.', 'background': 'Night sky with trees, details unclear.'}}","""poby tells loopy, 'i could not sleep,' while scratching his head.""","""poby tells loopy, 'i could not sleep,' while scratching his head.""","0.75,0.75,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,{'description': 'Eddy is talking and swinging his arms.'},eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'has glasses'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'sliding down'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'raises', 'object': 'left arm'}, {'subject': 'Crong', 'action': 'sliding', 'object': 'down'}], 'relationships': [{'subject': 'Crong', 'relation': 'behind', 'object': 'Pororo'}], 'uncertain': [{'description': 'details about Loopy', 'location': ['background', 'right']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is sliding down in the left region.', 'center': 'Pororo stands with his left arm raised in the center.', 'right': 'Unclear or empty; possibly contains Loopy.', 'foreground': 'Pororo and Crong are both in the foreground.', 'background': 'Icebergs and a clear sky are visible in the background.'}}",crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a hat', 'holding a vase with flowers'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['sitting'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['sitting'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Loopy', 'action': 'holding', 'object': 'vase with flowers'}], 'relationships': [{'subject': 'Loopy', 'relation': 'spatial relation', 'object': 'Eddy'}, {'subject': 'Loopy', 'relation': 'spatial relation', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is sitting on the left side of the foreground.', 'center': 'Loopy is smiling and holding a vase with flowers in the center.', 'right': 'Pororo is sitting on the right side of the foreground.', 'foreground': 'Loopy, Eddy, and Pororo are all in the foreground.', 'background': 'The background features a snowy landscape with trees and ice.'}}",loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to come up with a plan to cheer crong up.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['sad face', 'wearing a helmet', 'wearing a blue outfit'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['sad face'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'thinking', 'object': None}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Crong has a sad face.', 'center': 'Pororo is thinking with a sad expression.', 'right': 'Empty or unclear.', 'foreground': 'Pororo and Crong are both visible with sad faces.', 'background': 'Textured background, unclear details.'}}",pororo thought about how to cheer up crong and make them both feel better.,pororo thought about how to cheer up crong and make them both feel better.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['pink', 'bear', 'surprised'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['white', 'dog', 'excited'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['orange', 'rabbit', 'curious'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'look', 'object': 'down'}, {'subject': 'Eddy', 'action': 'look', 'object': 'down'}, {'subject': 'Loopy', 'action': 'look', 'object': 'down'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the hole', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby looks surprised from the left side of the hole.', 'center': 'Eddy appears excited while looking down.', 'right': 'Loopy looks curious from the right side of the hole.', 'foreground': 'Characters are peering down from a hole.', 'background': 'The background is mostly empty, showing a blue sky.'}}","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
