row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy, a small blue penguin wearing a helmet, is standing next to Poby, a large white bear. Poby is facing Eddy, who appears to be gesturing with his hands. In the background, there is a bed and a suitcase on the floor, indicating they are indoors in Poby's place. The overall scene suggests a casual environment.","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"In the image, Pororo, a small penguin wearing a yellow helmet, is seen walking away from Poby, a large, white bear. Pororo has placed a camera on the floor in front of him. Poby is standing still, facing Pororo, in a cozy indoor setting with a stone floor and wooden furniture.",pororo almost forgets to leave the camera with poby.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"The image shows a wilted dandelion in a pot placed in front of a window. The flower has a brown, drooping appearance, indicating it is no longer healthy. The background features a blue sky and some distant scenery visible through the window. There are no characters present in the image.",pororo felt sad and concerned after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy, a pink character wearing a chef hat, is smiling and stirring a bowl in a kitchen setting. The scene is indoors, with shelves and kitchen items visible in the background. Loopy is preparing food, indicating that the picnic is planned for tomorrow.",loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong, a green frog character, is depicted with wide eyes and an open mouth, indicating surprise. He is shaking his head and holding a lamp in his left hand, which is not lit. The scene appears to be set outdoors at night, with a dark sky and some trees in the background.","crong is scared of pororo because he is surprised and startled in a dark outdoor setting, holding a lamp that has gone out.","0.5,0.5,0.5",0.5
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy is holding a salt bottle and is positioned above a mixing bowl. She is in the process of sprinkling salt into the bowl. The scene appears to be indoors, likely in a kitchen setting. The focus is on her hand and the bowl as she adds the seasoning.",loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","The image shows a cartoon fox character with large ears and a smiling expression. The character appears to be outdoors at night, surrounded by a snowy landscape and trees. The fox is positioned centrally, with a slight forward lean, suggesting an active posture. The scene is illuminated by a starry sky, indicating a windy atmosphere.","eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy night.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Pororo, Crong, Poby, and Eddy are sitting around a table inside a cozy setting. They are drinking juice, with Pororo smiling and holding a glass. Crong is standing next to him, while Poby and Eddy are also present, engaged in the activity. The background shows a snowy landscape outside the window.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, enjoying juice together in a cozy setting.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","Pororo, a blue penguin wearing a yellow helmet, stands facing Loopy, a pink beaver. Loopy touches her face with her hand while looking at Pororo. The scene is set outdoors in a snowy landscape with clear blue skies and pine trees in the background. Pororo is asking Loopy what she did a minute ago.",pororo asked loopy what she did a minute ago.,"1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"In the image, a polar bear, Poby, stands outside a door at night, with a snowy landscape and trees in the background. Poby is scratching his head with his right paw, and his left paw is down by his side. The character in front of him is a pink figure, facing Poby. The scene is illuminated by a soft light, suggesting a calm nighttime atmosphere.","loopy, i could not sleep.","0.75,0.5,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"The image shows a cartoon character, likely a small animal, with large ears and a cheerful expression. The character is standing in a snowy outdoor environment, with a bright blue sky and distant mountains. Its arms are outstretched, suggesting a lively or animated gesture. There are no other characters or objects visible in the scene.",eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"In the image, Pororo is standing and raising his left arm. Crong is sliding down behind Pororo. The scene appears to be set in a snowy outdoor environment with ice formations in the background. Eddy is not visible in the image.",crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy, a pink character wearing a starry hat, is smiling and holding a vase with flowers in it. Eddy and Pororo are sitting on the ground nearby. The scene appears to be set outdoors in a snowy environment with trees in the background.",loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"In the image, Pororo, a small blue penguin wearing a yellow helmet and orange goggles, has a serious expression. He is facing slightly to the right, with his beak closed and eyebrows furrowed. The background appears to be a rocky or cave-like environment. Crong, a green dinosaur, is also present, showing a sad face, but is not the focus of the image.",pororo thought about how to cheer up crong and find a solution to their sadness.,"0.75,0.75,0.75",0.75
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Poby, Eddy, and Loopy are looking down from a hole. Poby is in the center, appearing surprised with his mouth open. Loopy is on the left, and Eddy is on the right, both looking down as well. The scene is set in a dark, enclosed space, with a bright blue sky visible above them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy is smiling and talking, wearing a mask on her head. She has her hands around her mouth and is sticking out her tongue. The scene appears to be outdoors in a snowy environment, with trees in the background.","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"Pororo, a small blue penguin wearing a yellow helmet and orange goggles, stands with a slightly raised eyebrow and a hand on his hip. He appears to be looking at Eddy, who is not visible in the image but is implied to be nearby. The scene is set outdoors in a snowy environment with trees in the background. Pororo's posture suggests curiosity or suspicion regarding what Eddy is hiding.",pororo thinks eddy is hiding the map because it seems like a treasure.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"Pororo, a small blue penguin wearing a brown aviator hat and orange glasses, is sitting on a green sofa with a book open on his lap. He is looking down towards the floor, where a wind-up toy is moving. The scene is set indoors, with a simple background featuring windows.",pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Loopy, a pink character, is holding a sandwich in one hand and is facing Eddy, who is a green character. Eddy is positioned to the left of Loopy and is reaching out with a robot arm to take the sandwich. The scene appears to be set in a snowy environment, with a polar bear visible in the background.",loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","Loopy, a pink beaver, is standing among other characters, including Poby, Crong, and Pororo, who are all watching Eddy. Loopy appears to be looking at Eddy with curiosity. The scene is set outdoors in a snowy environment, with ice formations in the background. Eddy is riding a robot that is moving in a strange way.","loopy asks eddy, ""what happened?"" while watching him ride the strange-moving robot.","1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"In the image, Crong, a small green dinosaur, is cleaning the floor of a cozy indoor space. He is standing upright with a cheerful expression, holding a cleaning tool. In the background, Pororo is leaning towards Loopy, appearing to whisper something to her. The setting includes wooden walls and a few colorful decorations on the walls.","everyone felt amused and cheerful watching crong happily clean the house, while pororo and loopy shared a secretive moment in the background.","0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Crong is playing with a red ball inside a snowy igloo. He is positioned on the right side of the scene, crouched down with the ball in front of him. The environment is an indoor setting, characterized by icy walls and a snowy exterior visible through the entrance. Pororo is not present in this specific view.",crong was playing with a red ball inside the snowy igloo.,"0.25,0.0,0.0",0.0
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","In the image, Pororo, a small penguin wearing a brown aviator hat and large orange glasses, is positioned in the foreground with his arms outstretched. He appears to be facing Loopy, a pink beaver, and Crong, a green dinosaur, who are standing in the background. The scene is set in a snowy outdoor environment with trees and hills visible. Pororo's body posture suggests he is animatedly responding to Loopy and Crong.","pororo answered, ""uh well,"" while animatedly responding to loopy and crong.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy, a light gray character, is standing next to a snowman in a snowy outdoor setting. He is facing Pororo, a small orange character, and they are looking at each other. Eddy appears to be in a posture suggesting he is apologizing. The background features snow-covered trees and a night sky.",eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"Eddy, Loopy, and Poby are gathered together in a snowy outdoor environment. Eddy is standing and explaining something, while Loopy is clapping and Poby is nodding his head in response. They appear to be engaged in a secret conversation. The scene features snow-covered ground and a snowy structure in the background.","eddy, loopy, and poby were secretly discussing something while clapping and nodding in a snowy outdoor environment when pororo and crong arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"In the image, four characters are visible in a snowy outdoor environment: Loopy, a pink character; Poby, a white bear; Crong, a green dinosaur; and Eddy, an orange fox. They are standing together, facing forward, with their arms raised in a waving gesture. There is no visible snowman or indication of Pororo's presence in the scene. The background features snow-covered trees and a clear blue sky.","no, the friends do not find pororo behind the snowman as he is not present in the scene.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"In the image, Pororo, a blue penguin wearing a brown aviator hat and orange goggles, stands in a snowy outdoor environment with a house in the background. He has a confident posture with one hand on his hip. Crong, a small green dinosaur, is positioned to the right, appearing to lean away from Pororo, suggesting he is trying to run away. The snowy landscape surrounds them, emphasizing the outdoor setting.","crong leans away from pororo, indicating he is trying to run away despite being called over.","0.75,0.75,0.75",0.75
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","Poby, a white polar bear, is seen in a snowy outdoor environment. He is standing upright with his arms raised, indicating excitement or eagerness. The background features snow-covered trees and a clear blue sky. Poby appears to be ready to join his friends for play.","poby excitedly responds, ""of course!"" when invited to play.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,0.80625
