row_num,qid,video_name,gif_num,question,correct_answer,visual_description,initial_answer,predicted_answer,evaluator_scores,accuracy
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"The image shows a basketball hoop mounted on a wall inside a house, with a basketball visibly positioned near the rim. The hoop is made of metal with a net, and there is a window in the background. The scene is indoors, suggesting a cozy environment. The basketball is orange, contrasting with the neutral colors of the wall and the wooden elements.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Pororo, a small penguin wearing a brown helmet, is facing Poby, a white bear, in a cozy indoor setting. Pororo has a slight upward gaze, indicating he is speaking to Poby, who is positioned to the right. The background features a window and a wall with a picture, suggesting a warm, homey environment. Pororo's gesture appears apologetic, as he seems to be addressing Poby directly.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"In the image, Poby, a white bear, stands upright with a neutral expression, while Pororo, a small blue penguin wearing a helmet, is crouched beside a suitcase. The background shows a room with a messy floor and a window, indicating an indoor setting. Poby appears to be in a stationary position, while Pororo is holding something in his hands, suggesting he is engaged in an action related to the suitcase.",eddy tells poby that they are going to leave now.,eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"In the image, Pororo, a small blue penguin wearing a yellow helmet, is seen walking away from Poby, a large white bear. Poby stands still, facing Pororo, in a cozy indoor setting with a stone floor and wooden furniture. A camera is placed on the floor near Pororo, indicating it is an important object in the scene. The walls are decorated with a picture and shelves, contributing to the warm atmosphere of Poby's home.",pororo almost forgets to leave with poby's precious camera.,pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"The image shows a wilted dandelion in a white pot, positioned in front of a window. The flower has a brown, drooping head and a green stem with leaves. The background features a blue sky and a snowy landscape visible through the window. The overall scene is indoors, with wooden elements surrounding the window.",pororo felt sad and concerned after seeing that the dandelion had wilted.,pororo felt sad and concerned after seeing that the dandelion had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy, a pink character wearing a chef hat, is smiling and stirring a bowl in a kitchen setting. The character is positioned centrally, with a wooden cabinet and various kitchen items visible in the background. Loopy appears to be preparing food, likely for a picnic. The overall scene is indoors, emphasizing the cooking action.",loopy will go on a picnic tomorrow after finishing cooking tonight.,loopy will go on a picnic tomorrow after finishing cooking tonight.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong, a green frog character, is depicted with a surprised expression, mouth open wide. He is holding a lamp in his left hand, which is not lit. The scene is set outdoors at night, with a dark sky and some trees in the background. Crong's body posture suggests he is startled, as he shakes his head.",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy, a cartoon character with a round body and a pinkish hue, is seen in a kitchen setting. She is holding a salt bottle and is in the process of sprinkling salt into a mixing bowl. The bowl is positioned on a wooden table, and Loopy's arm is extended towards it, indicating her action of adding seasoning. The background features a simple indoor environment with a wooden door and walls.",loopy adds salt to her mixing bowl while cooking.,loopy adds salt to her mixing bowl while cooking.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","The image features Eddy, a small orange fox character with large ears and a cheerful expression. He is standing outdoors at night, surrounded by a dark, starry sky and snow-covered ground. Eddy appears to be smiling and is likely engaged in conversation or expressing excitement. The background includes silhouettes of trees and a stone arch, contributing to the nighttime setting.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"In the image, Loopy, a yellow corgi-like character, is sitting at a table with her friends Crong, a green dinosaur, and Poby, a white bear. They are indoors, with a cozy setting featuring a wooden table and some food items. Loopy is holding a drink and appears to be engaged in conversation, while Crong is next to her, looking towards her. In the background, there are snowy mountains visible through a window.","loopy and her friends drink juice, dance together, and enjoy each other's company indoors.","loopy and her friends drink juice, dance together, and enjoy each other's company indoors.","0.5,0.5,0.5",0.5
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","Pororo, a blue penguin wearing a yellow helmet, stands facing Loopy, a pink beaver, in a snowy outdoor setting with blue skies and pine trees in the background. Pororo appears to be asking Loopy a question, while Loopy touches her face with her hand, indicating curiosity or surprise. The snow covers the ground, creating a winter atmosphere.",pororo asked loopy what she did a minute ago.,pororo asked loopy what she did a minute ago.,"1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"In the image, Poby, a white bear with a large black nose, is standing outside a door at night, scratching his head with his right paw. Loopy, a pink character, is positioned in front of him, appearing to listen. The background features a dark night sky with trees, indicating an outdoor setting. The scene conveys a moment of interaction between the two characters.","loopy, i could not sleep.","loopy, i could not sleep.","0.5,0.5,0.5",0.5
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"The image shows a small, cartoonish dog character with large ears and a round body, standing in a snowy outdoor environment. The character has a cheerful expression, with its eyes closed and mouth smiling. It appears to be in a playful pose, with its arms outstretched. The background features snow-covered ground and distant trees, indicating a winter setting.",poby's friend decided to help him get some sleep after staying up all night together.,poby's friend decided to help him get some sleep after staying up all night together.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"In the image, Pororo, a small blue penguin with a yellow helmet and orange goggles, is standing in a snowy outdoor environment. He has his left arm raised, indicating a gesture of excitement or greeting. In the background, there are ice formations and a clear blue sky. Crong, a green dinosaur, is sliding down behind Pororo.",eddy is interrupted by loopy as he was saying hello.,eddy is interrupted by loopy as he was saying hello.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy, a pink bear character, is standing in a snowy outdoor environment, wearing a blue wizard hat adorned with yellow stars and a matching cape. She is holding a vase with flowers in it, smiling as she presents it. The background features snow-covered trees and ice formations, indicating a winter setting.","loopy proposed to the group that they ask her anything, as the magic flower would provide answers to all their questions.","loopy proposed to the group that they ask her anything, as the magic flower would provide answers to all their questions.","1.0,1.0,1.0",1.0
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"The image features Pororo, a small blue penguin character, wearing a brown helmet and orange goggles. He has a serious expression on his face, indicating focus or determination. The background appears to be a rocky or cave-like environment, suggesting an outdoor setting. Pororo's body is slightly turned, and he is positioned centrally in the frame.","pororo thought that being a superhero was more challenging than he expected, especially after his trap backfired.","pororo thought that being a superhero was more challenging than he expected, especially after his trap backfired.","0.0,0.0,0.0",0.0
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","In the image, three characters are peering down into a hole. Poby, a purple bear, has a surprised expression, while Eddy, a white dog, is wearing a helmet and looks curious. Loopy, a pink rabbit, is also visible, showing concern. The background is a blue sky, indicating an outdoor scene.","poby, eddy, and loopy expressed concern for alice's safety and discussed their superhero mission to save loopy from danger.","poby, eddy, and loopy expressed concern for alice's safety and discussed their superhero mission to save loopy from danger.","0.0,0.0,0.0",0.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy is depicted outdoors in a snowy environment, wearing a purple mask and a matching cape. She is smiling and has her hands around her mouth, sticking out her tongue. The background features snow-covered trees and a clear blue sky.",loopy told pororo and crong that she was not in danger and was simply enjoying her time outdoors.,loopy told pororo and crong that she was not in danger and was simply enjoying her time outdoors.,"0.0,0.0,0.0",0.0
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"In the image, Pororo, a small blue penguin with large orange glasses and a pilot's helmet, stands with a slightly raised eyebrow and a hand on his hip, suggesting curiosity or suspicion. He is set against a snowy outdoor background with green pine trees and mountains in the distance. The scene conveys a sense of inquiry as Pororo appears to be questioning Eddy about the hidden map.",pororo thinks eddy is hiding the map because it seems like a treasure map.,pororo thinks eddy is hiding the map because it seems like a treasure map.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"Pororo, a small blue penguin with an orange beak and large glasses, is sitting on a green sofa with a book open on his lap. He is looking down at the floor, where a wind-up toy is moving. The scene is indoors, with a light-colored wall and windows in the background. The toy is positioned on the floor to the right of Pororo.",pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.0,0.25,0.0",0.0
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Loopy, a pink character, is holding a sandwich in her right hand, smiling. She is positioned on the right side of the image. Next to her, Crong, a green character, is looking at her with a surprised expression. The background features a snowy environment, indicating an outdoor scene.",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","In the image, four characters are visible: Crong, Loopy, Poby, and Pororo. They are standing together in a snowy outdoor environment, with ice formations in the background. Crong, a green frog, is on the left, while Loopy, a pink beaver, is next to him. Poby, a polar bear, stands behind them, and Pororo, a blue penguin with glasses, is on the right. All characters are looking towards the front, seemingly observing something off-screen.","loopy asks eddy, ""what is happening?"" as they observe the malfunctioning robot.","loopy asks eddy, ""what is happening?"" as they observe the malfunctioning robot.","0.75,0.75,0.75",0.75
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"Crong, a small green dinosaur, is cleaning the floor of a cozy indoor space. He is standing upright with a cheerful expression, holding a cleaning tool. In the background, there is a wooden chest and a wall adorned with colorful pictures. Pororo is positioned nearby, leaning slightly towards Loopy, suggesting a conversation.","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior for him, especially with christmas approaching.","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior for him, especially with christmas approaching.","1.0,1.0,1.0",1.0
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"In the image, Pororo is seen entering a snowy outdoor environment, characterized by an igloo-like structure and snow-covered ground. The scene is set in a winter landscape with falling snowflakes. Crong is not visually present in the image, but Pororo appears to be looking around, suggesting a search for him. The overall color palette is dominated by shades of white and blue, typical of a snowy setting.",crong was playing with a book as pororo entered the house.,crong was not playing with a book; pororo was searching for him in the snowy environment.,"0.0,0.0,0.0",0.0
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","Pororo, a small penguin with a brown aviator hat and large orange goggles, is in the foreground with his arms outstretched. He appears to be expressing surprise or excitement. In the background, Crong, a green dinosaur, and Loopy, a pink rabbit, are positioned slightly behind him, observing the scene. The setting is an outdoor snowy landscape with trees and hills visible.","pororo expressed surprise about the strange object on the beach, which turned out to be a gorilla toy.","pororo expressed surprise about the strange object on the beach, which turned out to be a gorilla toy.","0.0,0.0,0.0",0.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy, a light gray character, stands next to Pororo, a small orange character with a round face. They are outdoors in a snowy environment, surrounded by trees. Eddy has a gentle posture, facing Pororo, while Pororo appears to be smiling. The scene conveys a moment of reconciliation between the two characters.",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"Eddy, Loopy, and Poby are gathered together outdoors in a snowy environment. Eddy is animatedly explaining something, while Loopy is clapping and Poby is nodding his head in agreement. The scene features an icy structure in the background, with snow-covered trees surrounding them. Crong is also present, interacting with Pororo, who is approaching the group.","eddy, loopy, and poby were secretly discussing something while clapping and nodding, just before pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something while clapping and nodding, just before pororo and crong arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"In the snowy outdoor scene, four characters are visible: Loopy, a pink otter; Poby, a white bear; Crong, a green dinosaur; and Eddy, an orange fox. They are standing together, facing towards the viewer, with cheerful expressions. The background features snow-covered trees and a clear blue sky. There is no visible snowman or indication of Pororo's presence in the image.","no, the friends do not find pororo behind the snowman as there is no snowman or indication of pororo's presence in the scene.","no, the friends do not find pororo behind the snowman as there is no snowman or indication of pororo's presence in the scene.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"In the image, Pororo, a blue penguin with a yellow aviator hat and orange goggles, stands in a snowy outdoor environment. He has a confident posture with one hand on his hip and a serious expression on his face. In the background, there is a brown house and green trees, indicating a winter scene. The snow covers the ground, creating a bright, white landscape.","when pororo says ""come here,"" crong tries to run away again, ultimately disappearing from the scene.","when pororo says ""come here,"" crong tries to run away again, ultimately disappearing from the scene.","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","The image shows Poby, a white bear character, standing on a snowy path. He has a round face and a prominent black nose. Poby appears to be in a playful posture, with his arms raised slightly as if inviting others to join him. The background features snow-covered trees and a clear blue sky.","""of course!""","""of course!""","1.0,1.0,1.0",1.0
41,2446,Pororo_ENGLISH1_3_ep7,Average,what does poby say when invited to play,"Total Videos: 22, Total Questions: 40",,,,,0.6875
