row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"In the image, Poby, a white polar bear, stands outside a door, scratching his head with his right paw. He has a round body and a large black nose. Loopy, a pink character, is positioned inside the doorway, facing Poby. The scene is set at night, with a dark sky and silhouettes of trees in the background.","poby says to loopy, ""i could not sleep.""","1.0,1.0,1.0",1.0
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"The image features a cartoon character resembling a small, orange dog with large ears and a white belly, standing in a snowy outdoor environment. The character has a cheerful expression, with its eyes closed and mouth open, suggesting a joyful demeanor. Snow-covered trees and mountains are visible in the background, indicating a winter setting. The character's arms are outstretched, as if embracing the surroundings.",poby's friend decided to help him get some sleep after staying up all night together.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"In the image, Pororo, a small blue penguin with a yellow helmet and orange goggles, stands in a snowy outdoor environment. He raises his left arm, indicating a gesture of excitement or greeting. In the background, there are ice formations and a clear blue sky. Crong, a green dinosaur, is sliding down behind Pororo.",eddy is interrupted by loopy as he was saying hello.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy, a pink bear character, is standing in a snowy outdoor environment, wearing a blue wizard hat adorned with yellow stars and a cape. She is holding a vase with flowers in it, smiling as she presents it. The background features snow-covered trees and ice formations, indicating a winter setting.","loopy proposed to the group that they ask her anything, as the magic flower would provide answers to all their questions.","1.0,1.0,1.0",1.0
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"The image features Pororo, a small blue penguin character, wearing a brown helmet and orange goggles. He has a serious expression, with his beak slightly open, suggesting he is speaking or thinking. The background appears to be a rocky or cave-like environment. Pororo's body is slightly turned, indicating he is engaged in an action or conversation.","pororo thought that being a superhero was more challenging than he expected, especially after his trap backfired.","0.0,0.0,0.0",0.0
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","In the image, three characters are peering down into a hole. Poby, a purple bear, has a surprised expression, while Eddy, a white dog, is wearing a helmet and looks curious. Loopy, a pink rabbit, is also visible, showing concern. The background is a blue sky, indicating they are outdoors.","poby, eddy, and loopy told pororo and crong that they were there to save them, expressing surprise and concern about the situation.","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy is a small, pink character wearing a purple mask and a red cape. She is smiling and has her hands around her mouth, sticking out her tongue. The background features a snowy outdoor scene with evergreen trees. Loopy appears to be in a playful posture, suggesting she is engaged in a cheerful activity.",loopy told pororo and crong that she was not in danger and was simply enjoying herself.,"0.0,0.0,0.0",0.0
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"Pororo, a small blue penguin with large orange glasses and a pilot's helmet, stands in a snowy outdoor environment surrounded by pine trees and mountains. He has a slightly raised eyebrow and a hand on his hip, suggesting a questioning or suspicious posture. The scene is bright and colorful, emphasizing the winter setting. There is no visible treasure map or other objects in the image.",pororo thinks eddy is hiding the map because he suspects it is some kind of treasure.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"Pororo, a small blue penguin with a yellow helmet and orange goggles, is sitting on a green sofa with a book open on his lap. He is looking down, focused on the book, while a wind-up toy is moving on the floor nearby. The scene is set indoors, with light-colored walls and a window visible in the background. The toy is positioned to the right of Pororo.",pororo saw a wind-up toy moving on the floor nearby while he was sitting on the sofa with a book.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Loopy, a pink character, is holding a sandwich in her right hand, smiling as she offers it. Next to her, Crong, a green character, looks on with a surprised expression. The scene appears to be set in a snowy environment, with ice and snow in the background. Loopy is positioned slightly to the left, while Crong stands to her right.",loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","In the image, four characters are visible: Crong, Loopy, Poby, and Pororo. They are standing together in a snowy outdoor environment, with ice formations in the background. Crong, a green dinosaur, is on the left, while Loopy, a pink beaver, is next to him. Poby, a polar bear, stands behind them, and Pororo, a blue penguin with glasses, is on the right. All characters are looking towards the front, seemingly observing something.","loopy asks eddy, ""what are you doing?"" while observing his robot.","0.0,0.0,0.0",0.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"Crong, a small green dinosaur, is cleaning the floor of a cozy indoor space. He is standing upright with a cheerful expression, holding a cleaning tool. In the background, there is a wooden chest and colorful decorations on the walls, indicating a festive atmosphere. Pororo is positioned nearby, appearing to whisper to Loopy, who is not visible in the image.","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by his desire to receive a christmas present.","0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"In the image, Pororo is seen entering a snowy outdoor environment, characterized by an igloo-like structure and snow-covered ground. The scene is set in a winter landscape with falling snowflakes. Crong is not visually present in the image, but the context suggests he is nearby. The overall color palette features shades of white and blue, typical of a snowy setting.",crong was playing with a snowboard as pororo entered the house.,"1.0,1.0,1.0",1.0
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","Pororo, a small penguin with a brown aviator hat and large orange goggles, is in the foreground with his arms outstretched. He appears to be expressing surprise or excitement. In the background, Crong, a green dinosaur, and Loopy, a pink beaver, are standing together on a snowy landscape, surrounded by snow-covered trees. The scene is bright and outdoors, with a clear blue sky above.","pororo expressed surprise and excitement, indicating that there was something strange on the beach, which turned out to be a gorilla toy.","0.25,0.25,0.25",0.25
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy, a light gray character, is standing next to Pororo, an orange character with a round face and large eyes. They are facing each other, with Eddy appearing to apologize, indicated by his body posture and expression. The scene is set outdoors at night, with snow-covered ground and trees in the background.",eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"Eddy, Loopy, and Poby are gathered together outdoors in a snowy environment. Eddy is standing and appears to be explaining something, while Loopy is clapping and Poby is nodding his head in agreement. In the background, there is an ice structure with a slide and a swing. The scene is bright with a clear blue sky and snow-covered ground.","eddy, loopy, and poby were secretly discussing something while clapping and nodding, just before pororo arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"In the snowy outdoor scene, four characters are visible: Loopy, a pink otter; Poby, a white bear; Crong, a green dinosaur; and Eddy, an orange fox. They are standing together, facing towards the viewer, with cheerful expressions. The background features snow-covered trees and a clear blue sky. There is no snowman or indication of Pororo's presence in the image.","no, the friends do not find pororo behind the snowman, as there is no snowman or indication of pororo's presence in the scene.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"In the image, Pororo, a small blue penguin with a yellow aviator hat and orange glasses, stands in a snowy outdoor environment. He has a confident posture with one hand on his hip and a serious expression on his face. In the background, there is a brown house and green trees, indicating a winter scene. The snow covers the ground, creating a bright, white landscape.","when pororo says ""come here,"" crong tries to run away again, ignoring pororo's command.","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","The image shows Poby, a white bear character, standing on a snowy path. He has a round face and a prominent black nose. Poby appears to be in a playful posture, with his arms raised slightly as if inviting others to join him. The background features snow-covered trees and a clear blue sky.","""of course!""","1.0,1.0,1.0",1.0
41,2446,Pororo_ENGLISH1_3_ep7,Average,what does poby say when invited to play,"Total Videos: 22, Total Questions: 40",,,,0.725
