row_num,qid,video_name,gif_num,question,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'frog-like', 'holding a lamp'], 'location': ['foreground', 'center']}, {'name': 'lamp', 'attributes': ['small', 'out'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Crong', 'action': 'opens', 'object': 'mouth'}, {'subject': 'Crong', 'action': 'shakes', 'object': 'head'}], 'relationships': [], 'uncertain': [{'description': 'background details', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region contains unclear background details.', 'center': 'Crong is surprised, holding an out lamp.', 'right': 'The right region is empty.', 'foreground': 'Crong is in the foreground, expressing surprise.', 'background': 'The background features a night sky with trees.'}}","crong is scared of pororo because he is surprised and holding an out lamp, indicating fear in a dark environment.","0.5,0.5,0.5",0.5
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['holding a salt bottle', 'cooking'], 'location': ['foreground', 'center']}, {'name': 'mixing bowl', 'attributes': ['empty', 'white'], 'location': ['foreground', 'center']}, {'name': 'salt bottle', 'attributes': ['small', 'transparent'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'sprinkles', 'object': 'salt'}], 'relationships': [{'subject': 'Loopy', 'relation': 'holds', 'object': 'salt bottle'}, {'subject': 'Loopy', 'relation': 'interacts with', 'object': 'mixing bowl'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is unclear or empty.', 'center': 'Loopy is holding a salt bottle and sprinkling salt into a mixing bowl.', 'right': 'The right region is unclear or empty.', 'foreground': 'Loopy and the mixing bowl are in the foreground.', 'background': 'The background contains indistinct details.'}}",loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'fox character'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'guesses', 'object': 'the ghost ran away'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy, a smiling fox character, is visible.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground, prominently displayed.', 'background': 'The background features a night sky with stars and distant hills.'}}","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['bear', 'white'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['fox', 'orange'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['crocodile', 'green'], 'location': ['foreground', 'right']}, {'name': 'table', 'attributes': ['round', 'wooden'], 'location': ['foreground', 'center']}, {'name': 'juice', 'attributes': ['in glass', 'yellow'], 'location': ['foreground', 'center']}, {'name': 'mountains', 'attributes': ['snowy', 'background'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Poby', 'action': 'sitting', 'object': 'table'}, {'subject': 'Eddy', 'action': 'sitting', 'object': 'table'}, {'subject': 'Crong', 'action': 'sitting', 'object': 'table'}, {'subject': 'Poby', 'action': 'drinking', 'object': 'juice'}, {'subject': 'Eddy', 'action': 'drinking', 'object': 'juice'}, {'subject': 'Crong', 'action': 'drinking', 'object': 'juice'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Poby', 'relation': 'in front of', 'object': 'mountains'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'mountains'}, {'subject': 'Crong', 'relation': 'in front of', 'object': 'mountains'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby the bear is sitting at the table.', 'center': 'Eddy the fox is sitting at the table with juice.', 'right': 'Crong the crocodile is sitting at the table.', 'foreground': 'The characters are gathered around a table with juice.', 'background': 'Snowy mountains are visible in the background.'}}","loopy's friends, pororo, crong, poby, and eddy, sit around a table drinking juice together.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue body'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['pink body', 'touching her face'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': 'Loopy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'facing', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy is standing and touching her face.', 'center': 'Pororo is facing Loopy, asking a question.', 'right': 'Empty or unclear.', 'foreground': 'Pororo and Loopy are in the snowy landscape.', 'background': 'Blue sky and snow-covered trees.'}}","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'white fur', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'standing'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'scratches', 'object': 'his head'}], 'relationships': [{'subject': 'Poby', 'relation': 'is next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the background scenery', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is scratching his head.', 'center': 'The background is unclear, possibly depicting a night scene.', 'right': 'Loopy, the pink character, is standing.', 'foreground': 'Poby and Loopy are in the foreground.', 'background': 'The background is dark with trees, details are unclear.'}}","""poby tells loopy, 'i could not sleep.'""","1.0,0.75,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,Visual Description: Eddy is talking and swinging his arms.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue penguin'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['background', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'stands up', 'object': None}, {'subject': 'Crong', 'action': 'slides down', 'object': 'behind Pororo'}], 'relationships': [{'subject': 'Crong', 'relation': 'behind', 'object': 'Pororo'}], 'uncertain': [{'description': ""Eddy's presence"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is sliding down in the background.', 'center': 'Pororo stands up with his left arm raised.', 'right': 'Region is empty or unclear.', 'foreground': ""Eddy's presence is unclear."", 'background': 'Snowy landscape with ice formations.'}}",crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a hat', 'holding a vase with flowers'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['sitting'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['sitting'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Loopy', 'action': 'holding', 'object': 'vase with flowers'}], 'relationships': [{'subject': 'Loopy', 'relation': 'is next to', 'object': 'Eddy'}, {'subject': 'Loopy', 'relation': 'is next to', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is sitting on the left side of the foreground.', 'center': 'Loopy is smiling and holding a vase with flowers in the center.', 'right': 'Pororo is sitting on the right side of the foreground.', 'foreground': 'Loopy, Eddy, and Pororo are all in the foreground.', 'background': 'The background features a snowy landscape with trees and ice.'}}",loopy proposed that the group ask him anything after sharing about the flower.,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,Visual Description: crong and pororo have a sad face.,pororo thought they needed to find a way to cheer themselves up and solve their problem together.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['pink', 'bear', 'surprised'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['white', 'dog', 'excited'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['orange', 'rabbit', 'curious'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'look', 'object': 'down'}, {'subject': 'Eddy', 'action': 'look', 'object': 'down'}, {'subject': 'Loopy', 'action': 'look', 'object': 'down'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the hole', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby looks surprised from the left side of the hole.', 'center': 'Eddy appears excited in the center of the hole.', 'right': 'Loopy looks curious from the right side of the hole.', 'foreground': 'The characters are peering down from the hole.', 'background': 'The background is mostly empty with a blue sky.'}}","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a mask', 'sticking out tongue'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'talking', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and talking, wearing a mask and sticking out her tongue.', 'right': 'The right region is empty.', 'foreground': 'Loopy is prominently displayed in the foreground.', 'background': 'The background features a snowy landscape with trees.'}}","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,Visual Description: pororo suspiciously asks that why eddy is hiding the map as if it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'wind-up toy', 'attributes': ['toy', 'moving'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'sees', 'object': 'wind-up toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'sitting on', 'object': 'sofa'}, {'subject': 'wind-up toy', 'relation': 'in front of', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2': {'left': 'The left region is empty.', 'center': 'Pororo is sitting on a sofa, reading a book.', 'right': 'A wind-up toy is moving on the floor.', 'foreground': 'Pororo and the wind-up toy are visible.', 'background': 'The walls and windows are visible.'}}",pororo saw a wind-up toy moving on the floor.,"0.0,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'bear', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['green', 'frog', 'curious'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Loopy', 'action': 'hands over', 'object': 'sandwich'}, {'subject': 'Eddy', 'action': 'picks up', 'object': 'sandwich'}], 'relationships': [{'subject': 'Loopy', 'relation': 'gives to', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a green frog, is looking at Loopy.', 'center': 'Loopy, a pink bear, is holding a sandwich.', 'right': 'Empty or unclear.', 'foreground': 'Loopy and Eddy are interacting with a sandwich.', 'background': 'Snowy landscape with ice formations.'}}",loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
