row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_description,visual_language_answer,predicted_answer,evaluator_scores,accuracy
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,"Crong is not visible in the image, but a basketball is shown near the hoop. The scene suggests that Crong missed his shot, indicating he did not score.",crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","Pororo, wearing a brown helmet, looks up at Poby with a slight smile, indicating he is apologizing. Poby, a white bear, stands nearby, and the indoor setting features a window and a picture on the wall.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""we are going to leave now.""","Eddy, wearing a helmet, stands next to Poby, who is looking at him. Eddy tells Poby, ""We are going to leave now,"" in Poby's room, which has a bed and scattered items.","eddy tells poby, ""we are going to leave now,"" while standing in poby's room.","eddy tells poby, ""we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby the camera he placed on the floor.,"Pororo, wearing a yellow helmet, is walking away from Poby, who is standing still. A camera is placed on the floor, indicating what Pororo almost forgets to take.",pororo almost forgets to leave with the camera he placed on the floor.,pororo almost forgets to leave with poby the camera he placed on the floor.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,"Pororo appears sad after seeing the wilted flower, indicated by a frown and drooping posture. The flower, brown and droopy, is prominently placed in a pot by the window.","pororo felt sad after seeing the wilted flower, as indicated by his frown and drooping posture.",pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,"Loopy, wearing a chef hat, is smiling while stirring a bowl in a cozy indoor kitchen. The picnic is planned for tomorrow.",loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"Crong has a wide-open mouth and a startled expression, indicating surprise and fear. He is holding a lamp in his left hand, which is out, suggesting a dark environment.","crong is scared of pororo due to the dark environment and his startled expression, indicating surprise and fear.",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"0.5,0.5,0.5",0.5
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,Loopy is adding salt to her mixing bowl. She is holding a salt bottle and sprinkling a little salt into the bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","Eddy, a small orange fox, has a cheerful expression with a wide smile. He appears confident, suggesting that the ghost ran away after seeing them.","eddy thinks the ghost ran away after it saw him, poby, and loopy.","eddy thinks the ghost ran away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","Loopy, Crong, Poby, and Eddy are sitting around a table inside, drinking juice and enjoying snacks. The setting features a cozy indoor environment with a snowy background visible through the window.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, drinking juice and enjoying snacks together.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, drinking juice and enjoying snacks together.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","Pororo, wearing a yellow helmet, stands facing Loopy, who touches her face with her hand. He asks, ""What was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","Poby, a white bear, stands outside in a snowy environment, scratching his head with his right paw. He appears puzzled, conveying a sense of concern as he addresses Loopy.","poby tells loopy, ""i could not sleep,"" while looking puzzled and concerned in the snowy environment.","poby tells loopy, ""i could not sleep,"" while looking puzzled and concerned in the snowy environment.","1.0,1.0,1.0",1.0
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,"Poby's friend, a small orange dog, stands with arms outstretched and a joyful expression. The snowy outdoor setting features trees and mountains in the background.",poby's friend decided to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,"Eddy is interrupted by Crong, who is sliding down behind Pororo. Pororo stands up and raises his left arm, indicating surprise.","eddy is interrupted by crong, who is sliding down behind pororo.",crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,"Loopy, smiling and wearing a hat, holds a vase with flowers while standing in a snowy outdoor setting. Eddy and Pororo are sitting on the ground nearby, engaged in the conversation.",loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to find a way to cheer up crong and make him smile again.,"Pororo has a furrowed brow and a slight frown, indicating confusion or concern. He appears to be pondering a solution to the situation.",pororo thought he needed to come up with a plan to cheer up crong and solve their problem.,pororo thought he needed to find a way to cheer up crong and make him smile again.,"0.25,0.5,0.25",0.25
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","Poby, Eddy, and Loopy look down from a hole, expressing concern with wide eyes and open mouths. They convey the message, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","Loopy, smiling and wearing a mask, sticks out her tongue while speaking to Pororo and Crong. She asks, ""Did you think you could play a trick on me?""","loopy, smiling and playful, asked pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,"Pororo, a small blue penguin with orange glasses, stands with a suspicious expression, suggesting curiosity about Eddy's hidden object. The snowy outdoor setting features pine trees and mountains, emphasizing the mystery surrounding Eddy's map.",pororo thinks eddy is hiding the map because he suspects it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,Pororo sees a wind-up toy moving on the floor in front of him. He is sitting on a green sofa with a book in his lap.,pororo saw a wind-up toy moving on the floor in front of him.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,"Loopy, a pink character, is handing a sandwich to Eddy, who is a green character. Eddy is positioned to the left, appearing ready to receive the sandwich.",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","Loopy asks Eddy, ""Eddy, what happened?"" while looking concerned, as she watches him ride the strange-moving robot. Poby, Crong, and Pororo stand nearby, also observing the situation.","loopy asks eddy, ""eddy, what happened?"" while watching him ride the strange-moving robot with concern.","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,"Crong, a small green dinosaur, is happily cleaning the floor with a cheerful expression. Pororo and Loopy are in the background, appearing curious and engaged in a secretive conversation.","everyone felt amused and intrigued as crong happily cleaned, while pororo and loopy engaged in their secretive conversation.","everyone felt amused and intrigued as crong happily cleaned, while pororo and loopy engaged in their secretive conversation.","0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,"Crong was playing with a colorful ball inside the igloo as Pororo entered the house. The setting is snowy, with the igloo surrounded by a winter landscape.",crong was playing with a colorful ball inside the igloo as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.75,0.5,0.5",0.5
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","Pororo, a small penguin with orange glasses and a brown hat, has his arms outstretched and is facing Loopy and Crong. The snowy outdoor setting features trees in the background, and Pororo appears surprised or excited.","pororo answered, ""uh well,"" while excitedly gesturing towards loopy and crong in the snowy setting.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,"Eddy, a gray fox, is standing next to his snowman, looking at Pororo, a small orange penguin. Both characters appear happy, with Pororo smiling and Eddy expressing remorse.",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something while loopy clapped and poby nodded in agreement when pororo arrived with crong.","Eddy, Loopy, and Poby are gathered together, with Eddy explaining something while Loopy claps and Poby nods. They are in a snowy outdoor setting with ice formations and trees in the background.","eddy, loopy, and poby were secretly discussing something while clapping and nodding in a snowy outdoor setting when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something while loopy clapped and poby nodded in agreement when pororo arrived with crong.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"the friends do not find pororo behind the snowman, as they are waving goodbye to him.","The friends, Loopy, Poby, Crong, and Eddy, are in a snowy outdoor setting, waving and smiling. There is no visible snowman or indication that they find Pororo behind it.","the friends do not find pororo behind the snowman, as there is no snowman present in the scene.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong tries to run away when pororo says ""come here.""","Crong appears hesitant, looking away from Pororo while standing in a slightly crouched position, indicating he might want to run away. Pororo stands confidently with arms crossed, displaying a determined expression as he says, ""come here.""","crong hesitates and looks away from pororo, indicating a desire to run away instead of coming over.","crong tries to run away when pororo says ""come here.""","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","Poby, a white polar bear, is smiling and appears excited as he runs towards his friends. He expresses enthusiasm with his open arms, indicating readiness to play.","poby excitedly responds, ""of course!"" as he runs towards his friends to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,,0.81875
