row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy tells Poby, ""Poby, we are going to leave now."" They are in Poby's place, with a bed behind them.","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"and this Pororo almost forgets to leave the camera with Poby. Pororo is in a blue outfit, standing near Poby, who is a white bear. They are indoors, in Poby's cozy place.",pororo almost forgets to leave the camera with poby before leaving his cozy place.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"### The dandelion is wilting Pororo felt sad after seeing the wilted flower. ### Scene Description The flower withered, which is placed in front of the window.",pororo felt sad after seeing the wilted flower.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"We are going on a picnic tomorrow. Loopy, wearing a chef hat, is smiling and cooking in a cozy indoor kitchen.",loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong Crong looks surprised and scared, with wide eyes and an open mouth. Crong is holding a lamp in the left hand, which is out.","crong is scared of pororo because he is surprised and frightened in the dark, holding an extinguished lamp.","0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,Loopy adds salt to her mixing bowl. She is holding a salt bottle and sprinkles it into the bowl.,loopy adds salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy thinks the ghost must have run away after seeing them. He appears cheerful, standing outdoors with a night sky backdrop.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Crong Loopy's friends are sitting around a table inside, drinking juice and enjoying snacks. Scene Description Pororo, Crong, Poby, and Eddy are gathered indoors, smiling and interacting cheerfully.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, drinking juice and enjoying snacks while smiling and interacting cheerfully.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","What was it that you did a minute ago? Pororo asked Loopy what she did a minute ago. Pororo, wearing a helmet, stands facing Loopy in a snowy landscape. Loopy touches her face, appearing curious.","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"i could not sleep Poby scratches his head with his right paw and puts it down. Poby looks concerned, standing outside in a snowy environment, indicating he is sharing his sleeplessness with Loopy.","""poby tells loopy, 'i could not sleep,' while looking concerned in the snowy environment.""","0.75,0.75,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,We have to help Poby get some sleep. Poby's friend decided to assist him by expressing concern and enthusiasm. Eddy is animatedly talking and swinging his arms in a snowy outdoor setting.,poby's friend decided to help him get some sleep by showing concern and enthusiasm.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"Eddy is interrupted by Crong, who is sliding down behind Pororo. Pororo stands up and raises his left arm.","eddy is interrupted by crong, who is sliding down behind pororo.","0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"So go ahead, ask me anything. Loopy proposed to share the flower with the group, smiling while holding a vase. Eddy and Pororo are sitting nearby.","loopy proposed to share the flower with the group while smiling and holding a vase, as eddy and pororo sat nearby.","0.0,0.0,0.0",0.0
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"### What should I do? Pororo looks concerned with a furrowed brow and a slight frown. Crong stands beside him, both showing sad expressions.",pororo thought he needed to find a way to cheer up crong and make them both feel better.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","We are here to save you. Loopy, Poby, and Eddy look down from the hole, showing concern and determination on their faces.","loopy, poby, and eddy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy tells Pororo and Crong, ""Did you think you could play a trick on me?"" She smiles, wearing a mask, and sticks out her tongue.","loopy told pororo and crong, ""did you think you could play a trick on me?"" while smiling and wearing a mask.","0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"Why are you hiding it as if it is some kind of treasure? Pororo thinks Eddy is hiding something important, like a treasure map. Pororo stands with a suspicious expression, questioning Eddy's secretive behavior in a snowy outdoor setting.","pororo thinks eddy is hiding something important, like a treasure map, due to his secretive behavior.","1.0,1.0,1.0",1.0
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"The doll is moving Pororo sees a wind-up toy moving on the floor. Scene Description Pororo, a small blue penguin, sits on a green sofa with a book on his lap, looking surprised.",pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Here Eddy Loopy hands a sandwich over to Eddy. Eddy picks up the sandwich with his robot arm. Loopy, a pink bear, is smiling while offering a sandwich to Eddy, a green character. They are outdoors in a snowy environment.",loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","Loopy asks Eddy, ""Eddy, what happened?"" while watching him ride the strange-moving robot. The characters are outdoors in a snowy environment.","loopy asks eddy, ""eddy, what happened?"" while observing him ride the strange-moving robot in the snowy environment.","0.75,0.75,0.75",0.75
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"### Crong Crong Crong Crong is happily cleaning the floor, showing enthusiasm. Pororo and Loopy appear curious and engaged in conversation. ### Visual Description Crong smiles widely while cleaning, indicating joy. Pororo and Loopy look intrigued, suggesting interest in Crong's actions.","everyone felt intrigued and entertained as crong joyfully cleaned the house, showcasing his enthusiasm while pororo and loopy engaged in curious conversation.","0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"### Pororo is desperately looking for Crong Pororo enters the house, searching for Crong, who is playing with a colorful toy. ### Scene Description Crong is engaged with a bright, round toy in the cozy, snowy interior of the igloo.","crong was playing with a bright, round toy in the cozy, snowy interior of the igloo.","0.25,0.25,0.25",0.25
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","Uh well Pororo appears surprised and animated. Scene Description Pororo moves his arms and turns around, standing in a snowy outdoor setting with Loopy and Crong in the background.","pororo answered, ""uh well,"" while appearing surprised and animated in the snowy outdoor setting with loopy and crong in the background.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy said sorry to Pororo. Eddy stands next to his snowman, looking at Pororo with a sincere expression.",eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"### The friends are talking about something secretly Eddy, Loopy, and Poby are gathered, discussing something quietly. Eddy is explaining while Loopy claps and Poby nods.","eddy, loopy, and poby were secretly discussing something while clapping and nodding when pororo arrived with crong.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"### Bye Pororo Loopy, Poby, Crong, and Eddy wave at Pororo and say goodbye to Pororo. The friends do not find Pororo behind the snowman. They are in a snowy outdoor setting, smiling and waving.",the friends do not find pororo behind the snowman as they wave goodbye to him.,"0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"### Come Here Pororo says ""come here."" ### Scene Description Pororo tells Crong to come over. Crong is trying to run away again. Crong appears hesitant, looking back while attempting to escape. Pororo stands confidently, arms crossed, in a snowy outdoor setting.",crong hesitates and looks back while trying to run away from pororo's command to come over.,"0.75,0.75,0.75",0.75
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",Of course Poby happily responds to the invitation to play. Scene Description Poby abandons his fishing rod and goes to his friends to play.,"poby happily responds, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,0.79375
