row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,predicted_answer,evaluator_scores,accuracy
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong misses his shot at the basketball hoop, as the ball is seen bouncing away. Crong appears disappointed in Poby's house, indicating he did not score.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","crong did not score after he shot the ball at the hoop, as he missed and appeared disappointed.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Pororo, wearing a brown hat, looks up at Poby with a concerned expression. Poby appears forgiving, indicating that he accepts Pororo's apology.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy and Loopy are in Poby's room, with a bed visible behind them. Eddy tells Poby, ""we are going to leave now,"" while Poby appears calm.",eddy tells poby that they are going to leave now.,"eddy tells poby, ""we are going to leave now,"" while poby appears calm in his room.",eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"Pororo almost forgets to leave Poby's precious camera, which is placed on the floor. Poby stands nearby, looking concerned.",pororo almost forgets to leave with poby's precious camera.,"pororo almost forgets to leave with poby's precious camera, which is placed on the floor.",pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"Pororo appears sad and concerned, with a frown and wide eyes, as he looks at the wilted dandelion in the pot. The flower is brown and drooping, indicating its poor condition, set against a bright window background.","pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.","pororo felt sad and concerned after seeing that the flower had wilted, realizing it was dying.","pororo felt sad and concerned after seeing that the flower had wilted, realizing it was dying.","1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy, wearing a chef hat, is smiling while mixing ingredients in a bowl, preparing for tomorrow's picnic. The setting is indoors, with kitchen items visible in the background.",loopy will go on a picnic tomorrow with friends after finishing cooking tonight.,loopy will go on a picnic tomorrow after finishing cooking tonight.,loopy will go on a picnic tomorrow with friends after finishing cooking tonight.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong has a surprised expression with his mouth open and is shaking his head while holding a lamp. The dark, nighttime setting with shadows contributes to his fear, as he mistakes Pororo for a ghost.",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"crong is scared of pororo because he mistakes him for a ghost in the dark, nighttime setting.",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy is holding a salt bottle and is sprinkling salt into a mixing bowl. The setting appears to be indoors, likely in a kitchen.",loopy adds salt to her mixing bowl while cooking.,loopy adds salt to her mixing bowl while cooking.,loopy adds salt to her mixing bowl while cooking.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy, a small orange fox, appears cheerful with a wide smile, suggesting he thinks the ghost ran away. The dark, starry night setting adds to the spooky atmosphere, but Eddy's expression indicates relief.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","eddy thinks the ghost ran away after it saw him, poby, and loopy in the dark and windy night.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Loopy and her friends are sitting around a table inside, drinking juice and enjoying snacks. They appear happy and engaged in conversation.","loopy and her friends drink juice, dance, and enjoy each other's company while having a good time indoors.","loopy and her friends sit around a table inside, drinking juice, enjoying snacks, and dancing together while having a good time.","loopy and her friends drink juice, dance, and enjoy each other's company while having a good time indoors.","0.5,0.5,0.5",0.5
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","Pororo asks Loopy, ""What was it that you did a minute ago?"" while standing face to face in a snowy landscape. Loopy touches her face, indicating a secretive demeanor.",pororo asked loopy what she did a minute ago.,"pororo asked loopy, ""what was it that you did a minute ago?"" while they stood face to face in the snowy landscape.",pororo asked loopy what she did a minute ago.,"1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"Poby, a white bear, stands outside in the night, scratching his head with his right paw. He tells Loopy, ""I could not sleep,"" indicating his sleeplessness.","loopy, i could not sleep.","poby tells loopy, ""i could not sleep,"" expressing his sleeplessness during the night.","poby tells loopy, ""i could not sleep.""","1.0,1.0,1.0",1.0
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"Poby's friend, Eddy, is smiling with arms outstretched in a snowy outdoor setting. He appears cheerful and energetic, indicating a playful mood.",poby's friend decided to help him get some sleep after staying up all night together.,"poby's friend, eddy, decided to help poby get some sleep after staying up all night with him.",poby's friend decided to help him get some sleep after staying up all night together.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"Eddy is interrupted by Loopy, who is wearing a flower and appears excited. The setting is snowy, with Pororo and Crong visible in the background.",eddy is interrupted by loopy as he was saying hello.,"loopy interrupts eddy as he was saying hello, excitedly talking about her magic flower.",eddy is interrupted by loopy as he was saying hello.,"0.0,0.0,0.25",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy, smiling and wearing a hat, holds a vase with flowers, proposing to predict the future using the magic flower. She suggests asking about whether Poby will catch a big fish.","loopy proposed to the group that they ask the magic flower any question, claiming it would provide answers that never fail.","loopy proposed to predict the future using the magic flower, suggesting they ask whether poby would catch a big fish.","loopy proposed to the group that they ask the magic flower any question, claiming it would provide answers that never fail.","0.75,1.0,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"Pororo has a determined expression, wearing a superhero outfit with a helmet and headphones. He appears to be thinking seriously about his next action, possibly feeling a mix of confidence and concern.",pororo thought being a superhero was challenging and realized he needed to be more careful with his plans.,pororo thought he needed to come up with a new plan to save loopy since she wasn't in danger after all.,pororo thought he needed to come up with a new plan to save loopy since she wasn't in danger after all.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Poby, Eddy, and Loopy are looking down into a hole, appearing surprised and concerned. Their expressions suggest they are discussing how to help Pororo and Crong.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, complicating their superhero mission.","poby, eddy, and loopy expressed concern for pororo and crong, discussing how to help them after realizing they might be in trouble.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, complicating their superhero mission.","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy, wearing a mask and smiling, is excitedly talking with her hands around her mouth. She appears to be expressing joy and enthusiasm, possibly about an adventure or mission.","loopy expressed gratitude to pororo for his superhero efforts, despite the confusion about her being in danger.","loopy excitedly told pororo and crong about her adventure, expressing joy and enthusiasm for their superhero mission.","loopy expressed gratitude to pororo for his superhero efforts, despite the confusion about her being in danger.","0.0,0.0,0.0",0.0
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"Pororo stands with a skeptical expression, looking at Eddy, who appears to be hiding something. The snowy outdoor setting features trees and mountains in the background, emphasizing Pororo's curiosity about Eddy's secret.",pororo thinks eddy is hiding the map because he believes it is a treasure map.,pororo thinks eddy is hiding the map because he suspects it is a treasure map.,pororo thinks eddy is hiding the map because he believes it is a treasure map.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"Pororo, a small blue penguin, is sitting on a green sofa with a book in his lap. He sees a wind-up toy moving on the floor nearby.",pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor nearby.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Loopy, a pink character, is smiling and holding a sandwich in her hand. She is giving the sandwich to Eddy, who is positioned nearby.",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","Loopy asks Eddy, ""What are you doing?"" while watching him ride the robot. She appears curious and engaged in the scene.","loopy asks eddy, ""what are you doing?"" while watching him with the robot.","loopy asks eddy, ""what are you doing?"" while watching him ride the robot.","loopy asks eddy, ""what are you doing?"" while watching him with the robot.","0.0,0.0,0.0",0.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"Crong is happily cleaning the floor, smiling with a cheerful expression. Pororo, in the background, appears excited and engaged while whispering to Loopy.","everyone felt surprised and amused to see crong cleaning the house, thinking he was trying to be good for santa claus.","everyone felt surprised and amused to see crong happily cleaning, as it seemed he wanted to be good for santa claus.","everyone felt surprised and amused to see crong happily cleaning the house, thinking he was trying to be good for santa claus.","0.75,0.75,1.0",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Crong was playing with a colorful toy, possibly a ball, as Pororo entered the house. The setting is a snowy outdoor environment with an igloo-like structure in the background.",crong was playing with a snowboard as pororo entered the house.,"crong was playing with a colorful toy, possibly a ball, as pororo entered the house.",crong was playing with a snowboard as pororo entered the house.,"1.0,1.0,1.0",1.0
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","Pororo, a small penguin with large glasses, appears surprised and animated, gesturing with his arms in a snowy outdoor setting. Loopy and Crong are visible in the background, looking curious about Pororo's reaction.",pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,"pororo expressed surprise and curiosity about the strange object on the beach, suggesting they take another look at it.",pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,"0.0,0.0,0.0",0.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy, a gray fox, stands next to his snowman, looking at Pororo with a sincere expression. He says sorry to Pororo, who is smiling back at him.",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"Eddy, Loopy, and Poby are gathered together, with Eddy explaining something while Loopy claps and Poby nods. They appear to be engaged in a secretive conversation outdoors in a snowy environment.","eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something while clapping and nodding, just before pororo arrived.","eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"The friends, Loopy, Poby, Crong, and Eddy, are in a snowy outdoor setting, smiling and waving. There is no visible snowman or indication that they find Pororo behind it.","no, the friends do not find pororo behind the snowman; instead, they celebrate his birthday.","the friends do not find pororo behind the snowman, as there is no indication of a snowman in the scene.","no, the friends do not find pororo behind the snowman; instead, they celebrate his birthday.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"Crong is seen trying to run away while Pororo stands confidently with his hands on his hips, looking determined. The snowy outdoor setting features a brown house and green trees in the background.","when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and causing chaos.","when pororo says ""come here,"" crong tries to run away instead of obeying.","when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and causing chaos.","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","Poby, a white bear, is seen smiling and approaching his friends in a snowy outdoor setting. He responds to the invitation to play with ""of course.""","poby responds, ""of course,"" when invited to play together.","poby responds to the invitation to play with ""of course.""","poby responds, ""of course,"" when invited to play together.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,,0.74375
