row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,model_confidence,changed,evaluator_scores,accuracy
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"First, Crong shoots the basketball towards the hoop. Then, the basketball hits the rim and bounces off. Finally, the basketball rolls away from the hoop, indicating that Crong missed the shot.",crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,False,1.0,1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"First, Pororo looks up at Poby with his eyes slightly closed. Then, he raises his hand and gestures toward the ground. While doing this, he says, ""oh sorry poby i will clean it up."" After that, Pororo lowers his head slightly and maintains eye contact with Poby.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,False,1.0,1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"First, Eddy stands next to Poby and looks at him. Then, Eddy raises his hand and gestures as he speaks. While doing this, he says, ""Poby, we are going to leave now."" Poby remains still, facing Eddy. Meanwhile, Loopy is positioned slightly behind Eddy, looking toward Poby. After Eddy finishes speaking, Poby's head is slightly lowered, and he looks at the ground.","eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""",1.0,False,1.0,1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"First, Pororo places the camera on the floor. Then, he turns around and walks toward the exit of the room. Meanwhile, Poby stands still, facing Pororo. As Pororo leaves, he looks back briefly at Poby. Finally, Pororo exits the scene, leaving the camera behind.",pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera he placed on the floor.,pororo almost forgets to leave with the camera he placed on the floor.,1.0,True,0.5,0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"First, the dandelion flower is shown in a pot, visibly wilted with brown petals. Then, the camera focuses on the flower, emphasizing its drooping position. Finally, the scene remains static, highlighting the wilted state of the flower in front of the window.",pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,1.0,False,1.0,1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"1. **Visible Actions in Sequence**:
   - First, Loopy is standing at a table, holding a mixing bowl.
   - Then, Loopy stirs the contents of the bowl with a spoon.
   - Finally, Loopy looks up and smiles at the camera.

2. **Character Behaviors**:
   - Loopy is actively stirring the bowl and maintains a cheerful expression with a smile.
   - Loopy's body is upright, and she is wearing a chef hat, indicating her role in cooking.

3. **Dialogue Integration**:
   - Loopy says ""we are going on a picnic tomorrow"" while stirring the bowl and smiling at the camera.",loopy is cooking for a picnic tomorrow.,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,1.0,True,1.0,1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","First, Crong opens his mouth wide, indicating surprise. Then, he shakes his head from side to side. Crong is holding a lamp in his left hand, which is not lit. The background shows a night scene with trees and a dark sky.",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark, eerie night scene.",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,1.0,False,0.75,0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"First, Loopy holds a salt bottle above the mixing bowl. Then, she tilts the salt bottle to pour a small amount of salt into the bowl. Finally, she returns the salt bottle to a resting position. 

While performing these actions, Loopy says, ""okay now a little salt.""",loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,1.0,False,1.0,1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","1. **Visible Actions in Sequence**:
   - First, Eddy stands in a position with his body slightly turned towards Poby and Loopy.
   - Then, he gestures with his hands, possibly indicating a direction or emphasizing his point.
   - Finally, he looks towards Poby and Loopy, maintaining an engaged posture.

2. **Character Behaviors**:
   - Eddy appears animated and expressive, with a wide smile and bright eyes.
   - Poby and Loopy are positioned nearby, possibly looking at Eddy while he speaks.
   - Their body postures suggest attentiveness, as they face Eddy.

3. **Dialogue Integration**:
   - Eddy says ""he must have run away after he saw us"" while gesturing with his hands and looking at Poby and Loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.",1.0,False,1.0,1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"First, Pororo sits at the table, holding a glass of juice and smiling. Then, Crong stands next to Pororo, looking at him while holding his own glass. Poby is positioned to the right of Crong, also holding a glass and looking at the table. Eddy is further back, standing and looking toward the group. 

As the dialogue ""crong"" is spoken, Crong raises his glass slightly and tilts his head, directing his attention toward Pororo. The other characters remain seated, with Pororo continuing to smile and Poby looking down at the table. Eddy shifts his weight slightly, maintaining a relaxed posture. 

The scene captures a moment of camaraderie as they enjoy their drinks together.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table enjoying juice together, sharing a moment of camaraderie.","loopy's friends, pororo, crong, poby, and eddy, sit around the table enjoying juice together, sharing a moment of camaraderie.",1.0,True,1.0,1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","First, Pororo stands facing Loopy, looking directly at her. Then, he raises his hand slightly and asks, ""what was it that you did a minute ago."" While he speaks, Loopy touches her face with her hand. After that, Loopy looks at Pororo, maintaining eye contact.","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""",1.0,False,1.0,1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"First, Poby stands in front of Loopy, scratching his head with his right paw. Then, he lowers his paw back down to his side. While performing these actions, Poby says, ""I could not sleep.""","loopy, i could not sleep.","poby tells loopy, ""i could not sleep.""","loopy, i could not sleep.",1.0,False,0.75,0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"First, Eddy stands with his arms outstretched. Then, he swings his arms back and forth while talking. Finally, he maintains his stance with arms still moving as he continues to speak.",eddy decided that they need to help poby get some sleep.,eddy decided that they have to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,0.75,False,1.0,1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"First, Pororo stands up and raises his left arm. Then, Crong slides down behind Pororo. As this happens, Pororo is positioned in front of Crong, and Crong's movement is directed towards the ground. The dialogue ""hey why did not you move"" is spoken while Pororo is raising his arm.",crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,1.0,False,0.0,0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"First, Loopy stands in the center of the scene, smiling while holding a vase with flowers in it. Then, she raises the vase slightly and looks at Eddy and Pororo, who are sitting on the ground in front of her. While doing this, she says, ""so go ahead ask me anything."" After that, she maintains her smile and continues to hold the vase, indicating her readiness to engage with the group.",loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed to the group to ask her anything while holding the vase with flowers.,loopy proposed to the group to ask her anything while holding the vase with flowers.,1.0,True,1.0,1.0
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"First, Pororo stands still with a furrowed brow and a slight frown. Then, he looks down, lowering his head slightly. After that, he raises his hand to his chin, appearing to think. 

Crong stands next to Pororo, also with a sad expression, his head lowered and eyes looking down. Crong shifts his weight from one foot to the other, maintaining a downcast posture. 

While this is happening, Pororo says, ""what should I do"" while looking contemplatively at the ground.",pororo thought he needed to find a way to cheer up crong and make things better.,pororo thought about how to cheer up crong and find a solution to their sadness.,pororo thought about how to cheer up crong and find a solution to their sadness.,0.75,True,0.5,0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","First, Loopy, Poby, and Eddy lean over the edge of a hole, looking down. Then, Poby opens his mouth wide, appearing to shout or call out. Loopy raises her hands slightly, and Eddy has a surprised expression on his face. All three characters maintain their positions at the edge, peering down into the hole. 

While doing this, they collectively convey the message, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""",1.0,False,1.0,1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"First, Loopy is smiling and looking directly at Pororo and Crong. Then, she raises her hands to the sides of her mouth. After that, she sticks out her tongue while wearing a mask on her head. 

Loopy says, ""did you think you could play a trick on me"" while smiling and gesturing with her hands around her mouth.","loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?"" while smiling and gesturing playfully.","loopy told pororo and crong, ""did you think you could play a trick on me?""",1.0,False,0.75,0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"First, Pororo stands with his arms crossed and tilts his head slightly to the side. Then, he raises one eyebrow and narrows his eyes while looking at Eddy. Finally, he gestures with his hand, pointing towards Eddy, while maintaining a suspicious expression. 

Pororo says, ""why are you hiding it as if it is some kind of treasure"" while looking directly at Eddy and shifting his weight from one foot to the other.",pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it might be some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it might be some kind of treasure.,1.0,False,0.75,0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"First, Pororo is sitting on the sofa with a book open on his lap. Then, he looks down at the floor. After that, Pororo's eyes widen as he observes the wind-up toy moving across the floor. Finally, he turns his head slightly to follow the toy's movement. 

While saying, ""the doll is moving,"" Pororo is looking down at the toy and tracking its motion with his eyes.",pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving across the floor.,pororo saw a wind-up toy moving across the floor.,1.0,False,0.25,0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"First, Loopy holds a sandwich in her right hand and smiles. Then, she extends her arm forward, offering the sandwich to Eddy. Eddy reaches out with his robot arm to grasp the sandwich. Finally, Eddy picks up the sandwich from Loopy's hand.",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,False,1.0,1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","1. **Visible Actions in Sequence**:
   - First, Eddy is riding on a robot that is moving in a strange way.
   - Then, Poby, Crong, Loopy, and Pororo are watching Eddy and the robot.
   - Finally, Loopy asks Eddy a question.

2. **Character Behaviors**:
   - Eddy is positioned on the robot, possibly holding on as it moves.
   - Poby, Crong, Loopy, and Pororo are standing together, facing the robot.
   - Loopy may be leaning slightly forward or gesturing as she speaks.

3. **Dialogue Integration**:
   - Loopy says ""Eddy, what happened"" while looking at Eddy and the robot. 

This structure captures the observable actions and dialogue without interpretation.","loopy asks eddy, ""what happened?""","loopy asks eddy, ""eddy, what happened?"" while watching him ride the strange-moving robot.","loopy asks eddy, ""what happened?""",1.0,False,1.0,1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"First, Crong is seen cleaning the floor with a small broom, moving it back and forth. Then, he pauses and looks around the room, appearing to check his progress. After that, he resumes sweeping, focusing on a specific spot on the floor.

Meanwhile, Pororo is positioned to the side, leaning slightly toward Loopy, who is standing next to him. Pororo gestures with his hands as he speaks, indicating something to Loopy while looking at her. Loopy appears attentive, facing Pororo and nodding slightly in response.","everyone felt amused and entertained watching crong clean the house, while pororo and loopy shared a secretive moment.",everyone felt amused and curious as crong diligently cleaned the house while pororo and loopy shared a secretive conversation.,everyone felt amused and curious as crong diligently cleaned the house while pororo and loopy shared a secretive conversation.,0.75,True,0.75,0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"I'm unable to analyze the GIF directly, but I can guide you on how to observe the actions and events. Please describe the visible actions and events in the GIF, and I can help you format that information according to the rules provided.",crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,0.75,False,0.5,0.5
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","First, Pororo raises his arms and turns around to face Loopy and Crong. Then, he opens his mouth as if to speak. While doing this, he says, ""uh well.""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered loopy and crong with ""uh well.""","pororo answered, ""uh well,"" while moving his arms and turning around.",1.0,False,1.0,1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"First, Eddy stands next to his snowman and looks at Pororo. Then, Eddy raises his hands slightly and says, ""I am sorry too."" While speaking, he maintains eye contact with Pororo. Pororo, in response, smiles and tilts his head slightly to the side, looking at Eddy. Finally, both characters continue to face each other, with a sense of connection between them.",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,False,1.0,1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"First, Eddy stands in front of Loopy and Poby, gesturing with his hands as he explains something. Then, Loopy claps her hands together while looking at Eddy, showing enthusiasm. Poby nods his head in agreement, maintaining eye contact with Eddy. The three characters are gathered closely together, indicating a private conversation. 

While this is happening, the dialogue states, ""the friends are talking about something secretly.""","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something enthusiastically when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something enthusiastically when pororo arrived with crong.",1.0,False,1.0,1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"First, Loopy waves her hand while looking at Pororo. Then, Poby raises his hand and also waves goodbye. After that, Crong stands beside Poby and waves his hand. Finally, Eddy smiles and waves at Pororo, all while saying, ""bye pororo."" 

The characters are positioned in a line, with Loopy on the left, followed by Crong, Poby, and Eddy on the right. Each character is facing Pororo, who is not visible in this sequence.","no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.",1.0,False,0.0,0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"First, Pororo stands with his arms crossed and looks at Crong. Then, he raises one hand and gestures toward himself while saying, ""come here."" Crong, positioned a short distance away, turns his body slightly away from Pororo and begins to back away. Finally, Crong continues to move away from Pororo, maintaining a distance.","crong tries to run away when pororo says ""come here.""","when pororo says ""come here,"" crong tries to run away and backs away from him instead.","crong tries to run away when pororo says ""come here.""",1.0,False,1.0,1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","First, Poby stands on a snowy path, holding a fishing rod. Then, he looks toward his friends with a cheerful expression. After that, he abandons the fishing rod, dropping it to the ground. Finally, Poby walks toward his friends with an enthusiastic demeanor while saying, ""of course.""","poby says, ""of course,"" when invited to play.","poby cheerfully responds, ""of course,"" when invited to play with his friends.","poby says, ""of course,"" when invited to play.",1.0,False,1.0,1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,,,,0.85625
