row_num,qid,video_name,gif_num,question,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet', 'blue and white'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['polar bear', 'white'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'looking at', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background or other objects', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby is visible, looking at Pororo.', 'center': 'Pororo is apologizing to Poby.', 'right': 'No clear content visible.', 'foreground': 'Pororo and Poby are in the foreground.', 'background': 'The background contains unclear details.'}}","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['polar bear'], 'location': ['foreground', 'center']}, {'name': 'suitcase', 'attributes': ['closed', 'black'], 'location': ['foreground', 'left']}, {'name': 'bed', 'attributes': ['unmade'], 'location': ['background', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'tell', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'bed'}], 'uncertain': [{'description': 'details of the room', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a penguin wearing a helmet, stands next to a closed black suitcase.', 'center': 'Poby, a polar bear, is positioned in the center of the scene.', 'right': 'A bed is visible in the background, appearing unmade.', 'foreground': 'Eddy and Poby are in the foreground, engaged in conversation.', 'background': 'The background contains unclear details of the room.'}}",eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a hat', 'blue outfit'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['white bear', 'standing still'], 'location': ['foreground', 'left']}, {'name': 'camera', 'attributes': ['small', 'on the floor'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'left', 'object': 'camera'}], 'relationships': [{'subject': 'Pororo', 'relation': 'is next to', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2': {'left': 'Poby is standing still on the left side.', 'center': 'Pororo is walking away from the camera in the center.', 'right': 'The right region is empty.', 'foreground': 'Pororo and Poby are in the foreground with a camera on the floor.', 'background': 'The background contains unclear details.'}}",pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'dandelion', 'attributes': ['wilted', 'yellowish'], 'location': ['foreground', 'center']}, {'name': 'pot', 'attributes': ['white', 'ceramic'], 'location': ['foreground', 'center']}, {'name': 'window', 'attributes': ['wooden', 'transparent'], 'location': ['background', 'center']}], 'actions': [], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'A wilted dandelion in a pot is visible.', 'right': 'The right region is empty.', 'foreground': 'The dandelion and pot are in the foreground.', 'background': 'A wooden window with a blue sky is in the background.'}}",pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a chef hat'], 'location': ['foreground', 'center']}, {'name': 'bowl', 'attributes': ['being stirred'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'cooking', 'object': 'bowl'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and cooking in the center.', 'right': 'The right region is empty.', 'foreground': 'Loopy is in the foreground, stirring a bowl.', 'background': 'The background contains shelves with kitchen items.'}}",loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'frog-like', 'holding a lamp'], 'location': ['foreground', 'center']}, {'name': 'lamp', 'attributes': ['out', 'held in left hand'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Crong', 'action': 'opens', 'object': 'mouth'}, {'subject': 'Crong', 'action': 'shakes', 'object': 'head'}], 'relationships': [], 'uncertain': [{'description': 'background details', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region contains unclear background details.', 'center': 'Crong is surprised, holding an out lamp.', 'right': 'The right region is empty.', 'foreground': 'Crong is in the foreground, expressing surprise.', 'background': 'The background features a night sky with trees.'}}",crong is scared of pororo because he is surprised and startled while holding an out lamp in a dark environment.,"0.25,0.25,0.25",0.25
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['holding a salt bottle', 'cooking'], 'location': ['foreground', 'center']}, {'name': 'mixing bowl', 'attributes': ['empty', 'round'], 'location': ['foreground', 'center']}, {'name': 'salt bottle', 'attributes': ['small', 'transparent'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'sprinkles', 'object': 'salt'}], 'relationships': [{'subject': 'Loopy', 'relation': 'holds', 'object': 'salt bottle'}, {'subject': 'Loopy', 'relation': 'interacts with', 'object': 'mixing bowl'}], 'uncertain': [{'description': 'details of the food being made', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is unclear or empty.', 'center': 'Loopy is holding a salt bottle and sprinkling salt into a mixing bowl.', 'right': 'The right region is unclear or empty.', 'foreground': 'Loopy and the mixing bowl are in the foreground.', 'background': 'The background is unclear or empty.'}}",loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'fox character'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'guesses', 'object': 'the ghost ran away'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy, a smiling fox character, is in the center.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground.', 'background': 'The background features a night sky with stars and distant hills.'}}","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['bear', 'white'], 'location': ['background', 'left']}, {'name': 'Pororo', 'attributes': ['penguin', 'blue'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['fox', 'orange'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['dinosaur', 'green'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'sitting', 'object': 'table'}, {'subject': 'Eddy', 'action': 'holding', 'object': 'juice'}, {'subject': 'Crong', 'action': 'standing', 'object': 'none'}, {'subject': 'Poby', 'action': 'standing', 'object': 'none'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Poby', 'relation': 'behind', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the table', 'location': ['foreground', 'center']}, {'description': 'specific items on the table', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby the bear is standing in the background.', 'center': 'Pororo and Eddy are sitting at the table, with Eddy holding juice.', 'right': 'Crong the dinosaur is standing next to Eddy.', 'foreground': 'Pororo and Eddy are at the table with unclear items.', 'background': 'Snowy landscape with trees and Poby in the background.'}}","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice and enjoying each other's company.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['blue color', 'wearing a helmet'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['pink color', 'touching her face'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': 'Loopy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'facing', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy is standing and touching her face.', 'center': 'Pororo is facing Loopy and asking a question.', 'right': 'Empty or unclear.', 'foreground': 'Pororo and Loopy are in the snowy landscape.', 'background': 'The sky is blue and clear with snow-covered trees.'}}","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"{'Task 1': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'white fur', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'standing'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'scratches', 'object': 'his head'}], 'relationships': [{'subject': 'Poby', 'relation': 'to the left of', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2': {'left': 'Poby is scratching his head.', 'center': 'The area is empty.', 'right': 'Loopy is standing.', 'foreground': 'Poby and Loopy are both visible.', 'background': 'Night sky with trees.'}}","""poby tells loopy, 'i could not sleep.'""","0.75,0.75,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['smiling', 'standing'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Poby', 'action': 'expressing', 'object': 'happiness'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Empty space with snow and trees.', 'center': 'Poby is smiling and standing with arms open.', 'right': 'Empty space with snow and trees.', 'foreground': 'Poby is prominently displayed.', 'background': 'Snowy landscape with trees and mountains.'}}",eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue penguin'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'sliding down'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'raises', 'object': 'left arm'}, {'subject': 'Crong', 'action': 'sliding', 'object': 'down'}], 'relationships': [{'subject': 'Crong', 'relation': 'behind', 'object': 'Pororo'}], 'uncertain': [{'description': 'details about Loopy', 'location': ['background', 'right']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is sliding down in the left region.', 'center': 'Pororo stands with his left arm raised in the center.', 'right': 'Unclear or empty; possibly contains Loopy.', 'foreground': 'Pororo and Crong are both in the foreground.', 'background': 'Icebergs and sky are visible in the background.'}}",crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a hat', 'holding a vase with flowers'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['sitting'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['sitting'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Loopy', 'action': 'holding', 'object': 'vase with flowers'}], 'relationships': [{'subject': 'Loopy', 'relation': 'spatial relation', 'object': 'Eddy'}, {'subject': 'Loopy', 'relation': 'spatial relation', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is sitting on the ground.', 'center': 'Loopy is smiling while holding a vase with flowers.', 'right': 'Pororo is sitting on the ground.', 'foreground': 'Loopy, Eddy, and Pororo are all in the foreground.', 'background': 'The background features a snowy landscape with trees and ice.'}}",loopy proposed that the group ask him anything after sharing about the flower.,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,Visual Description: crong and pororo have a sad face.,pororo thought they needed to find a way to cheer themselves up and solve their problem together.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['pink', 'bear', 'surprised'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['white', 'dog', 'excited'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['orange', 'rabbit', 'curious'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'look', 'object': 'down'}, {'subject': 'Eddy', 'action': 'look', 'object': 'down'}, {'subject': 'Loopy', 'action': 'look', 'object': 'down'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the hole', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby looks surprised from the left side of the hole.', 'center': 'Eddy appears excited while looking down.', 'right': 'Loopy looks curious from the right side of the hole.', 'foreground': 'The characters are gathered around the hole.', 'background': 'The background is mostly empty with a blue sky.'}}","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"{'Task 1': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a mask', 'sticking out tongue'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'talking', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and talking, wearing a mask and sticking out her tongue.', 'right': 'The right region is empty.', 'foreground': 'Loopy is prominently displayed in the foreground.', 'background': 'The background features a snowy landscape with trees.'}}","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': ""Eddy's hidden map""}], 'relationships': [{'subject': 'Pororo', 'relation': 'is in front of', 'object': 'Eddy'}], 'uncertain': [{'description': ""Eddy's location or appearance"", 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Unclear, possibly Eddy is hiding something.', 'center': 'Pororo is standing with a suspicious expression.', 'right': 'Empty or unclear.', 'foreground': 'Pororo is prominently displayed.', 'background': 'Snowy landscape with trees.'}}",pororo thinks eddy is hiding the map as if it is some kind of treasure.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'wind-up toy', 'attributes': ['moving', 'colorful'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'sees', 'object': 'wind-up toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'sitting on', 'object': 'sofa'}, {'subject': 'wind-up toy', 'relation': 'located near', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'left']}]}, 'Task 2': {'left': 'The left region contains a wall with a window.', 'center': 'Pororo is sitting on a sofa, reading a book.', 'right': 'A wind-up toy is moving on the floor.', 'foreground': 'Pororo and the wind-up toy are clearly visible.', 'background': 'The background is unclear with some details not visible.'}}",pororo saw a colorful wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
