row_num,qid,video_name,gif_num,question,correct_answer,blip2_visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,model_confidence,changed,evaluator_scores,accuracy
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,a proposal to the group after telling them about the flower,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower.,loopy proposed that the group ask him anything about the flower.,1.0,False,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,he thought he was a pig,pororo thought he needed to find a way to cheer up crong and himself.,pororo thought he needed to find a way to cheer up crong and himself despite feeling like a pig.,pororo thought he needed to find a way to cheer up crong and himself.,0.75,False,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","eddy, ernie and loopy","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""",1.0,False,"1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,he told them to be a little bit more,"loopy told pororo and crong, ""did you think you could play a trick on me?""",loopy told pororo and crong that they should be a little bit more careful with their tricks.,"loopy told pororo and crong, ""did you think you could play a trick on me?""",0.75,False,"0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,eddy,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,1.0,False,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,a penguin,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,1.0,False,"0.25,0.0,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,frog,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,False,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",eeyo,"loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""",1.0,False,"1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,i felt like a croon,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,"everyone felt amused and entertained watching crong clean the house, as it brought a lighthearted atmosphere to the scene.",everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,0.75,False,"0.5,0.5,0.5",0.5
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,ice castle,crong was playing with a toy as pororo entered the house.,crong was playing with a snowball as pororo entered the house.,crong was playing with a toy as pororo entered the house.,0.75,False,"0.5,0.5,0.5",0.5
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""",poopy and croony - poopy and croony,"pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.",1.0,False,"1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,emily,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,False,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,a sandbox,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something while gathered together in a sandbox when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.",0.75,False,"1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,no,"no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.",1.0,False,"0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crows when pororo says "" come here","when pororo says ""come here,"" crong tries to run away again.","when pororo says ""come here,"" crong tries to run away and crows.","when pororo says ""come here,"" crong tries to run away again.",0.75,False,"1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",polar bear,"poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.",1.0,False,"1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,,,,0.8
