row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,evaluator_scores,accuracy
31,Pororo_ENGLISH1_3_ep12,16,2575,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"loopy gives a sandwich to eddy, who receives it with his newly invented robot arm in a playful, animated scene","0.0,0.0,0.0",0.0
32,Pororo_ENGLISH1_3_ep12,24,2582,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",loopy asks eddy if he wants to enjoy a sandwich together during his robot's test drive,"0.0,0.0,0.0",0.0
33,Pororo_ENGLISH1_3_ep13,18,2623,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,crong feels motivated and hopeful about receiving a christmas present from santa by cleaning the house diligently and trying to be good,"0.0,0.0,0.0",0.0
34,Pororo_ENGLISH1_3_ep2,49,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"crong was likely playing with a book or causing mischief while pororo was reading, creating a playful and chaotic scene typical of their relationship","0.0,0.0,0.0",0.0
35,Pororo_ENGLISH1_3_ep3,31,2206,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo likely expressed curiosity and excitement about the mysterious gorilla toy found on the beach, sharing his discovery with loopy and crong","0.0,0.0,0.0",0.0
36,Pororo_ENGLISH1_3_ep4,45,2291,whom did eddy say sorry to,eddy said sorry to pororo,"eddy apologized to pororo for initially doubting him about the damaged snowman, resolving their misunderstanding and restoring their friendship","0.0,0.0,0.0",0.0
37,Pororo_ENGLISH1_3_ep5,1,2298,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something, appearing conspiratorial, when pororo and crong unexpectedly arrived","0.0,0.0,0.0",0.0
38,Pororo_ENGLISH1_3_ep5,25,2333,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman in this snowy scene with loopy, poby, crong, and eddy","0.0,0.0,0.0",0.0
39,Pororo_ENGLISH1_3_ep7,25,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong mischievously ignores pororo's command and attempts to run away, displaying his playful and rebellious character typical of young dinosaur characters","0.0,0.0,0.0",0.0
40,Pororo_ENGLISH1_3_ep7,47,2446,what does poby say when invited to play,"he says ""of course""","poby enthusiastically responds ""of course"" when invited to play with his friends in the snowy landscape","0.0,0.0,0.0",0.0
41,Total Videos: 22,Average,,Total Questions: 40,,,,0.0
