gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
11,Pororo_ENGLISH1_1_ep1,332,what do they encounter next,a polar bear is on the road,"Next, Pororo and Crong, the baby dinosaur, embark on an adventure together in the snowy forest. They explore their surroundings, playing in the snow and discovering new things. As they frolic among the trees, they encounter other forest animals who are curious about their friendship. Pororo introduces Crong to his friends, and they all join in on the fun, building snowmen and sliding down snowy hills. The excitement of their newfound friendship leads to laughter and joy as they enjoy the winter wonderland together.",0.0
12,Pororo_ENGLISH1_1_ep1,345,what does pororo do when he sees his friends,"he waves and says, ""hi friends""","When Pororo sees his friends, he greets them enthusiastically and engages in playful activities. In the scene, he interacts with Crong, the baby dinosaur, and they both express excitement by saying ""crong"" and participating in a fun exercise together, counting as they move. Pororo's friendly nature and curiosity lead him to make new friends, like Crong, and they enjoy each other's company in the snowy, forested environment.",25.0
13,Pororo_ENGLISH1_1_ep1,363,who does pororo see on the ice,"poby, eddy and loopy","In the story, Pororo, the curious little penguin, encounters a baby dinosaur named Crong on the ice. Initially, Pororo thinks Crong is a scary monster when he hatches from the egg. However, they quickly become friends and enjoy playing together on the ice.",0.0
14,Pororo_ENGLISH1_1_ep10,1102,what did eddy want to do with the new toy?,eddy wanted the new toy to be taken to the playground,"Based on the provided description and subtitles, there is no specific mention of Eddy or what he wanted to do with a new toy. The narrative primarily focuses on Pororo, a little penguin, and his encounter with a baby dinosaur named Crong. If Eddy is a character in a different context or story, that information is not included in the provided text. Therefore, I cannot determine what Eddy wanted to do with the new toy.",0.0
15,Pororo_ENGLISH1_1_ep1,396,what is the baby dinosaur saying when he passes by pororo friends,he says crong crong,"In the scene described, the baby dinosaur, referred to as ""Crong,"" is expressing excitement and playfulness as he interacts with Pororo and his friends. When Crong passes by Pororo's friends, he is likely saying ""crong crong,"" which is his way of communicating. This playful sound reflects his cheerful nature and eagerness to join in the fun with Pororo and the others. The interaction highlights the theme of friendship and acceptance, as Pororo initially thinks Crong is scary but soon realizes he is just a friendly baby dinosaur.",75.0
16,Pororo_ENGLISH1_1_ep12,1203,how does crong defend himself against pororo,"crong says ""crong crong crong crong.....""","In the scenario described, Crong, the baby dinosaur, seems to be interacting playfully with Pororo. When Pororo closes his eyes and stretches, it appears to be a friendly gesture, possibly indicating that he is ready to play or engage with Crong. Crong, in response, likely defends himself by being playful and non-threatening, using his own unique sounds (""crong crong"") to communicate and bond with Pororo.

The interaction suggests that Crong is not trying to be scary, despite Pororo's initial fear of him as a ""scary monster."" Instead, Crong's playful demeanor and friendly sounds help to reassure Pororo, leading to a budding friendship between the two characters. The overall tone of the scene is",25.0
17,Pororo_ENGLISH1_1_ep1,434,what happens when they start running with pororo?,they pass him up,"When Pororo starts running with Crong, the baby dinosaur, they engage in a playful and energetic activity together. The snowy trees in the background suggest a wintery setting, adding to the fun and excitement of their adventure. As they run, they count together, ""one two one two,"" which indicates a rhythm to their movement. Their joyful interaction showcases the blossoming friendship between Pororo and Crong, as they enjoy each other's company in the snowy landscape. The scene is filled with laughter and playfulness, highlighting the innocence and curiosity of their characters.",0.0
18,Pororo_ENGLISH1_1_ep1,452,what does crong do when pororo taps his foot,crong mimics the movement,"When Pororo taps his foot, Crong, the baby dinosaur, responds by mimicking him and tapping his own foot as well. They engage in a playful rhythm together, with both of them saying ""crong"" in a cheerful manner. This interaction showcases their budding friendship and adds a fun, musical element to their playtime in the snowy mountains.",75.0
19,Pororo_ENGLISH1_1_ep12,1206,what does pororo say after crong is nowhere to be seen,pororo wonders if he went too far,"After Crong is nowhere to be seen, Pororo might express concern or curiosity about Crong's absence. He could say something like, ""Where did Crong go? I hope he's okay!"" This would reflect his caring nature and the friendship they share.",25.0
20,Pororo_ENGLISH1_1_ep1,475,who is last when walking,crong is last when walking,"Based on the description and subtitles provided, it seems that Pororo, the little penguin, is the main character who is walking with his new friend, the baby dinosaur named Crong. Since the context does not specify any other characters walking alongside them, it can be inferred that Pororo is likely leading the way, while Crong, being a baby dinosaur, may be following closely behind. Therefore, Crong would be the last when walking.",100.0
21,Pororo_ENGLISH1_1_ep11,1162,"why did crong say ""crong crong""?",he wanted to get loopies attention to pororo.,"Crong said ""crong crong"" as a way to communicate and express himself, as he is a baby dinosaur who uses ""crong"" as his form of speech. In the context of the story, Crong is interacting with Pororo, the little penguin, and they are playing together. The repeated ""crong crong"" signifies Crong's excitement and eagerness to engage with Pororo and join in on the fun. Their playful exchange highlights the budding friendship between the two characters.",25.0
22,Pororo_ENGLISH1_1_ep13,1268,what did eddy tell pororo and crong in the house,"eddy told pororo and crong the truth, that he can't sing well","In the scene described, Eddy likely told Pororo and Crong about their new friendship and the fun they could have together. He might have encouraged them to play and explore, emphasizing the importance of friendship and teamwork. Given that Poby is playing the violin, Eddy could have suggested they all join in and make music together, celebrating their unique bond with the baby dinosaur, Crong.",0.0
23,Pororo_ENGLISH1_1_ep1,515,why did pororo get scared,because crong caught up to him,"Pororo got scared because when he brought home an egg and it hatched, a baby dinosaur came out. Pororo thought the baby dinosaur was a scary monster, which is why he was frightened. However, as the story progresses, he learns that the baby dinosaur, named Crong, is friendly and they eventually become friends.",25.0
24,Pororo_ENGLISH1_1_ep1,523,what the dinosaur did after pororo jump off the cliff?,he jump as well off the cliff to follow pororo,"After Pororo jumped off the cliff, the baby dinosaur, Crong, likely followed him or reacted in a playful manner, as they had just become friends and were enjoying each other's company. Given the playful nature of both characters, Crong might have jumped after Pororo in excitement or curiosity, showcasing their newfound friendship and adventurous spirit. The snowy mountain setting adds to the fun, as they could be engaging in playful antics in the snow together.",50.0
25,Pororo_ENGLISH1_1_ep1,536,why does crong follow them down the hill,he wants to be their friend,"Crong follows Pororo down the hill because they have just become friends, and Crong, the baby dinosaur, is excited to join Pororo in his adventures. The playful nature of both characters encourages them to explore together, and Crong's curiosity about his new friend likely motivates him to stay close and participate in whatever fun activities Pororo has planned. Their friendship is a central theme, highlighting the joy of companionship and exploration in their snowy environment.",75.0
26,Pororo_ENGLISH1_1_ep1,558,when did pororo and his friends stop sliding downhill,when they reached the trees,"Based on the provided description and subtitles, it does not explicitly mention when Pororo and his friends stopped sliding downhill. The focus of the text is on Pororo's interactions with the baby dinosaur, Crong, and their playful activities. Therefore, there is no specific moment indicated for when they stopped sliding downhill.",25.0
27,Pororo_ENGLISH1_1_ep1,561,why does pororo introduce himself to the baby dinosaur,he decides crong is not scary and he wants to be his friend,"Pororo introduces himself to the baby dinosaur because he wants to establish a connection and communicate with it, despite initially thinking it might be a scary monster. By introducing himself, Pororo is showing friendliness and curiosity, which is a key part of his character. This moment signifies the beginning of their friendship, as Pororo learns that the baby dinosaur, named Crong, is not a monster but a friendly creature. Their interaction highlights themes of friendship and overcoming fears.",75.0
28,Pororo_ENGLISH1_1_ep1,576,what the little dinosaur said after pororo introduce himself?,"the little dinosaur said ''crong crong'', because is the only thing he can say","After Pororo introduces himself by saying, ""Hi, I am Pororo,"" the little dinosaur responds with ""Crong, crong,"" which is its way of communicating. Pororo then asks the dinosaur its name, to which the dinosaur replies with more ""crong"" sounds. Eventually, Pororo greets the dinosaur, saying, ""Hi, Crong, nice to meet you,"" and the dinosaur responds again with ""Crong, crong."" This interaction marks the beginning of their friendship.",75.0
29,Pororo_ENGLISH1_1_ep1,591,who really opens up in this scene and lets loose a nice roar,dinosaur really opens up in this scene and lets loose a nice roar,"In this scene, it is the baby dinosaur, referred to as ""crong,"" who really opens up and lets loose a nice roar. Although Pororo initially thinks the baby dinosaur is a scary monster, it is Crong who expresses itself with playful sounds, including its signature ""crong"" noises, which can be interpreted as its way of roaring or communicating joyfully.",75.0
30,Pororo_ENGLISH1_1_ep1,597,did pororo understud the name of the little dinosaur?,"no, he was thinking if he heard well","Yes, Pororo understood the name of the little dinosaur, which is ""Crong."" In the subtitles, Pororo introduces himself and then asks the dinosaur for its name, to which the dinosaur responds with ""crong."" Pororo then acknowledges the dinosaur's name by saying, ""hi Crong, nice to meet you."" This indicates that Pororo did indeed understand the name of the little dinosaur.",0.0
31,Pororo_ENGLISH1_1_ep1,614,who was crong smiling at,he was smiling at pororo,"Crong, the baby dinosaur, was smiling at Pororo, the little penguin. They were interacting and getting to know each other, which led to Crong's cheerful demeanor.",50.0
32,Pororo_ENGLISH1_1_ep12,1218,what did crong and pororo do at loopy's house,both started arguing again,"At Loopy's house, Pororo and Crong were having fun together. Pororo was excitedly showing Crong the egg he found, which unexpectedly hatched into a baby dinosaur. Initially, Pororo thought the baby dinosaur was scary, but he soon realized it was friendly. They played together, stretching and moving in sync, counting together as they enjoyed their time. The playful atmosphere highlighted their new friendship, as Pororo introduced himself to Crong and they both engaged in playful activities.",0.0
33,Pororo_ENGLISH1_1_ep12,1219,what does loopy  ask to pororo and crong,loopy asks why both of them are arguing again,"In the context provided, Loopy likely asks Pororo and Crong about what they are doing or if they would like to play together. Given that Pororo is engaging with Crong, the baby dinosaur, and they are having fun together, Loopy might express curiosity about their activities or suggest joining in on their playtime. The interaction emphasizes friendship and teamwork among the characters in their playful adventures.",25.0
34,Pororo_ENGLISH1_1_ep1,655,what phrase do all of the animals say to the green dinosaur crung?,"they all say, ""nice to meet you"".","The phrase that all of the animals say to the green dinosaur Crong is ""crong.""",0.0
35,Pororo_ENGLISH1_1_ep10,1119,was pororo enjoying the new ride?,"yes, pororo was enjoying and said "" yahoo""","Based on the provided description and subtitles, there is no specific mention of Pororo enjoying a new ride. The focus is primarily on Pororo's interaction with the baby dinosaur, Crong, and their friendship. Therefore, it cannot be concluded that Pororo was enjoying a new ride.",0.0
36,Pororo_ENGLISH1_1_ep1,672,who did pororo become friends with today?,"he became friends with baby dinosaur, crong","Today, Pororo became friends with a baby dinosaur named Crong.",100.0
Average,,,,,,44.44444444444444
Average Accuracy,,,,,,44.44444444444444
