gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
43,Pororo_ENGLISH1_1_ep6,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Based on the given context, there is no mention of Eddy or Eddy's thoughts about a ghost. The scene describes Loopy, Pororo, and Crong mistaking each other for ghosts in a dark setting, but Eddy is not part of this narrative. Therefore, I cannot provide an answer about what Eddy thinks happened to the ghost, as Eddy is not present in this scene.",0.0
16,Pororo_ENGLISH1_1_ep9,1052,what do loopy's friends do when they're inside?,they share a snack at the table,"Based on the context provided, Loopy and her friend Crong dance together inside the house. They dance as a form of exercise, with Crong encouraging Loopy to dance to become skinnier and feel good. The scene shows them dancing and having a good time together inside.",0.0
17,Pororo_ENGLISH1_2_ep2,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"Based on the context, Poby says to Loopy ""I could not sleep"" when he visits Loopy at night. Specifically, in the dialogue, Poby approaches Loopy and says ""were you asleep i could not sleep"", and Loopy responds ""okay come on in"". So the exact phrase Poby uses to tell Loopy about his sleeplessness is ""I could not sleep"".",1.0
48,Pororo_ENGLISH1_2_ep8,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Based on the given context, there is no information about Poby, Eddy, and Loopy telling Pororo and Crong anything specific. The scene description and subtitles focus on Pororo and Crong's attempts to be ""super heroes"" and Pororo's failed attempt to set a trap for Loopy. The dialogue does not mention Poby, Eddy, and Loopy telling Pororo and Crong anything.",0.0
15,Pororo_ENGLISH1_3_ep1,2080,what did pororo ask eddy?,pororo asked if eddy is hiding some kind of treasure.,"Based on the context provided, Pororo asked Eddy to send a plane to him when they were stuck in a hole after searching for a supposed treasure. Specifically, the text shows Pororo saying ""Eddy, can you send the plane to me"", to which Eddy responds ""okay"".",0.25
1,Pororo_ENGLISH1_3_ep11,2513,what did pororo see moving?,pororo saw the magnet moving.,"Based on the context, Pororo saw a wind up toy moving on the floor.",0.25
49,Pororo_ENGLISH1_3_ep2,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Based on the given context, there is no clear indication of what Crong was playing with when Pororo entered the house. The scene description only mentions Pororo reading a book about snowboarding on a sofa, and the subtitles primarily consist of Crong's sounds and some dialogue, but do not specify any specific toy or object Crong was playing with.",0.25
1,Pororo_ENGLISH1_3_ep5,2296,what were the friends talking about?,the friends were talking about something secretly.,"Based on the context provided, the specific details about what the friends were talking about are not explicitly stated. The scene description indicates they were talking ""secretly"" and Eddy was explaining something to Loopy and Poby, but the exact topic is not revealed. The subtitles suggest they might be planning something related to Pororo's birthday, as there are later references to ""happy birthday"" and a birthday celebration. However, the precise content of their secret conversation is not definitively explained in the given context.",0.75
25,Pororo_ENGLISH1_3_ep5,2334,what did pororo's friends said?,friends said : bye pororo.,"Based on the context provided, Pororo's friends (Eddy, Loopy, and Poby) were secretly talking about something, and they were planning a surprise for Pororo's birthday. They were discussing a secret plan and ultimately surprised Pororo by wishing him ""Happy Birthday"" and giving him a birthday celebration. The specific details of their entire conversation are not fully clear from the subtitles, but they were clearly coordinating a birthday surprise for Pororo.",0.25
25,Pororo_ENGLISH1_3_ep7,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"Based on the context provided, when Pororo says ""come here"" to Crong, Crong does not comply. Instead, he appears to ignore Pororo's request and eventually disappears, which leads to Loopy's picture being ruined. The dialogue suggests Crong is being mischievous and does not listen to Pororo's instruction.",0.5
Average,Total Videos: 13,,Total Questions: 20,,,0.3875
