row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR
21,Pororo_ENGLISH1_2_ep10,14,1857.0,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy what she did a minute ago, to which she replied it was a secret until tomorrow","0.75,0.75,0.75",0.75,0.3684210526315789,0.24779731389167603,0.1534315794513102,0.06892964965915206,0.6,0.2857142857142857,0.4666666666666667,0.4064337599446558
22,Pororo_ENGLISH1_2_ep2,17,1435.0,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"poby tells loopy, ""i could not sleep,"" expressing his sleeplessness during the night","1.0,1.0,1.0",1.0,0.23076923076923078,0.1386750490563073,0.05591581470858601,0.036362270465000714,0.4545454545454546,0.2,0.4545454545454546,0.2718676122931442
23,Pororo_ENGLISH1_2_ep2,23,1441.0,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend decided to help him get some sleep after staying up all night,"1.0,1.0,1.0",1.0,0.5714285714285714,0.5135525910130955,0.4446478515412371,0.35556702356686953,0.6923076923076923,0.5833333333333334,0.6923076923076923,0.7211538461538461
24,Pororo_ENGLISH1_2_ep5,19,1572.0,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy is interrupted by loopy while he is saying hello,"0.25,0.25,0.25",0.25,0.5,0.2357022603955158,0.08855488076521761,0.056122223243057295,0.6,0.1111111111111111,0.4000000000000001,0.4263888888888889
25,Pororo_ENGLISH1_2_ep5,26,1579.0,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed that the group ask questions to the magic flower, claiming it would provide answers to anything they wanted to know","0.75,0.75,0.75",0.75,0.2727272727272727,0.16116459280507606,0.1091029327776692,0.05113154533240717,0.39999999999999997,0.14285714285714285,0.3333333333333333,0.5437352245862884
26,Pororo_ENGLISH1_2_ep8,43,1762.0,what did pororo think next?,pororo thought next: wjat should i do?,pororo felt frustrated and realized that being a superhero is more challenging than he expected after his trap backfired,"0.25,0.25,0.25",0.25,0.05263157894736841,0.017099639201419235,0.011981420879419707,0.010182425646195498,0.07692307692307693,0.0,0.07692307692307693,0.06097560975609756
27,Pororo_ENGLISH1_2_ep8,48,1767.0,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong about their superhero mission to save loopy from danger, but realized she wasn't in trouble after all","0.75,0.75,0.75",0.75,0.36,0.30000000000000004,0.2501448436013497,0.21494052714772305,0.4878048780487804,0.41025641025641024,0.4878048780487804,0.5142746913580247
28,Pororo_ENGLISH1_2_ep8,49,1768.0,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy expressed gratitude to pororo for coming to save her, despite realizing she wasn't in danger","0.0,0.0,0.0",0.0,0.12500000000000003,0.028867513459481287,0.018123006216714872,0.014628063653657535,0.2580645161290323,0.0,0.1935483870967742,0.07518796992481204
29,Pororo_ENGLISH1_3_ep1,15,2079.0,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map as if it is some kind of treasure,"0.75,0.75,0.75",0.75,0.5333333333333333,0.47809144373375745,0.4127745005207437,0.3290385879986622,0.7499999999999999,0.6363636363636364,0.7499999999999999,0.7812499999999999
30,Pororo_ENGLISH1_3_ep11,1,2513.0,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor,"0.25,0.0,0.25",0.25,0.3333333333333333,0.20412414523193154,0.08411954328699874,0.056122223243057295,0.5333333333333333,0.15384615384615383,0.4,0.4732510288065844
31,Pororo_ENGLISH1_3_ep12,16,2575.0,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy,"1.0,1.0,1.0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976851851851852
32,Pororo_ENGLISH1_3_ep12,24,2582.0,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what is happening","0.75,0.75,0.75",0.75,0.5,0.316227766016838,0.13572088082974534,0.09554427922043669,0.9090909090909091,0.6666666666666665,0.9090909090909091,0.5010893246187365
33,Pororo_ENGLISH1_3_ep13,18,2623.0,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused by crong's sudden change in behavior as he cleaned the house, hoping to impress santa claus for christmas presents","1.0,1.0,1.0",1.0,0.16666666666666669,0.08512565307587489,0.03205526790739802,0.019900763312868126,0.4117647058823529,0.1875,0.3529411764705882,0.42476190476190484
34,Pororo_ENGLISH1_3_ep2,49,2173.0,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"crong was playing with something off-screen as pororo entered the house, but the specific item is not mentioned in the provided information","0.25,0.25,0.25",0.25,0.18181818181818182,0.16116459280507606,0.13746108161185078,0.1081300533795917,0.27586206896551724,0.22222222222222218,0.27586206896551724,0.6368421052631579
35,Pororo_ENGLISH1_3_ep3,31,2206.0,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo expressed concern about something strange on the beach, which turned out to be a gorilla toy","0.0,0.0,0.0",0.0,0.0588235294117647,0.019174124721184262,0.013482795444685966,0.011502783619900045,0.09523809523809523,0.0,0.09523809523809523,0.09433962264150943
36,Pororo_ENGLISH1_3_ep4,45,2291.0,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him,"1.0,1.0,1.0",1.0,0.625,0.5976143046671968,0.563123940221803,0.5169731539571706,0.7692307692307693,0.7272727272727273,0.7692307692307693,0.939622641509434
37,Pororo_ENGLISH1_3_ep5,1,2298.0,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived, leading to a surprise birthday celebration for him","1.0,1.0,1.0",1.0,0.10526315789473682,0.024182541670333724,0.015095644373630828,0.012109013026441871,0.23076923076923078,0.0,0.15384615384615385,0.12195121951219512
38,Pororo_ENGLISH1_3_ep5,25,2333.0,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman; instead, they celebrate his birthday","0.0,0.0,0.0",0.0,0.4,0.3380617018914066,0.2600316410329637,0.195647514979229,0.5217391304347827,0.38095238095238093,0.5217391304347827,0.6768837803320562
39,Pororo_ENGLISH1_3_ep7,25,2425.0,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and causing chaos","1.0,1.0,1.0",1.0,0.1875,0.03535533905932738,0.020745663334156096,0.01618861356572822,0.38095238095238093,0.10526315789473685,0.2857142857142857,0.5174180327868853
40,Pororo_ENGLISH1_3_ep7,47,2446.0,what does poby say when invited to play,"he says ""of course""","poby responds, ""of course,"" when invited to play with his friends","1.0,1.0,1.0",1.0,0.0909090909090909,0.03015113445777637,0.02161664390826761,0.018850319022747353,0.26666666666666666,0.15384615384615383,0.26666666666666666,0.10638297872340427
41,Total Videos: 22,Average,,Total Questions: 40,,,,0.70625,,,,,,,,
