row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,model_confidence,changed,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,1.0,False,"1.0,1.0,1.0",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396227449178696,0.512883901596069,0.447071045637131,0.425433695316315
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,1.0,False,"1.0,1.0,1.0",1.0,0.247679399928623,0.0598202582772634,0.039587811906326,0.0340522339563738,0.533333333333333,0.153846153846154,0.533333333333333,0.189873417721519,0.785170316696167,0.774879455566406,0.779990911483765,0.682314574718475
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,1.0,False,"0.5,0.5,0.5",0.5,0.380952380952381,0.195180014589707,0.126097273740313,0.0577711677985803,0.428571428571429,0.1,0.285714285714286,0.223880597014925,0.648719847202301,0.625932335853577,0.637122392654419,0.458856999874115
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,1.0,False,"1.0,1.0,1.0",1.0,0.333333333333333,0.204124145231932,0.0841195432869987,0.0561222232430573,0.461538461538462,0.181818181818182,0.461538461538462,0.567901234567901,0.561064600944519,0.734654426574707,0.636231422424316,0.715011060237885
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.",1.0,False,"1.0,1.0,1.0",1.0,0.532035874116585,0.390407597599955,0.227830264143426,0.10002421009028,0.758620689655172,0.444444444444444,0.620689655172414,0.592841163310962,0.821941733360291,0.860916554927826,0.840977847576141,0.739563405513763
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.",1.0,False,"0.75,0.75,0.75",0.75,0.153846153846154,0.11322770341446,0.0488469633992353,0.0328570204479777,0.19047619047619,0.105263157894737,0.19047619047619,0.24671052631579,0.377174764871597,0.592273056507111,0.460861176252365,0.311265289783478
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""",1.0,False,"1.0,1.0,1.0",1.0,0.833333333333333,0.778498944161523,0.713765855503608,0.670422683816333,0.956521739130435,0.857142857142857,0.956521739130435,0.897297297297297,0.823259234428406,0.916448593139648,0.867358028888702,0.733903229236603
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","loopy, i could not sleep.",1.0,False,"0.5,0.5,0.5",0.5,0.179731585646889,0.142090294529449,0.0671208317520177,0.0510536270944767,0.571428571428571,0.333333333333333,0.571428571428571,0.218023255813953,0.632295608520508,0.537537038326263,0.581078469753265,0.453917264938355
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,1.0,False,"1.0,1.0,1.0",1.0,0.545454545454545,0.404519917477945,0.262953589432929,0.122782601490961,0.636363636363636,0.4,0.636363636363636,0.506050605060506,0.706578195095062,0.752785086631775,0.728950202465057,0.515282094478607
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,0.75,False,"0.0,0.0,0.0",0.0,0.8,0.788810637746616,0.775655590483521,0.759835685651593,0.9,0.888888888888889,0.9,0.79921875,0.870827972888947,0.904231727123261,0.887215554714203,0.693960726261139
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,1.0,False,"0.75,0.75,0.75",0.75,0.357142857142857,0.234403615469248,0.166053916036945,0.0803227687281531,0.454545454545455,0.2,0.454545454545455,0.518604651162791,0.605703949928284,0.779164373874664,0.681570827960968,0.507561385631561
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to find a way to cheer up crong and make things better.,pororo thought he needed to find a way to cheer up crong and make things better.,0.75,False,"0.5,0.5,0.5",0.5,0.125,0.0912870929175277,0.039044833280954,0.0260127844040379,0.173913043478261,0.0952380952380952,0.173913043478261,0.237341772151899,0.41283044219017,0.445912092924118,0.428734064102173,0.442869246006012
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""",1.0,False,"1.0,1.0,1.0",1.0,0.532035874116585,0.436488963582941,0.353960801293254,0.294354341841403,0.689655172413793,0.592592592592593,0.689655172413793,0.522755872483222,0.806069791316986,0.858776807785034,0.831588923931122,0.784874260425568
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""",1.0,False,"0.75,0.75,0.75",0.75,0.533333333333333,0.478091443733757,0.412774500520744,0.329038587998662,0.620689655172414,0.518518518518519,0.620689655172414,0.601325757575758,0.718580842018127,0.778786063194275,0.747473120689392,0.622933626174927
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,1.0,False,"0.75,0.75,0.75",0.75,0.529411764705882,0.481266710939811,0.4258109220514,0.358641797420325,0.692307692307692,0.583333333333333,0.692307692307692,0.913328294280675,0.77605938911438,0.926817357540131,0.844764947891235,0.675047934055328
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,1.0,False,"0.25,0.25,0.25",0.25,0.333333333333333,0.204124145231932,0.0841195432869987,0.0561222232430573,0.533333333333333,0.153846153846154,0.4,0.473251028806584,0.650298476219177,0.8282151222229,0.728552043437958,0.440278828144074
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,False,"1.0,1.0,1.0",1.0,0.833333333333333,0.816496580927726,0.7937005259841,0.759835685651593,1.0,1.0,1.0,0.83,0.845224976539612,0.893981575965881,0.868919849395752,0.910219848155975
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""",1.0,False,"1.0,1.0,1.0",1.0,0.8,0.632455532033676,0.237126220299338,0.16068568378893,1.0,1.0,1.0,0.75,0.920010149478912,0.965447127819061,0.942181169986725,0.919585883617401
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,0.75,False,"0.75,0.75,0.75",0.75,0.210526315789474,0.108147614087175,0.0409758830216353,0.0256074448055742,0.357142857142857,0.153846153846154,0.357142857142857,0.5625,0.567769050598145,0.755684614181519,0.648385882377625,0.49592000246048
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,0.75,False,"0.5,0.5,0.5",0.5,0.454545454545455,0.426401432711221,0.392800487936325,0.350843969563869,0.588235294117647,0.533333333333333,0.588235294117647,0.766153846153846,0.625635623931885,0.765905618667603,0.68870085477829,0.43147623538971
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.",1.0,False,"1.0,1.0,1.0",1.0,0.181818181818182,0.0426401432711221,0.0272352646881081,0.0224169335019223,0.4,0.153846153846154,0.4,0.212765957446808,0.536425828933716,0.787704288959503,0.638222694396973,0.648709058761597
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,False,"1.0,1.0,1.0",1.0,0.625,0.597614304667197,0.563123940221803,0.516973153957171,0.769230769230769,0.727272727272727,0.769230769230769,0.939622641509434,0.685193657875061,0.8409104347229,0.755107700824738,0.629654109477997
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.",1.0,False,"1.0,1.0,1.0",1.0,0.153846153846154,0.0358057437019716,0.0226727519869783,0.0184768604205222,0.3,0.0,0.2,0.131578947368421,0.425696849822998,0.66943746805191,0.52044290304184,0.436582148075104
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.",1.0,False,"0.0,0.0,0.0",0.0,0.6,0.516397779494322,0.405480133038227,0.312393993692026,0.666666666666667,0.5,0.666666666666667,0.718157181571816,0.755328893661499,0.870795845985413,0.808962881565094,0.661660611629486
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong tries to run away when pororo says ""come here.""","crong tries to run away when pororo says ""come here.""",1.0,False,"1.0,1.0,1.0",1.0,0.3,0.0577350269189626,0.0346680637175318,0.0277761903401179,0.533333333333333,0.153846153846154,0.533333333333333,0.573863636363636,0.526092946529388,0.699031233787537,0.600356161594391,0.503237187862396
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.",1.0,False,"1.0,1.0,1.0",1.0,0.125,0.0422577127364258,0.0309899047120547,0.0277761903401179,0.5,0.4,0.5,0.113636363636364,0.479205667972565,0.691983580589294,0.566266179084778,0.401594936847687
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,,0.825,0.3743954540918,0.282116924880159,0.211451045231885,0.167675083559831,0.541375467311634,0.364445479915681,0.522640076603627,0.452306602954838,0.622686269879341,0.724209997802973,0.666418798267841,0.567082266882062
