row_num,question_id,image_path,question,answer_type,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
16,52604,S26E20-07801.jpg,what color is the man's hat?,other,blue,The man's hat is dark blue.,blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
17,1641,S31E07-02451.jpg,are the people standing or sitting?,other,standing,All characters are standing.,standing,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.00000011920929,1.00000011920929,1.00000011920929,0.703314602375031
18,1572,S26E18-12451.jpg,are the people standing or sitting?,other,standing,"The character Homer is standing in the yard, while the two children are also standing behind the fence.",standing,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.00000011920929,1.00000011920929,1.00000011920929,0.703314602375031
19,11822,S26E14-15851.jpg,how many people are in the image?,number,2,"There are two people in the image, with one character driving and the other sitting in the passenger seat.",2,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.510495722293854
20,29597,S26E08-04251.jpg,is there a human in the picture?,yes/no,yes,"Yes, there is a human in the picture, specifically Homer Simpson, who is holding a guitar and smiling in a music store filled with various instruments in the background.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
21,31735,S29E07-04051.jpg,is there a pool table?,yes/no,yes,"Yes, there is a pool table prominently displayed in the center of the scene, with several colored balls on it.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
22,61532,S24E17-07551.jpg,what color is the table?,other,blue,The table is a light blue color.,blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
23,72617,S24E22-03501.jpg,what is in the background?,other,building,"The background features a street scene with several buildings, including a storefront labeled ""Neiman Mark-Up"" and another with a ""FOR LEASE"" sign, along with a cobblestone path and greenery in the distance.",buildings,"1.0, 1.0, 1.0",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.863818168640137,0.863818168640137,0.863818168640137,0.509106338024139
24,1386,S32E03-05401.jpg,are the people standing in a line?,yes/no,yes,"Yes, the people are standing in a line, facing a central figure who appears to be officiating an event, with several characters arranged closely together in a semi-circle.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
25,68247,S33E13-09001.jpg,what is behind the men?,other,fence,"Behind the men, there is a wooden cage structure with vertical bars, set against a backdrop of dark, ominous clouds and a forested area.",cage,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529480278491974,0.529480278491974,0.529480278491974,0.188984617590904
26,26965,S26E13-03351.jpg,is there a bridge in the photo?,yes/no,yes,"Yes, there is a bridge in the background, prominently displayed behind the characters.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
27,85910,S26E02-18151.jpg,what is the color of the sky?,other,blue,The sky is a bright blue with a few white clouds scattered across it.,blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
28,78721,S32E10-00501.jpg,what is on the table?,other,suitcase,"On the table, there is a black suitcase and a single empty chair.",suitcase,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.89771980047226
29,84446,S32E15-07801.jpg,what is the color of the man's shirt on the left?,other,blue,The man's shirt on the left is light blue.,blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
30,66434,S32E08-07951.jpg,what color suit is the character wearing?,other,blue,The character is wearing a dark blue suit with a white shirt and a red tie.,blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
31,52356,S24E06-16951.jpg,what color is the man's hair?,other,blue,"The man's hair is not visible in the image, as the focus is on a character with blue hair.",blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
32,29887,S27E01-04301.jpg,is there a light hanging?,yes/no,yes,"Yes, there is a light hanging from the ceiling above Homer, casting a soft glow in the room.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
33,55433,S29E17-00451.jpg,what color is the man's shirt?,other,white,The man's shirt is white.,white,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,0.99999988079071,0.99999988079071,0.99999988079071,0.728628396987915
34,71583,S33E13-04701.jpg,what is in the background?,other,table,"The background features a colorful game board with various spaces, including a prominent purple space labeled ""Lucretia Mott"" and a cartoonish depiction of a bird.",board,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595470786094666,0.595470786094666,0.595470786094666,0.129325658082962
35,37083,S29E10-27951.jpg,what are the men doing?,other,standing,"The men are standing in front of a red curtain, with one gesturing with his hand while the other looks on, both appearing to be engaged in conversation.",conversing,"0.5, 0.5, 0.5",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387311279773712,0.606234788894653,0.47265362739563,0.0308896452188492
36,96818,S26E21-02601.jpg,what is the person sitting on?,other,chair,"The person is sitting on a wooden chair with a distinctive curved backrest, positioned at a dining table.",chair,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.648997247219086
37,Average,,,All,"Total Questions: 36, Total Images: 36",,,,0.881944444444444,0.75,0.237170824512628,0.161582601752391,0.133370955752919,0.805555555555556,0.0,0.805555555555556,0.402777777777778,0.918951746490266,0.925032955076959,0.921322367257542,0.509892683890131
