row_num,question_id,image_path,question,answer_type,correct_answer,pure_language_answer,language_critic_answer,model_confidence,changed,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
11,81928,S25E21-05701.jpg,what is the character doing?,other,standing,hiding,hiding,1.0,False,"0.0, 0.0, 0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784764409065247,0.784764409065247,0.784764409065247,0.0194115936756134
12,88069,S26E05-16151.jpg,what is the group of people doing?,other,sitting,watching,watching,1.0,False,"0.5, 0.5, 0.5",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678391098976135,0.678391098976135,0.678391098976135,0.0836096405982971
13,66444,S32E08-00801.jpg,what color suit is the man on the left wearing?,other,blue,blue,blue,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
14,11251,S24E16-21001.jpg,how many people are at the table?,number,2,2,2,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.510495722293854
15,71663,S26E14-05851.jpg,what is in the background?,other,sky,sky,sky,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.645870089530945
16,52604,S26E20-07801.jpg,what color is the man's hat?,other,blue,blue,blue,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
17,1641,S31E07-02451.jpg,are the people standing or sitting?,other,standing,standing,standing,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.00000011920929,1.00000011920929,1.00000011920929,0.703314602375031
18,1572,S26E18-12451.jpg,are the people standing or sitting?,other,standing,standing,standing,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.00000011920929,1.00000011920929,1.00000011920929,0.703314602375031
19,11822,S26E14-15851.jpg,how many people are in the image?,number,2,2,2,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.510495722293854
20,29597,S26E08-04251.jpg,is there a human in the picture?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
21,31735,S29E07-04051.jpg,is there a pool table?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
22,61532,S24E17-07551.jpg,what color is the table?,other,blue,green,green,0.75,False,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726121187210083,0.726121187210083,0.726121187210083,0.139652878046036
23,72617,S24E22-03501.jpg,what is in the background?,other,building,buildings,buildings,1.0,False,"1.0, 1.0, 1.0",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.863818168640137,0.863818168640137,0.863818168640137,0.509106338024139
24,1386,S32E03-05401.jpg,are the people standing in a line?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
25,68247,S33E13-09001.jpg,what is behind the men?,other,fence,cage,cage,1.0,False,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529480278491974,0.529480278491974,0.529480278491974,0.188984617590904
26,26965,S26E13-03351.jpg,is there a bridge in the photo?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
27,85910,S26E02-18151.jpg,what is the color of the sky?,other,blue,blue,blue,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
28,78721,S32E10-00501.jpg,what is on the table?,other,suitcase,suitcase,suitcase,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.89771980047226
29,84446,S32E15-07801.jpg,what is the color of the man's shirt on the left?,other,blue,blue,blue,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
30,66434,S32E08-07951.jpg,what color suit is the character wearing?,other,blue,blue,blue,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
31,52356,S24E06-16951.jpg,what color is the man's hair?,other,blue,blue,blue,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
32,29887,S27E01-04301.jpg,is there a light hanging?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
33,55433,S29E17-00451.jpg,what color is the man's shirt?,other,white,white,white,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,0.99999988079071,0.99999988079071,0.99999988079071,0.728628396987915
34,71583,S33E13-04701.jpg,what is in the background?,other,table,boardgame,boardgame,1.0,False,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425100147724152,0.543033123016357,0.476883620023727,0.120923079550266
35,37083,S29E10-27951.jpg,what are the men doing?,other,standing,discussing,discussing,1.0,False,"0.5, 0.5, 0.5",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795186340808868,0.795186340808868,0.795186340808868,0.042834147810936
36,96818,S26E21-02601.jpg,what is the person sitting on?,other,chair,chair,chair,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.648997247219086
37,Average,,,All,"Total Questions: 36, Total Images: 36",,,,,,0.840277777777778,0.722222222222222,0.22838671990105,0.155598060946747,0.128431290725033,0.777777777777778,0.0,0.777777777777778,0.388888888888889,0.922095745801926,0.925371661782265,0.923534175588025,0.494485578189294
