row_num,video_name,gif_num,qid,question,correct_answer,initial_answer,predicted_answer,model_confidence,visual_description_quality,explanation,visual_evidence,final_answer
13,Pororo_ENGLISH1_1_ep2,26,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now.,eddy tells poby that they are going to leave now.,1.0,POOR,"the scene description and subtitles clearly indicate that eddy tells poby they are going to leave, confirming the initial answer.","the image shows eddy and poby, supporting the context of their interaction.",eddy tells poby that they are going to leave now.
14,Pororo_ENGLISH1_1_ep2,30,738,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby's precious camera.,pororo almost forgets to leave with poby's precious camera.,1.0,POOR,"the scene description and subtitles clearly indicate that pororo almost forgets poby's precious camera, supporting the initial answer.","the image shows pororo and poby in poby's place, aligning with the context of the scene.",pororo almost forgets to leave with poby's precious camera.
15,Pororo_ENGLISH1_1_ep5,41,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.","pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.",1.0,POOR,"the visual description and subtitles clearly indicate pororo's feelings of sadness and surprise regarding the wilting flower, supporting the initial answer.",the image of the wilted flower directly relates to pororo's reaction.,"pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened."
16,Pororo_ENGLISH1_1_ep6,2,925,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go to the picnic tomorrow after finishing cooking tonight.,loopy will go to the picnic tomorrow after finishing cooking tonight.,1.0,POOR,"the visual description and scene details clearly indicate that loopy is preparing for a picnic tomorrow, confirming the initial answer.",the image of loopy cooking supports the context of preparing for the picnic.,loopy will go to the picnic tomorrow after finishing cooking tonight.
17,Pororo_ENGLISH1_1_ep6,23,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,1.0,POOR,"the scene description and subtitles clearly indicate that crong mistook pororo for a ghost in the dark, confirming the initial answer.","the image shows crong surprised and holding a lamp, aligning with the context of being scared in the dark.",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.
18,Pororo_ENGLISH1_1_ep6,4,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt to her mixing bowl while cooking.,loopy adds salt to her mixing bowl while cooking.,1.0,POOR,the scene description and subtitles clearly indicate that loopy is adding salt to her mixing bowl while cooking.,"the image shows loopy's hand with a salt bottle, supporting the action of adding salt.",loopy adds salt to her mixing bowl while cooking.
19,Pororo_ENGLISH1_1_ep6,43,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after it saw him, poby, and loopy in the windy night.","eddy thinks the ghost must have run away after it saw him, poby, and loopy in the windy night.",1.0,POOR,the scene description and subtitles clearly indicate eddy's belief that the ghost ran away after seeing them.,the image does not provide relevant context for the evaluation.,"eddy thinks the ghost must have run away after it saw him, poby, and loopy in the windy night."
20,Pororo_ENGLISH1_1_ep9,16,1052,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy and her friends drink juice, dance together, and enjoy each other's company while having a good time indoors.","loopy and her friends drink juice, dance together, and enjoy each other's company while having a good time indoors.",1.0,POOR,"the visual description aligns well with the scene and subtitles, confirming that loopy and her friends engage in activities like drinking juice and dancing together.","the image shows characters around a table, consistent with the scene description of them enjoying juice indoors.","loopy and her friends drink juice, dance together, and enjoy each other's company while having a good time indoors."
21,Pororo_ENGLISH1_2_ep10,14,1857,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",pororo asked loopy what she did a minute ago.,pororo asked loopy what she did a minute ago.,1.0,POOR,"the scene description and subtitles clearly indicate that pororo asked loopy what she did a minute ago, confirming the initial answer.","the image shows pororo and loopy facing each other, supporting the dialogue context.",pororo asked loopy what she did a minute ago.
22,Pororo_ENGLISH1_2_ep2,17,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","loopy, i could not sleep.",1.0,POOR,"the dialogue ""i could not sleep"" is explicitly stated in the subtitles, confirming the accuracy of the initial answer.","the scene shows poby interacting with loopy, supporting the dialogue context.","loopy, i could not sleep."
23,Pororo_ENGLISH1_2_ep2,23,1441,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend decided to help him get some sleep after staying up all night together.,poby's friend decided to help him get some sleep after staying up all night together.,1.0,POOR,the subtitles clearly indicate that poby's friend decided to help him get some sleep after staying up all night together.,the image does not provide relevant information for this evaluation.,poby's friend decided to help him get some sleep after staying up all night together.
24,Pororo_ENGLISH1_2_ep5,19,1572,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy is interrupted by loopy as he was saying hello.,eddy is interrupted by loopy as he was saying hello.,0.75,POOR,"the visual description lacks detail, but the subtitles indicate that eddy is interrupted by loopy during his greeting.",the scene description and subtitles confirm the interaction between eddy and loopy.,eddy is interrupted by loopy as he was saying hello.
25,Pororo_ENGLISH1_2_ep5,26,1579,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed that the group ask him anything, claiming the magic flower would provide answers to all their questions.","loopy proposed that the group ask him anything, claiming the magic flower would provide answers to all their questions.",1.0,POOR,"the scene description and subtitles clearly indicate that loopy proposed the group ask him anything, claiming the magic flower would provide answers.","loopy is shown holding a flower, reinforcing the context of his proposal.","loopy proposed that the group ask him anything, claiming the magic flower would provide answers to all their questions."
26,Pororo_ENGLISH1_2_ep8,43,1762,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought being a superhero was more challenging than he expected after his trap backfired.,pororo thought being a superhero was more challenging than he expected after his trap backfired.,1.0,POOR,"the visual description aligns with the scene and subtitles, indicating pororo's realization about the challenges of being a superhero after his trap backfired.",the image of pororo in a superhero outfit supports the context of his thoughts on heroism.,pororo thought being a superhero was more challenging than he expected after his trap backfired.
27,Pororo_ENGLISH1_2_ep8,48,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, complicating their superhero mission.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, complicating their superhero mission.",0.75,POOR,"the visual description and scene context support the idea that poby, eddy, and loopy were involved in a rescue mission, but the specifics of their dialogue are unclear.","the image shows poby, eddy, and loopy looking down, which aligns with their involvement in the situation.","poby, eddy, and loopy told pororo and crong that they were there to save them, but pororo's trap backfired, complicating their superhero mission."
28,Pororo_ENGLISH1_2_ep8,49,1768,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,loopy told pororo and crong that she was not in danger and thanked them for their concern.,loopy told pororo and crong that she was not in danger and thanked them for their concern.,0.75,POOR,"the scene description and subtitles indicate loopy is not in danger and thanks pororo, supporting the initial answer but lacking explicit dialogue.","the visual shows loopy smiling, which aligns with her expressing gratitude.",loopy told pororo and crong that she was not in danger and thanked them for their concern.
29,Pororo_ENGLISH1_3_ep1,15,2079,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is a treasure map.,pororo thinks eddy is hiding the map because he believes it is a treasure map.,1.0,POOR,"the scene description and subtitles clearly indicate pororo's suspicion about eddy hiding the map, believing it to be a treasure map.","the visual supports pororo's expression of suspicion, aligning with the dialogue.",pororo thinks eddy is hiding the map because he believes it is a treasure map.
30,Pororo_ENGLISH1_3_ep11,1,2513,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,1.0,POOR,"the scene description and subtitles clearly indicate that pororo sees a wind-up toy moving on the floor, supporting the initial answer.","the image shows pororo on the sofa, consistent with the scene description.",pororo saw a wind-up toy moving on the floor.
31,Pororo_ENGLISH1_3_ep12,16,2575,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,POOR,"the scene description and subtitles clearly indicate that loopy hands a sandwich to eddy, confirming the initial answer.","the image shows loopy with a sandwich, supporting the action described.",loopy gives a sandwich to eddy.
32,Pororo_ENGLISH1_3_ep12,24,2582,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what are you doing?"" while watching him with the robot.","loopy asks eddy, ""what are you doing?"" while watching him with the robot.",1.0,POOR,"the dialogue ""what are you doing"" is explicitly stated in the subtitles, confirming loopy's question to eddy.","the image shows characters observing eddy, supporting the context of the dialogue.","loopy asks eddy, ""what are you doing?"" while watching him with the robot."
33,Pororo_ENGLISH1_3_ep13,18,2623,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by wanting to be good for santa claus.","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by wanting to be good for santa claus.",1.0,POOR,"the visual description, scene, and subtitles clearly indicate crong's unexpected cleaning behavior motivated by wanting to be good for santa claus, supporting the initial answer.",the image of crong cleaning aligns with the scene description and dialogue about his behavior.,"everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by wanting to be good for santa claus."
34,Pororo_ENGLISH1_3_ep2,49,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a snowboard as pororo entered the house.,it is unclear what crong was playing with as pororo entered the house.,0.25,POOR,"the visual description lacks detail about what crong was playing with, and the subtitles do not explicitly mention a snowboard.",the image does not provide specific information about crong's activities.,it is unclear what crong was playing with as pororo entered the house.
35,Pororo_ENGLISH1_3_ep3,31,2206,what did pororo answer to loopy and crong,"pororo said ""uh well""",pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.,1.0,POOR,"the dialogue clearly states that pororo identified the strange object as a gorilla toy washed ashore, confirming the initial answer.","the image depicts pororo, supporting the context of the scene described.",pororo told loopy and crong that the strange thing on the beach was just a gorilla toy washed ashore by the waves.
36,Pororo_ENGLISH1_3_ep4,45,2291,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,POOR,"the scene description and subtitles clearly indicate that eddy apologized to pororo for doubting him, confirming the initial answer.","the image shows characters interacting, supporting the context of their friendship.",eddy said sorry to pororo for doubting him.
37,Pororo_ENGLISH1_3_ep5,1,2298,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.",1.0,POOR,"the scene description and subtitles clearly indicate that eddy, loopy, and poby were secretly discussing something when pororo and crong arrived.","the image supports the scene description of the characters gathered together, enhancing the context of their secretive interaction.","eddy, loopy, and poby were secretly discussing something when pororo and crong arrived."
38,Pororo_ENGLISH1_3_ep5,25,2333,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman; they are celebrating his birthday instead.","no, the friends do not find pororo behind the snowman; they are celebrating his birthday instead.",1.0,POOR,"the scene description and subtitles confirm that the friends are celebrating pororo's birthday, not searching for him behind a snowman.","the image shows the friends waving and celebrating, aligning with the scene description.","no, the friends do not find pororo behind the snowman; they are celebrating his birthday instead."
39,Pororo_ENGLISH1_3_ep7,25,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and leaving the scene.","when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and leaving the scene.",1.0,POOR,"the scene description and subtitles clearly indicate that crong tries to run away when pororo says ""come here,"" supporting the initial answer.",the image does not provide relevant visual evidence for this evaluation.,"when pororo says ""come here,"" crong tries to run away again, ultimately disappearing and leaving the scene."
40,Pororo_ENGLISH1_3_ep7,47,2446,what does poby say when invited to play,"he says ""of course""","poby responds, ""of course,"" when invited to play together.","poby responds, ""of course,"" when invited to play together.",1.0,POOR,the scene description and subtitles clearly indicate poby's response to the invitation to play.,the visual supports the context of poby being part of the scene.,"poby responds, ""of course,"" when invited to play together."
