row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the characters looking down from a hole, which aligns with the dialogue provided in the subtitles. the pure language answer is consistent with the visual context.","the scene shows loopy, poby, and eddy looking down, which supports the dialogue ""we are here to save you.""",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""",0.75,0.75,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue provided in the pure language answer, confirming loopy's expression and action. the subtitle directly matches the dialogue, providing clear evidence of what loopy said.","the description of loopy smiling and talking, along with the subtitle, supports the accuracy of the dialogue.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,0.75,0.75,1.0,INSUFFICIENT,"the visual description aligns with the scene where pororo is suspiciously questioning eddy about the map, supporting the pure language answer that pororo thinks eddy is hiding it as if it were treasure.",the cartoon image depicts pororo in a context that matches the scene description of him asking about the map.,False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,0.25,0.25,1.0,INSUFFICIENT,"the visual description accurately depicts pororo on the sofa with a book, confirming the context of the action described in the question.","the scene shows pororo observing something, which aligns with the action of seeing a wind-up toy moving.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is handing a sandwich to eddy, which directly supports the pure language answer.","the scene description confirms the action of loopy giving a sandwich to eddy, aligning with the visual depiction.",False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description provides context about the characters and their actions, which supports the dialogue in the pure language answer. the subtitle confirms the question being asked.","the scene description indicates that loopy is present and watching eddy, which aligns with the dialogue.",False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,0.75,0.75,0.75,INSUFFICIENT,"the visual description aligns with the scene where crong is cleaning, and the interaction between pororo and loopy is mentioned, supporting the idea that everyone felt amused. however, the emotional response of ""amused and entertained"" is not explicitly confirmed in the visual evidence.","the scene shows crong cleaning, which supports the action described in the answers.",False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,0.5,0.5,0.75,INSUFFICIENT,"the visual description does not provide specific details about crong's actions or the toy he was playing with, making it insufficient for answering the question. however, the pure language answer aligns with the context provided in the scene description and subtitles.",no visual evidence was used due to insufficient description.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the actions described in the pure language answer, confirming pororo's response and gestures.","the image shows pororo moving his arms, which supports the action described in the scene_description.",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns well with the scene description, confirming that eddy is apologizing to pororo, which matches the pure language answer.","the scene depicts eddy and pororo interacting, supporting the claim that eddy said sorry to pororo.",False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.",1.0,1.0,0.75,INSUFFICIENT,"the visual description does not provide specific details about the actions of the characters, making it insufficient for a complete assessment. however, the scene description and subtitles support the pure language answer regarding the characters discussing something secretly.",not applicable as the visual description was insufficient.,False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.",0.0,0.0,1.0,INSUFFICIENT,"the visual description indicates that the friends are waving goodbye to pororo, which confirms that they do not find him behind the snowman.","the scene shows loopy, poby, crong, and eddy waving at pororo, supporting the conclusion that he is not hidden behind the snowman.",False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again.","when pororo says ""come here,"" crong tries to run away again.",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where pororo tells crong to come over, and the action described in the pure language answer is consistent with the scene context.","the visual description indicates a cartoon image from pororo, which supports the context of the dialogue.",False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where poby is invited to play, confirming his response of ""of course"" as stated in the pure language answer.","the scene depicts poby abandoning his fishing rod to join friends, supporting the dialogue context.",False
41,Average,,,,,,,,0.83125,0.95,,,,0/40
