row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,1.0,1.0,INSUFFICIENT,"the visual description confirms that crong misses his shot, aligning with the pure language answer that states he did not score.","the scene shows crong attempting a shot at the hoop, which supports the conclusion that he did not score.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,1.0,1.0,INSUFFICIENT,"the visual description confirms that pororo is in a scene where he is apologizing to poby, which aligns with the question about whether he apologizes for knocking down poby's things. the subtitles also support this action.","the scene description and subtitles indicate that pororo is apologizing, which directly answers the question.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""we are going to leave now.""","eddy tells poby, ""we are going to leave now.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy and loopy inform poby that they are leaving, supported by the subtitles.","the scene shows eddy and poby, confirming the dialogue context.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,0.5,0.5,1.0,INSUFFICIENT,"the visual description clearly indicates that pororo placed the camera on the floor and left, which directly supports the pure language answer that he almost forgot to leave with the camera.","the scene shows pororo and poby in poby's place, with the camera mentioned in the context of pororo's actions.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,1.0,1.0,1.0,INSUFFICIENT,"the visual description directly relates to the scene where the flower is wilted, supporting the emotional response of pororo.","the image shows a wilted flower, which aligns with the scene description and the emotional context.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns well with the context of the question, confirming that loopy is preparing for a picnic tomorrow, which is supported by the scene description and subtitles.","the scene description indicates loopy is cooking for the picnic, and the subtitles explicitly state the timing of the picnic.",False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,0.5,0.5,1.0,INSUFFICIENT,"the visual description accurately depicts crong's surprise and his action of holding a lamp, which aligns with the pure_language_answer.","the image shows crong with an open mouth and a lamp, confirming his surprised expression and the lamp being out.",False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is adding salt to her mixing bowl, which aligns with the pure language answer.","the scene description and subtitles confirm that loopy is actively adding salt, supporting the action described.",False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.",1.0,1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to answer the question about eddy's thoughts on the ghost. however, the scene_description and subtitles clearly indicate that eddy believes the ghost ran away after seeing them.","none, as the visual description was insufficient for the evaluation.",False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.",0.75,0.75,1.0,INSUFFICIENT,"the visual description accurately depicts the scene where loopy's friends are sitting around a table drinking juice, which aligns with the pure language answer.","the scene shows pororo, crong, poby, and eddy at a table with drinks, confirming the actions described.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the scene where pororo asks loopy a question, aligning with the pure language answer. the context provided in the scene description and subtitles supports the dialogue.",the description of pororo asking loopy what she did a minute ago is directly supported by the visual of them facing each other in a snowy landscape.,False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","loopy, i could not sleep.",0.5,0.5,1.0,INSUFFICIENT,"the visual description provides context relevant to the dialogue, indicating a character interaction that aligns with the statement ""i could not sleep.""","the scene shows poby scratching his head, which suggests a state of confusion or tiredness, supporting the dialogue context.",False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,1.0,1.0,1.0,INSUFFICIENT,"the visual description indicates that eddy is actively talking and gesturing, which aligns with the dialogue in the subtitles about helping poby get some sleep. this supports the pure language answer.",the scene description of eddy talking and swinging his arms reinforces the action of discussing how to help poby.,False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,0.0,0.0,1.0,INSUFFICIENT,"the visual description provides relevant context about the characters and their actions, confirming that crong interrupts eddy.","the scene description indicates crong is sliding down behind pororo, which supports the claim of interruption.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,0.75,0.75,1.0,INSUFFICIENT,"the visual description aligns well with the context of loopy proposing that the group ask him about the flower, as he is depicted holding a flower and smiling, which supports the dialogue in the subtitles.","the image shows loopy holding a flower, which directly relates to his proposal to answer questions about it.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to come up with a plan to cheer up crong.,pororo thought he needed to come up with a plan to cheer up crong.,0.5,0.5,0.75,INSUFFICIENT,"the visual description indicates a scene with pororo and crong showing sad faces, which aligns with the context of pororo needing to come up with a plan to cheer up crong. however, the visual language answer is missing, which slightly reduces confidence.",the depiction of sad expressions in the scene supports the idea that pororo is concerned about crong's feelings.,False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","loopy, poby, and eddy told pororo and crong, ""we are here to save you.""","loopy, poby, and eddy told pororo and crong, ""we are here to save you.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the characters looking down from a hole, which aligns with the dialogue provided in the subtitles. the pure language answer is consistent with the visual context.","the scene shows loopy, poby, and eddy looking down, which supports the dialogue ""we are here to save you.""",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""",0.75,0.75,1.0,INSUFFICIENT,"the visual description provides relevant context about loopy's actions and expressions, which align with the dialogue in the pure language answer.","the description of loopy smiling, talking, and sticking out her tongue supports the dialogue context.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,0.75,0.75,1.0,INSUFFICIENT,"the visual description aligns with the scene where pororo is questioning eddy about the map, supporting the idea that pororo suspects eddy is hiding something valuable.","the cartoon image depicts pororo in a suspicious pose, which reinforces the context of the question.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,0.0,0.0,1.0,INSUFFICIENT,"the visual description accurately depicts pororo on the sofa with a book, observing a wind-up toy moving on the floor, which aligns with the question.","the scene shows pororo's position and the action of the toy moving, confirming the context.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is handing a sandwich to eddy, which directly supports the pure language answer.","the scene description confirms the action of loopy giving a sandwich to eddy, aligning with the visual depiction.",False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description provides context about the characters and their actions, which supports the dialogue in the pure language answer. the scene indicates that loopy is present and observing eddy, making the question and answer relevant.",the presence of loopy in the scene watching eddy confirms the context for the dialogue.,False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,0.75,0.75,0.75,INSUFFICIENT,"the visual description aligns with the scene where crong is cleaning, and the actions of pororo and loopy are also mentioned, supporting the emotional response of amusement and entertainment. however, the visual language answer is missing, which slightly lowers confidence.","the scene shows crong cleaning, which directly relates to the question about how everyone felt during this action.",False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,0.5,0.5,0.75,INSUFFICIENT,"the visual description does not provide specific details about crong or the toy, making it insufficient for answering the question. however, the pure language answer aligns with the context provided in the scene description and subtitles.",no visual evidence was used due to insufficient description.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the actions described in the pure language answer, confirming pororo's response and gestures.","the image shows pororo moving his arms, which supports the action described in the scene_description.",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy apologizes to pororo, confirming the context of the dialogue.","the scene description indicates eddy is next to his snowman and is apologizing to pororo, which matches the visual context.",False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.",1.0,1.0,0.75,INSUFFICIENT,"the visual description does not provide specific details about the actions of the characters when pororo and crong arrive, making it insufficient for a complete assessment. however, the scene description and subtitles support the pure language answer, indicating that the friends were engaged in a secret discussion.",the visual does not directly depict the actions described in the scene or subtitles.,False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman.","no, the friends do not find pororo behind the snowman.",0.0,0.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to confirm whether pororo is found behind the snowman, as it lacks specific details about the scene in question. the scene description and subtitles clearly indicate that the friends are saying goodbye to pororo, supporting the pure language answer.","not applicable, as the visual description was insufficient.",False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again.","when pororo says ""come here,"" crong tries to run away again.",1.0,1.0,1.0,INSUFFICIENT,"the visual description is relevant as it indicates the context of the scene where pororo interacts with crong, supporting the action described in the pure language answer.","the visual description confirms the cartoon context, which aligns with the actions described in the scene.",False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.",1.0,1.0,1.0,INSUFFICIENT,"the visual description indicates that poby is depicted in a scene where he abandons his fishing rod to play with friends, aligning with the dialogue provided in the pure language answer.","the scene shows poby's action of leaving his fishing rod, which supports the context of him being invited to play.",False
41,Average,,,,,,,,0.8125,0.95625,,,,0/40
