row_num,qid,video_name,gif_num,question,correct_answer,visual_description
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"**Visible Actions in Sequence**:
First, the dandelion flower is shown in a pot, visibly wilted with a brownish color. Then, the camera focuses on the flower, emphasizing its drooping petals and stem. Finally, the scene remains static, highlighting the wilted state of the flower.

**Character Behaviors**:
There are no characters present in the GIF to observe actions, facial expressions, or body postures.

**Dialogue Integration**:
There is no character dialogue in the GIF, so no actions can be matched to spoken words. The subtitle ""the dandelion is wilting"" corresponds to the visual focus on the wilted flower."
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"1. **Visible Actions in Sequence**:
   - First, Loopy is standing at a table, holding a mixing bowl.
   - Then, Loopy stirs the contents of the bowl with a spoon.
   - Finally, Loopy looks up and smiles at the camera.

2. **Character Behaviors**:
   - Loopy is wearing a chef hat and has a cheerful expression.
   - Loopy's body is slightly turned towards the camera while she stirs.
   - Loopy raises her head and smiles after stirring.

3. **Dialogue Integration**:
   - Loopy says ""we are going on a picnic tomorrow"" while stirring the bowl and then looks up and smiles."
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","First, Crong opens his mouth wide, indicating surprise. Then, he shakes his head from side to side. After that, he holds a lamp in his left hand, which is not lit. The background shows a dark, starry night, enhancing the scene's atmosphere."
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"1. **Visible Actions in Sequence**:
   - First, Loopy holds a salt bottle above the mixing bowl.
   - Then, Loopy tilts the salt bottle to pour salt into the bowl.
   - Finally, Loopy sprinkles a little salt into the bowl.

2. **Character Behaviors**:
   - Loopy is focused on the mixing bowl while holding the salt bottle.
   - Loopy's body is slightly leaned forward as she pours the salt.
   - Loopy's hand is steady as she sprinkles the salt.

3. **Dialogue Integration**:
   - Loopy says ""okay now a little salt"" while holding the salt bottle above the mixing bowl and tilting it to pour."
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","1. **Visible Actions in Sequence**:
   - First, Eddy stands with a slight lean forward, looking animated and engaged.
   - Then, he raises his hands slightly, gesturing as he speaks.
   - Finally, he smiles broadly, showing enthusiasm while maintaining his stance.

2. **Character Behaviors**:
   - Eddy is positioned centrally in the frame, with his body slightly angled forward.
   - His facial expression is cheerful, with a wide smile and bright eyes.
   - There are no visible interactions with other characters in this frame.

3. **Dialogue Integration**:
   - Eddy says ""he must have run away after he saw us"" while leaning forward and gesturing with his hands."
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"1. **Visible Actions in Sequence**:
   - First, Pororo sits at the table, holding a glass of juice and smiling.
   - Then, Crong stands next to Pororo, looking at him while holding his own glass of juice.
   - After that, Poby is positioned behind the table, looking at the group with a neutral expression.
   - Finally, Eddy is also behind the table, slightly leaning forward and observing the others.

2. **Character Behaviors**:
   - Pororo is smiling and appears to be enjoying his drink.
   - Crong is looking at Pororo, holding his glass, and seems engaged in the moment.
   - Poby maintains a neutral expression while looking at the group.
   - Eddy leans forward slightly, indicating interest in the conversation.

3. **Dialogue Integration**:
   - Crong says ""crong"" while looking at Pororo and holding his glass of juice."
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","1. **Visible Actions in Sequence**:
   - First, Pororo stands facing Loopy, looking directly at her.
   - Then, Loopy touches her face with her hand while maintaining eye contact with Pororo.
   - Finally, Pororo asks Loopy a question, indicated by his mouth moving as he speaks.

2. **Character Behaviors**:
   - Pororo is standing still, facing Loopy, with a focused expression as he asks his question.
   - Loopy touches her face with her hand, indicating a gesture of thought or consideration, while looking at Pororo.

3. **Dialogue Integration**:
   - Pororo says ""what was it that you did a minute ago"" while standing still and looking directly at Loopy."
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"1. **Visible Actions in Sequence**:
   - First, Poby stands in front of Loopy and scratches his head with his right paw.
   - Then, Poby lowers his paw back down to his side.

2. **Character Behaviors**:
   - Poby scratches his head with his right paw, indicating a gesture of contemplation or confusion.
   - Loopy is positioned in front of Poby, but her specific actions or expressions are not visible in this frame.

3. **Dialogue Integration**:
   - Poby says ""I could not sleep"" while scratching his head with his right paw."
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"1. **Visible Actions in Sequence**:
   - First, Poby stands with his arms outstretched and a wide smile on his face.
   - Then, he tilts his head slightly to the side while maintaining his stance.
   - Finally, he closes his eyes and appears to sway gently from side to side.

2. **Character Behaviors**:
   - Poby is standing with a joyful posture, arms open wide, and a big smile, indicating a positive demeanor.
   - His head tilts, suggesting engagement or curiosity, and he sways gently, which may indicate a relaxed state.

3. **Dialogue Integration**:
   - Poby says ""we have to help poby gets some sleep"" while standing with arms outstretched and a smile on his face."
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"1. **Visible Actions in Sequence**:
   - First, Pororo stands up and raises his left arm.
   - Then, Crong slides down behind Pororo.

2. **Character Behaviors**:
   - Pororo is standing upright with his left arm raised, indicating a gesture of greeting or attention.
   - Crong is sliding down, moving from a higher position to a lower one behind Pororo.

3. **Dialogue Integration**:
   - Pororo says ""hey why did not you move"" while standing up and raising his left arm."
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"1. **Visible Actions in Sequence**:
   - First, Loopy stands in the center of the scene, holding a vase with flowers in it.
   - Then, she smiles and raises the vase slightly, showcasing the flowers to the group.
   - After that, she gestures with her free hand, inviting the others to ask questions.

2. **Character Behaviors**:
   - Loopy is smiling and has a cheerful posture, standing upright with her head held high.
   - Eddy and Pororo are sitting on the ground, looking at Loopy while she speaks.

3. **Dialogue Integration**:
   - Loopy says ""so go ahead ask me anything"" while smiling and holding the vase of flowers, encouraging the others to engage with her."
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"1. **Visible Actions in Sequence**:
   - First, Pororo stands still with a neutral posture.
   - Then, he tilts his head slightly to the side.
   - After that, he raises his eyebrows and opens his mouth as if about to speak.

2. **Character Behaviors**:
   - Pororo maintains a neutral expression initially, then shifts to a more inquisitive look by tilting his head and raising his eyebrows.
   - His body remains upright, and he does not make any significant movements other than the head tilt.

3. **Dialogue Integration**:
   - Pororo says ""what should I do"" while tilting his head slightly and raising his eyebrows."
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","1. **Visible Actions in Sequence**:
   - First, Loopy, Poby, and Eddy lean over the edge of a hole, looking down.
   - Then, they all have their mouths open, indicating they are speaking or shouting.
   - Finally, they maintain their positions while looking down into the hole.

2. **Character Behaviors**:
   - **Loopy**: Leans forward, mouth open, and looks down into the hole.
   - **Poby**: Also leans forward, with a surprised expression, mouth open.
   - **Eddy**: Stands in the middle, leaning over, with his mouth open as well.

3. **Dialogue Integration**:
   - Loopy, Poby, and Eddy say ""we are here to save you"" while leaning over the hole and looking down."
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy says ""did you think you could play a trick on me"" while smiling and talking. She is wearing a mask on her head and has her hands around her mouth. She sticks out her tongue during this action."
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"1. **Visible Actions in Sequence**:
   - First, Pororo stands with his arms crossed and tilts his head slightly to the side.
   - Then, he raises one eyebrow and narrows his eyes, looking at Eddy.
   - Finally, he gestures with his hand, pointing towards Eddy while maintaining a suspicious posture.

2. **Character Behaviors**:
   - Pororo stands confidently with a slight smirk, indicating curiosity. His body is slightly turned towards Eddy, and he uses hand gestures to emphasize his point.
   - Eddy is not visible in the GIF, so no actions or expressions can be described for him.

3. **Dialogue Integration**:
   - Pororo says ""why are you hiding it as if it is some kind of treasure"" while standing with his arms crossed and pointing towards Eddy."
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"1. **Visible Actions in Sequence**:
   - First, Pororo is sitting on the sofa with a book open on his lap.
   - Then, Pororo looks down toward the floor.
   - After that, Pororo's eyes widen as he observes the wind-up toy moving.
   - Finally, Pororo raises his hands slightly in surprise.

2. **Character Behaviors**:
   - Pororo is seated with his legs crossed and his body facing slightly forward.
   - His facial expression changes as he looks down, showing surprise with wide eyes.
   - Pororo's hands move slightly upward as he reacts to the toy.

3. **Dialogue Integration**:
   - Pororo says ""the doll is moving"" while looking down at the floor and raising his hands slightly."
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"1. **Visible Actions in Sequence**:
   - First, Loopy holds a sandwich in her right hand and smiles.
   - Then, she extends her right arm forward, offering the sandwich.
   - Finally, Eddy reaches out with his robot arm to pick up the sandwich from Loopy.

2. **Character Behaviors**:
   - Loopy is smiling and has her body slightly turned towards Eddy while holding the sandwich.
   - Eddy is facing Loopy and extends his robot arm towards her, indicating he is ready to take the sandwich.

3. **Dialogue Integration**:
   - Loopy says ""here eddy"" while extending her arm forward with the sandwich."
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","I'm unable to analyze the GIF directly, but I can guide you on how to observe the actions and events based on the provided context. 

1. **Visible Actions in Sequence**:
   - First, observe the robot's movements and how it behaves while Eddy is riding it.
   - Then, look at the reactions of Poby, Crong, Loopy, and Pororo as they watch Eddy and the robot.
   - Finally, note any specific gestures or movements from Loopy as she interacts with Eddy.

2. **Character Behaviors**:
   - Eddy is likely positioned on the robot, possibly holding on or adjusting his position as it moves.
   - Poby, Crong, Loopy, and Pororo may display various expressions of surprise or curiosity as they watch the scene unfold.
   - Look for any specific gestures, such as pointing or looking at each other, that indicate their reactions.

3. **Dialogue Integration**:
   - When Loopy says, ""Eddy, what happened,"" observe her body language and any gestures she makes while speaking.

By following these steps, you can create an objective narrative based on what you see in the GIF."
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"1. **Visible Actions in Sequence**:
   - First, Crong is seen standing in the center of the room, holding a cleaning tool.
   - Then, Crong bends down to the floor and begins to clean, moving the tool back and forth.
   - After that, Crong stands up straight and looks around the room, appearing to check his work.

2. **Character Behaviors**:
   - Crong is actively cleaning the floor, using a sweeping motion with the cleaning tool. His body is slightly bent forward while he cleans.
   - Crong's facial expression shows a focused look as he cleans, with his eyes directed at the floor.
   - Pororo is positioned to the side, leaning slightly toward Loopy, and appears to be whispering or sharing something with her, as he looks at her while speaking.
   - Loopy is facing Pororo, with her hands at her sides, and she is listening attentively.

3. **Dialogue Integration**:
   - Crong says ""crong crong crong"" while he is cleaning the floor, moving the cleaning tool back and forth."
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"I'm unable to analyze the GIF directly, but I can guide you on how to observe it based on the provided context. 

1. **Visible Actions in Sequence**:
   - First, observe if Crong is engaged in any activity before Pororo enters the house.
   - Then, note how Pororo approaches the house and any movements he makes while searching for Crong.
   - Finally, look for any interactions or movements that indicate what Crong was playing with.

2. **Character Behaviors**:
   - Look for specific actions by Crong, such as playing with an object, moving around, or any gestures he makes.
   - Observe Pororo's body language, such as looking around, moving his head, or any other physical actions that indicate he is searching.

3. **Dialogue Integration**:
   - While Pororo is searching, match his actions with the dialogue ""Pororo is desperately looking for Crong."" 

By following these steps, you can create an objective narrative based on what you see in the GIF."
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","First, Pororo raises his arms and turns around to face Loopy and Crong. Then, he opens his mouth as if to speak. While doing this, he says, ""uh well."""
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"1. **Visible Actions in Sequence**:
   - First, Eddy stands next to his snowman.
   - Then, Eddy turns to face Pororo.
   - Finally, Eddy raises his hands slightly and leans forward while looking at Pororo.

2. **Character Behaviors**:
   - Eddy is standing upright, facing Pororo, with a slight forward lean.
   - Pororo is standing in front of Eddy, looking back at him with a smile.
   - Both characters maintain eye contact throughout the interaction.

3. **Dialogue Integration**:
   - Eddy says ""I am sorry too"" while leaning forward slightly and looking directly at Pororo."
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"1. **Visible Actions in Sequence**:
   - First, Eddy stands close to Loopy and Poby, gesturing with his hands as he talks.
   - Then, Loopy claps her hands together while looking at Eddy.
   - After that, Poby nods his head in agreement while maintaining eye contact with Eddy.

2. **Character Behaviors**:
   - Eddy is animatedly explaining something, using hand gestures to emphasize his points.
   - Loopy is clapping her hands, indicating enthusiasm or support, and has a bright expression on her face.
   - Poby is nodding his head, showing attentiveness, and his body is slightly leaning forward as he listens.

3. **Dialogue Integration**:
   - Eddy says ""the friends are talking about something secretly"" while gesturing with his hands and looking at Loopy and Poby.
   - Loopy claps her hands while listening to Eddy, showing engagement in the conversation.
   - Poby nods his head while looking at Eddy, indicating he is following along with the discussion."
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"1. **Visible Actions in Sequence**:
   - First, Loopy waves her hand while standing on the left.
   - Then, Poby stands next to Loopy and waves his hand as well.
   - After that, Crong, who is next to Poby, raises his arms and looks toward Pororo.
   - Finally, Eddy, on the right, smiles and waves his hand while looking at Pororo.

2. **Character Behaviors**:
   - Loopy is standing with her hand raised in a waving gesture, displaying a cheerful demeanor.
   - Poby stands beside Loopy, also waving his hand, maintaining a friendly posture.
   - Crong raises his arms, appearing to be excited or engaged in the moment.
   - Eddy stands with a smile, waving his hand, indicating a positive interaction with the group.

3. **Dialogue Integration**:
   - Loopy says ""bye pororo"" while waving her hand.
   - Poby also waves his hand while saying ""bye pororo.""
   - Crong raises his arms while the others are saying goodbye.
   - Eddy smiles and waves while saying ""bye pororo."""
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"1. **Visible Actions in Sequence**:
   - First, Pororo stands with his arms crossed and a serious expression on his face.
   - Then, he gestures with his hand, indicating for Crong to come over.
   - After that, Crong looks away and begins to run in the opposite direction.

2. **Character Behaviors**:
   - Pororo maintains a confident posture with his head slightly tilted and eyebrows furrowed.
   - Crong turns his body away from Pororo and moves quickly, attempting to escape.

3. **Dialogue Integration**:
   - Pororo says ""come here"" while gesturing with his hand toward himself."
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","First, Poby stands still, holding a fishing rod. Then, he drops the fishing rod to the ground. After that, Poby turns around and walks toward his friends with a cheerful demeanor. While doing this, Poby says, ""of course"" with a smile on his face."
