row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description confirms that crong misses his shot, aligning with the pure language answer that states he did not score.","the scene shows crong attempting to shoot the basketball, which supports the conclusion that he did not score.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description confirms that pororo is in a scene where he is apologizing to poby, which aligns with the question. the subtitles also support this action.","the scene shows pororo interacting with poby, reinforcing the action of apologizing.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy tells poby they are going to leave, and the subtitles confirm this dialogue.","the scene shows eddy and poby, supporting the dialogue context.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the visual description clearly indicates that pororo placed the camera on the floor and left, which directly supports the pure language answer that he almost forgot to leave with the camera.","the scene shows pororo and poby in poby's place, with the camera mentioned in the context of pororo's actions.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description directly relates to the scene where the flower is wilted, supporting the emotional response of pororo.","the image shows a wilted flower, which aligns with the scene description and the emotional context of pororo feeling sad.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description directly supports the answer by indicating that loopy is preparing for a picnic tomorrow, which aligns with the pure language answer.","the scene shows loopy cooking, which is explicitly stated to be for the picnic happening tomorrow.",False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the visual description accurately depicts crong's surprised expression and his action of holding a lamp, which aligns with the provided answers.","the visual shows crong with an open mouth and a lamp, confirming his surprise and the lamp being out.",False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is holding a salt bottle and adding salt to her mixing bowl, which directly supports the pure language answer.",the description of loopy holding a salt bottle and sprinkling salt in the bowl confirms the action described.,False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide relevant information to assess eddy's thoughts about the ghost. however, the scene_description and subtitles support the pure_language_answer, indicating that eddy believes the ghost ran away after seeing them.","not applicable, as the visual description did not contribute to the evaluation.",False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description accurately depicts the scene where loopy's friends are sitting around a table drinking juice, which aligns with the pure_language_answer.","the visual shows pororo, crong, poby, and eddy at a table, confirming the actions described.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue and scene context, confirming pororo's question to loopy.","the scene shows pororo asking loopy, which supports the dialogue presented in the pure language answer.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","loopy, i could not sleep.","0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the visual description does not provide relevant information to assess the dialogue context, as it does not mention the characters' dialogue or actions related to the question. the subtitles clearly state the dialogue, which is the primary focus.",no visual evidence was used due to insufficient description.,False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description indicates that eddy is actively talking and gesturing, which aligns with the dialogue in the subtitles about helping poby get some sleep. this supports the pure language answer.",the scene description of eddy talking and swinging his arms reinforces the action of discussing how to help poby.,False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,1.0,INSUFFICIENT,"the visual description provides relevant context about the characters and their actions, confirming that crong interrupts eddy.","the scene description indicates crong is sliding down behind pororo, which supports the claim of interruption.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description aligns well with the context of the dialogue, confirming loopy's action of holding a flower and inviting questions. the subtitle directly supports the proposed action.","the image shows loopy holding a flower, which corresponds with the dialogue in the subtitles.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to find a way to cheer up crong and himself.,pororo thought he needed to find a way to cheer up crong and himself.,"0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description indicates that pororo and crong are depicted with sad faces, which aligns with the context of pororo needing to cheer them up. however, the visual language answer is missing, which slightly reduces confidence.",the sad expressions of pororo and crong in the visual support the idea that pororo is concerned about their feelings.,False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the characters looking down from a hole, which aligns with the dialogue in the subtitles. the pure language answer is consistent with the visual evidence.","the scene shows loopy, poby, and eddy looking down, which supports the dialogue ""we are here to save you.""",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue provided in the pure language answer, confirming loopy's expression and words.","the description of loopy smiling and talking, along with the specific dialogue in the subtitles, supports the accuracy of the pure language answer.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description aligns with the scene where pororo is questioning eddy about the map, supporting the idea that pororo suspects it might be treasure.","the cartoon image depicts pororo in a suspicious pose, which matches the scene description of him questioning eddy.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25,1.0,INSUFFICIENT,"the visual description accurately depicts pororo on the sofa with a book, confirming the context of the action described in the answers.","the scene shows pororo observing something, which aligns with the action of seeing a wind-up toy moving.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is handing a sandwich to eddy, which directly supports the pure language answer.","the scene description confirms the action of loopy giving a sandwich to eddy, aligning with the visual evidence.",False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides context about the characters and their actions, which aligns with the dialogue in the pure language answer.","the scene description indicates that loopy is present and watching eddy, supporting the dialogue context.",False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,"0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the visual description aligns well with the scene described, confirming crong's action of cleaning and the interaction between pororo and loopy.","the image depicts crong cleaning, which supports the scene description and the emotional response of amusement.",False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description does not provide specific details about what crong was playing with, which is essential for answering the question accurately. however, the pure language answer is clear and aligns with the context provided in the scene description and subtitles.",no visual evidence was used due to insufficient description.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description accurately depicts pororo's actions, which align with the dialogue provided in the pure language answer.","the scene shows pororo moving his arms and turning around, consistent with the dialogue ""uh well.""",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy apologizes to pororo, confirming the context of the dialogue.",the description of eddy standing next to his snowman and saying sorry to pororo directly supports the pure_language_answer.,False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide specific details about the actions of the characters when pororo and crong arrive, making it insufficient for a complete assessment. however, the scene_description and subtitles support the pure_language_answer, indicating that the friends were engaged in a secret discussion.",no visual evidence was used due to insufficient description.,False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman; they are waving goodbye to him.","no, the friends do not find pororo behind the snowman; they are waving goodbye to him.","0.0,0.0,0.0",0.0,1.0,INSUFFICIENT,"the visual description clearly indicates that the friends are waving goodbye to pororo, which aligns with the pure language answer.","the scene shows loopy, poby, crong, and eddy waving, confirming their action of saying goodbye.",False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again.","when pororo says ""come here,"" crong tries to run away again.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description and scene description confirm that crong is trying to run away when pororo says ""come here,"" aligning perfectly with the pure language answer.",the scene description indicates crong's action in response to pororo's dialogue.,False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where poby abandons his fishing rod to play, supporting the dialogue that he says ""of course"" when invited.","the scene description indicates poby's action of leaving his fishing rod to join friends, which confirms the context of the dialogue.",False
41,Average,,,,,,,,0.81875,0.95,,,,0/40
