row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_language_answer,predicted_answer,evaluator_scores,accuracy,model_confidence,visual_description_quality,explanation,visual_evidence,changed
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description clearly indicates pororo is looking up at poby with a slight smile, suggesting an apologetic demeanor, which aligns with the context of the scene and the provided subtitles.",the description of pororo's expression and posture supports the conclusion that he is apologizing.,False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""we are going to leave now.""","eddy tells poby, ""we are going to leave now,"" while standing in poby's room.","eddy tells poby, ""we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly indicates that eddy is speaking to poby in poby's room, confirming the dialogue provided in both answers. the context supports the pure language answer without contradiction.","the visual shows eddy and poby in the described setting, reinforcing the dialogue.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby the camera he placed on the floor.,pororo almost forgets to leave with the camera he placed on the floor.,pororo almost forgets to leave with poby the camera he placed on the floor.,"0.5,0.5,0.5",0.5,1.0,GOOD,"the visual description clearly indicates that pororo is walking away from poby and that a camera is placed on the floor, which directly relates to what pororo almost forgets. this aligns with both the pure language and visual language answers.","the visual description helped confirm the action and object involved, specifically the camera on the floor.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,"pororo felt sad after seeing the wilted flower, as indicated by his frown and drooping posture.",pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description clearly indicates pororo's sadness through his frown and drooping posture, which aligns with the emotional context of the wilted flower. the details about the flower being brown and droopy further support the interpretation of pororo's feelings.","the description of pororo's frown and drooping posture directly correlates with the visual evidence of the wilted flower, reinforcing the emotional response.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description clearly indicates that loopy is preparing for a picnic tomorrow, which aligns with the provided dialogue and scene description.",the visual of loopy smiling and cooking supports the context of preparing for the picnic.,False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"crong is scared of pororo due to the dark environment and his startled expression, indicating surprise and fear.",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"0.5,0.5,0.5",0.5,1.0,GOOD,"the visual description clearly indicates crong's startled expression and the context of the dark environment, which aligns with the reasons for his fear.",the description of crong's wide-open mouth and the lamp being out supports the conclusion that he is scared due to surprise in a dark setting.,False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description lacks clarity and detail regarding the action of adding salt, making it less reliable. however, the pure language answer is straightforward and consistent with the context provided.",the visual does not provide clear evidence of the action described.,False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost ran away after it saw him, poby, and loopy.","eddy thinks the ghost ran away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description provides clear and relevant details about eddy's expression and demeanor, supporting the conclusion that he believes the ghost ran away after seeing them. this aligns with the scene description and subtitles.",the cheerful expression and confident demeanor of eddy in the visual description reinforce the idea that he thinks the ghost ran away.,True
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, drinking juice and enjoying snacks together.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, drinking juice and enjoying snacks together.","1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description provides a clear and detailed account of loopy's friends sitting around a table inside, drinking juice and enjoying snacks, which aligns well with the context of the question.","the image shows loopy, crong, poby, and eddy around a table, supporting the description of them drinking juice and enjoying snacks in a cozy indoor setting.",True
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly depicts pororo asking loopy about her recent actions, aligning perfectly with the provided dialogue. the scene description and subtitles further support this interaction.","the visual description states that pororo is facing loopy and asking, ""what was it that you did a minute ago?"" which matches the dialogue.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","poby tells loopy, ""i could not sleep,"" while looking puzzled and concerned in the snowy environment.","poby tells loopy, ""i could not sleep,"" while looking puzzled and concerned in the snowy environment.","1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description is clear and relevant, providing context about poby's actions and emotional state, which supports the dialogue.","the description of poby scratching his head and appearing puzzled aligns with the dialogue ""i could not sleep,"" enhancing the understanding of the scene.",True
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,poby's friend decided to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description clearly identifies poby's friend and the joyful context, aligning with the action of helping poby get some sleep. the scene description and subtitles further support this conclusion.",the joyful expression and arms outstretched in the visual description indicate a positive action towards helping poby.,False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,"eddy is interrupted by crong, who is sliding down behind pororo.",crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,1.0,POOR,the visual description lacks clarity and relevance for answering the specific question about who interrupts eddy. the pure language answer directly addresses the question without ambiguity.,"not applicable, as the visual description was deemed poor.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75,1.0,GOOD,"the visual description clearly depicts loopy holding a vase with flowers and smiling, which aligns with the dialogue provided in the subtitles. the context supports the proposal made by loopy.","the visual description of loopy holding the vase and the dialogue ""so go ahead ask me anything"" confirms his invitation to the group.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to find a way to cheer up crong and make him smile again.,pororo thought he needed to come up with a plan to cheer up crong and solve their problem.,pororo thought he needed to find a way to cheer up crong and make him smile again.,"0.25,0.5,0.25",0.25,0.75,GOOD,"the visual description indicates pororo's emotional state, which aligns with the context of needing to cheer up crong. however, the pure language answer is more straightforward and directly addresses the thought process without ambiguity.",the description of pororo's furrowed brow and frown supports the idea that he is concerned and thinking about how to help crong.,False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly conveys the characters' expressions and their intent to communicate a message of rescue, which aligns with the dialogue provided.","the visual shows poby, eddy, and loopy looking down with concern, supporting the dialogue ""we are here to save you.""",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy, smiling and playful, asked pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,1.0,POOR,"the visual description is clear and detailed, accurately reflecting loopy's actions and expressions while providing the exact dialogue. this aligns well with the pure language answer.","the description of loopy smiling, wearing a mask, and sticking out her tongue supports the playful tone of the dialogue.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,"0.75,0.75,0.75",0.75,1.0,GOOD,"the visual description is clear and relevant, providing context about pororo's expression and the setting, which supports the understanding of his suspicion regarding eddy's hidden map.",the description of pororo's suspicious expression and the snowy outdoor setting emphasizes the mystery surrounding the map.,False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor in front of him.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25,1.0,GOOD,"the visual description provides clear context about pororo's position and the action he observes, aligning well with the scene description and subtitles.","the image shows pororo sitting on a green sofa, which supports the description of him seeing the wind-up toy moving on the floor.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description clearly identifies loopy as a pink character handing a sandwich to eddy, a green character, which aligns with the scene description and the pure language answer.","the image shows loopy holding a sandwich and facing eddy, confirming the action described.",False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""eddy, what happened?"" while watching him ride the strange-moving robot with concern.","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description lacks clarity and relevance to the specific dialogue question, making it less reliable. the pure language answer is straightforward and aligns with the context provided.",the image does not provide specific dialogue content or context that contradicts the pure language answer.,False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,"everyone felt amused and intrigued as crong happily cleaned, while pororo and loopy engaged in their secretive conversation.","everyone felt amused and intrigued as crong happily cleaned, while pororo and loopy engaged in their secretive conversation.","0.75,0.75,0.75",0.75,1.0,GOOD,"the visual description clearly depicts crong's cheerful cleaning, along with pororo and loopy's secretive interaction, aligning well with the emotional responses described in both answers.","the image shows crong happily cleaning, which supports the notion of amusement and engagement among the characters.",True
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a colorful ball inside the igloo as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.75,0.5,0.5",0.5,1.0,POOR,"the visual description lacks clarity and does not provide definitive evidence about what crong was playing with, making it unreliable. the pure language answer is more general but does not contradict any evidence.",the image does not provide specific details about crong's actions or the object he was playing with.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while excitedly gesturing towards loopy and crong in the snowy setting.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, providing context about pororo's actions and emotions, which aligns with the dialogue. the scene description supports the dialogue content effectively.","the visual shows pororo with outstretched arms and an excited expression, reinforcing the dialogue ""uh well"" and his interaction with loopy and crong.",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description clearly depicts eddy expressing remorse while standing next to pororo, which aligns with the dialogue and scene description provided. the evidence supports the claim that eddy said sorry to pororo for doubting him.","the visual description indicates eddy's remorseful expression and his interaction with pororo, reinforcing the context of the apology.",False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something while loopy clapped and poby nodded in agreement when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something while clapping and nodding in a snowy outdoor setting when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something while loopy clapped and poby nodded in agreement when pororo arrived with crong.","1.0,1.0,1.0",1.0,1.0,GOOD,"the visual description provides clear and relevant details about the characters' actions and the snowy outdoor setting, aligning well with the context of the question.","the description of eddy explaining, loopy clapping, and poby nodding supports the actions described in both answers.",False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"the friends do not find pororo behind the snowman, as they are waving goodbye to him.","the friends do not find pororo behind the snowman, as there is no snowman present in the scene.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","0.0,0.0,0.0",0.0,1.0,GOOD,"the visual description clearly states that the friends are waving and smiling, with no snowman present, which aligns with the context of them saying goodbye to pororo.",the description of the friends waving and the absence of a snowman directly supports the conclusion that they do not find pororo behind it.,False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong tries to run away when pororo says ""come here.""","crong hesitates and looks away from pororo, indicating a desire to run away instead of coming over.","crong tries to run away when pororo says ""come here.""","1.0,1.0,1.0",1.0,0.75,POOR,"the visual description provides clear and relevant details about crong's hesitation and body language, which supports the context of the dialogue. however, the pure language answer is more straightforward and aligns with the visual evidence.",the description of crong looking away and appearing hesitant while pororo stands confidently reinforces the idea that crong is reluctant to approach.,False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby excitedly responds, ""of course!"" as he runs towards his friends to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly depicts poby's excitement and readiness to play, aligning well with the dialogue provided in the subtitles. the context supports the dialogue's intent.",the visual description of poby smiling and running towards his friends enhances the understanding of his enthusiastic response.,False
41,Average,,,,,,,,,0.81875,0.98125,,,,4/40
