row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16.0,did crong score after he shot the ball at the hoop?,no he did not score,"Visual Description: Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.",crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly states that crong misses his shot, directly answering the question about whether he scored.","the visual description indicates crong's action of missing the shot, which aligns with the visual evidence of the basketball not going into the hoop.",False
12,716,Pororo_ENGLISH1_1_ep2,19.0,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet', 'blue and white'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['polar bear', 'white'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'looking at', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background or other objects', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby is visible, looking at Pororo.', 'center': 'Pororo is apologizing to Poby.', 'right': 'No clear content visible.', 'foreground': 'Pororo and Poby are in the foreground.', 'background': 'The background contains unclear details.'}}","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that pororo is apologizing to poby, which directly answers the question. both the visual and textual evidence support this action.",the action of pororo apologizing to poby is explicitly mentioned in the visual description and aligns with the scene context.,False
13,730,Pororo_ENGLISH1_1_ep2,26.0,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['polar bear'], 'location': ['foreground', 'center']}, {'name': 'suitcase', 'attributes': ['closed', 'black'], 'location': ['foreground', 'left']}, {'name': 'bed', 'attributes': ['unmade'], 'location': ['background', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'tell', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'bed'}], 'uncertain': [{'description': 'details of the room', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a penguin wearing a helmet, stands next to a closed black suitcase.', 'center': 'Poby, a polar bear, is positioned in the center of the scene.', 'right': 'A bed is visible in the background, appearing unmade.', 'foreground': 'Eddy and Poby are in the foreground, engaged in conversation.', 'background': 'The background contains unclear details of the room.'}}","eddy tells poby, ""poby, we are going to leave now.""",eddy tells poby that they are going to leave now.,"eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides relevant details about the characters and their actions, confirming that eddy tells poby they are going to leave. the scene description and subtitles further support this dialogue.","the visual description indicates that eddy is telling poby they are going to leave, which aligns with the dialogue in the subtitles.",False
14,738,Pororo_ENGLISH1_1_ep2,30.0,what does pororo almost forget to leave with poby,the broken camera piece,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a hat', 'blue outfit'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['white bear', 'standing still'], 'location': ['foreground', 'left']}, {'name': 'camera', 'attributes': ['small', 'on the floor'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'left', 'object': 'camera'}], 'relationships': [{'subject': 'Pororo', 'relation': 'is next to', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2': {'left': 'Poby is standing still on the left side.', 'center': 'Pororo is walking away from the camera in the center.', 'right': 'The right region is empty.', 'foreground': 'Pororo and Poby are in the foreground with a camera on the floor.', 'background': 'The background contains unclear details.'}}",pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description clearly indicates that pororo is leaving with the camera, which aligns with both the pure language and visual language answers.","the description specifies that pororo is walking away from the camera, confirming the action of leaving with it.",False
15,912,Pororo_ENGLISH1_1_ep5,41.0,how did pororo feel after seeing that the flower has wilted,he was very upset,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'dandelion', 'attributes': ['wilted', 'yellowish'], 'location': ['foreground', 'center']}, {'name': 'pot', 'attributes': ['white', 'ceramic'], 'location': ['foreground', 'center']}, {'name': 'window', 'attributes': ['wooden', 'transparent'], 'location': ['background', 'center']}], 'actions': [], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'A wilted dandelion in a pot is visible.', 'right': 'The right region is empty.', 'foreground': 'The dandelion and pot are in the foreground.', 'background': 'A wooden window with a blue sky is in the background.'}}",pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that the flower is wilted, which aligns with the emotional response of pororo feeling sad. both the pure language and visual language answers are consistent with this interpretation.",the description of the wilted dandelion in the pot directly supports the conclusion about pororo's feelings.,False
16,925,Pororo_ENGLISH1_1_ep6,2.0,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a chef hat'], 'location': ['foreground', 'center']}, {'name': 'bowl', 'attributes': ['being stirred'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'cooking', 'object': 'bowl'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and cooking in the center.', 'right': 'The right region is empty.', 'foreground': 'Loopy is in the foreground, stirring a bowl.', 'background': 'The background contains shelves with kitchen items.'}}",loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear evidence that loopy is preparing for a picnic tomorrow by cooking, which aligns with the question.",the description of loopy cooking in the foreground and the context of preparing for a picnic supports the answer.,False
17,946,Pororo_ENGLISH1_1_ep6,23.0,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'frog-like', 'holding a lamp'], 'location': ['foreground', 'center']}, {'name': 'lamp', 'attributes': ['out', 'held in left hand'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Crong', 'action': 'opens', 'object': 'mouth'}, {'subject': 'Crong', 'action': 'shakes', 'object': 'head'}], 'relationships': [], 'uncertain': [{'description': 'background details', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region contains unclear background details.', 'center': 'Crong is surprised, holding an out lamp.', 'right': 'The right region is empty.', 'foreground': 'Crong is in the foreground, expressing surprise.', 'background': 'The background features a night sky with trees.'}}",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and startled while holding an out lamp in a dark environment.,crong is scared of pororo because he is surprised and startled while holding an out lamp in a dark environment.,"0.25,0.25,0.25",0.25,1.0,SUFFICIENT,"the visual description provides relevant details about crong's surprise and his action of holding an out lamp, which directly relates to the question.",the description of crong being surprised and holding an out lamp in a dark environment supports the answer.,False
18,928,Pororo_ENGLISH1_1_ep6,4.0,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['holding a salt bottle', 'cooking'], 'location': ['foreground', 'center']}, {'name': 'mixing bowl', 'attributes': ['empty', 'round'], 'location': ['foreground', 'center']}, {'name': 'salt bottle', 'attributes': ['small', 'transparent'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'sprinkles', 'object': 'salt'}], 'relationships': [{'subject': 'Loopy', 'relation': 'holds', 'object': 'salt bottle'}, {'subject': 'Loopy', 'relation': 'interacts with', 'object': 'mixing bowl'}], 'uncertain': [{'description': 'details of the food being made', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is unclear or empty.', 'center': 'Loopy is holding a salt bottle and sprinkling salt into a mixing bowl.', 'right': 'The right region is unclear or empty.', 'foreground': 'Loopy and the mixing bowl are in the foreground.', 'background': 'The background is unclear or empty.'}}",loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is holding a salt bottle and sprinkling salt into a mixing bowl, which directly answers the question about the seasoning added.",the description of loopy holding a salt bottle and the action of sprinkling salt into the mixing bowl supports the answer.,False
19,965,Pororo_ENGLISH1_1_ep6,43.0,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'fox character'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'guesses', 'object': 'the ghost ran away'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy, a smiling fox character, is in the center.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground.', 'background': 'The background features a night sky with stars and distant hills.'}}","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides relevant context about eddy's actions and the scene, confirming that he is guessing about the ghost's behavior.","the description indicates that eddy is in the foreground and is smiling, which aligns with his guess about the ghost running away.",False
20,1052,Pororo_ENGLISH1_1_ep9,16.0,what do loopy's friends do when they're inside?,they share a snack at the table,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['bear', 'white'], 'location': ['background', 'left']}, {'name': 'Pororo', 'attributes': ['penguin', 'blue'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['fox', 'orange'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['dinosaur', 'green'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'sitting', 'object': 'table'}, {'subject': 'Eddy', 'action': 'holding', 'object': 'juice'}, {'subject': 'Crong', 'action': 'standing', 'object': 'none'}, {'subject': 'Poby', 'action': 'standing', 'object': 'none'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Poby', 'relation': 'behind', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the table', 'location': ['foreground', 'center']}, {'description': 'specific items on the table', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby the bear is standing in the background.', 'center': 'Pororo and Eddy are sitting at the table, with Eddy holding juice.', 'right': 'Crong the dinosaur is standing next to Eddy.', 'foreground': 'Pororo and Eddy are at the table with unclear items.', 'background': 'Snowy landscape with trees and Poby in the background.'}}","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice and enjoying each other's company.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice and enjoying each other's company.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear details about the characters, their actions, and their relationships, which directly support the answers regarding what loopy's friends do inside.","the description confirms that pororo and eddy are sitting at the table drinking juice, which aligns with both answers.",False
21,1857,Pororo_ENGLISH1_2_ep10,14.0,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['blue color', 'wearing a helmet'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['pink color', 'touching her face'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': 'Loopy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'facing', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy is standing and touching her face.', 'center': 'Pororo is facing Loopy and asking a question.', 'right': 'Empty or unclear.', 'foreground': 'Pororo and Loopy are in the snowy landscape.', 'background': 'The sky is blue and clear with snow-covered trees.'}}","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about pororo asking loopy a question, which aligns perfectly with the dialogue in both the pure and visual language answers.","the description confirms pororo is facing loopy and asking a question, which directly supports the dialogue presented.",False
22,1435,Pororo_ENGLISH1_2_ep2,17.0,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"{'Task 1': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'white fur', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'standing'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'scratches', 'object': 'his head'}], 'relationships': [{'subject': 'Poby', 'relation': 'to the left of', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2': {'left': 'Poby is scratching his head.', 'center': 'The area is empty.', 'right': 'Loopy is standing.', 'foreground': 'Poby and Loopy are both visible.', 'background': 'Night sky with trees.'}}","loopy, i could not sleep.","""poby tells loopy, 'i could not sleep.'""","loopy, i could not sleep.","0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description provides relevant context about poby and loopy, confirming their presence and actions, which aligns with the dialogue.",the description of poby scratching his head and the night setting supports the dialogue context.,False
