row_num_df1,video_name_df1,gif_num_df1,qid,question_df1,correct_answer_df1,predicted_answer_df1,accuracy_df1,row_num_df2,video_name_df2,gif_num_df2,question_df2,correct_answer_df2,predicted_answer_df2,accuracy_df2,improved,degraded,unchanged,performance_diff,question_type,correct_length,single_length,multi_length,length_diff_single,length_diff_multi,agents_consistent,question_complexity,correct_single_similarity,correct_multi_similarity
11,Pororo_ENGLISH1_1_ep2,16,711.0,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop,1.0,11,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"no, crong did not score after he shot the ball at the hoop",1.0,False,False,True,0.0,Action,5,12,13,7,8,False,simple,0.4461969318767801,0.5844819913223044
12,Pororo_ENGLISH1_1_ep2,19,716.0,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes for knocking poby's things down",1.0,12,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes for knocking poby's things down",1.0,False,False,True,0.0,Action,12,8,8,-4,-4,True,simple,0.09955650015474786,0.09955650015474786
13,Pororo_ENGLISH1_1_ep2,26,730.0,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby that they are going to leave, indicating a shift in their plans after the camera incident",1.0,13,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now,1.0,False,False,True,0.0,Dialog,8,19,10,11,2,False,simple,0.31275660406648204,0.6446165047969146
14,Pororo_ENGLISH1_1_ep2,30,738.0,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby's precious camera,0.5,14,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby's precious camera,0.5,False,False,True,0.0,Action,4,9,9,5,5,True,simple,0.18227346510489434,0.18227346510489434
15,Pororo_ENGLISH1_1_ep5,41,912.0,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad and concerned after seeing that the flower had wilted,1.0,15,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad and concerned after seeing that the flower had wilted,1.0,False,False,True,0.0,Action,4,12,12,8,8,True,simple,0.0,0.0
16,Pororo_ENGLISH1_1_ep6,2,925.0,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow,1.0,16,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy is preparing for a picnic tomorrow by cooking and is going to get salt from poby,0.75,False,True,False,-0.25,Other,8,7,17,-1,9,False,medium,0.4160719595046818,0.575188356551919
17,Pororo_ENGLISH1_1_ep6,23,946.0,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because he mistakenly believes pororo is a ghost in the dark, leading to surprise and fear",0.75,17,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he mistakenly thinks pororo is a ghost in the dark,0.75,False,False,True,0.0,Reasoning,20,21,16,1,-4,False,complex,0.40968611623331214,0.4766579026967774
18,Pororo_ENGLISH1_1_ep6,4,928.0,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt to her mixing bowl,1.0,18,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl,1.0,False,False,True,0.0,Action,4,7,9,3,5,False,simple,0.5382055448577067,0.4819003336568477
19,Pororo_ENGLISH1_1_ep6,43,965.0,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after it saw him, poby, and loopy",1.0,19,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after it saw him, poby, and loopy",1.0,False,False,True,0.0,Action,15,15,15,0,0,True,simple,0.6629008552503977,0.6629008552503977
20,Pororo_ENGLISH1_1_ep9,16,1052.0,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends sit around the table drinking juice, express admiration for her, and eventually dance together, enjoying their time indoors",0.75,20,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,loopy's friends drink juice and enjoy each other's company while discussing exercise and dancing,0.5,False,True,False,-0.25,Action,7,20,14,13,7,False,medium,0.12717690668381376,0.0
21,Pororo_ENGLISH1_2_ep10,14,1857.0,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",pororo asked loopy what she did a minute ago,1.0,21,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",pororo asked loopy what she did a minute ago,1.0,False,False,True,0.0,Dialog,11,9,9,-2,-2,True,simple,0.7187329182745866,0.7187329182745866
22,Pororo_ENGLISH1_2_ep2,17,1435.0,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"to say ""i could not sleep"" to loopy, poby simply states, ""i could not sleep",1.0,22,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"to say to loopy ""i could not sleep,"" poby would simply express, ""i could not sleep",1.0,False,False,True,0.0,Dialog,9,15,16,6,7,False,simple,0.6820042776813046,0.6628787971452679
23,Pororo_ENGLISH1_2_ep2,23,1441.0,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend decided to help him get some sleep after staying up all night,1.0,23,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend decided to help him get some sleep after staying up all night,1.0,False,False,True,0.0,Action,10,14,14,4,4,True,simple,0.7121593710458664,0.7121593710458664
24,Pororo_ENGLISH1_2_ep5,19,1572.0,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy is interrupted by loopy as he was saying hello,0.0,24,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,1.0,True,False,False,1.0,Dialog,10,10,10,0,0,False,medium,0.6408544366622325,1.0
25,Pororo_ENGLISH1_2_ep5,26,1579.0,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed to the group that they ask the magic flower questions, claiming it would provide answers to anything they wanted to know",1.0,25,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed that the group ask the magic flower questions, claiming it would provide answers to all of them",0.75,False,True,False,-0.25,Dialog,8,23,19,15,11,False,simple,0.41969577398314223,0.2810109383754878
26,Pororo_ENGLISH1_2_ep8,43,1762.0,what did pororo think next?,pororo thought next: wjat should i do?,pororo felt frustrated and realized that being a superhero is more challenging than he anticipated,0.25,26,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo felt frustrated and realized that being a superhero was more challenging than he had anticipated,0.25,False,False,True,0.0,Action,7,15,16,8,9,False,simple,0.020268828000006164,0.0195720246262869
27,Pororo_ENGLISH1_2_ep8,48,1767.0,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong that they were there to save loopy from danger, but later realized she was not in danger after all",0.75,27,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy did not tell pororo and crong anything specific about saving them from danger; instead, they were involved in their own adventure",0.0,False,True,False,-0.75,Dialog,15,27,25,12,10,False,simple,0.5820309807316869,0.369299511985272
28,Pororo_ENGLISH1_2_ep8,49,1768.0,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,loopy told pororo and crong that she was not in danger and suggested going to eddy's house instead,0.25,28,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,loopy did not tell pororo and crong anything specific; she was not in danger and did not need saving,0.0,False,True,False,-0.25,Dialog,13,18,19,5,6,False,simple,0.2732970936838843,0.11379298283392597
29,Pororo_ENGLISH1_3_ep1,15,2079.0,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is a treasure map,0.75,29,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is some kind of treasure,0.75,False,False,True,0.0,Action,9,15,16,6,7,False,simple,0.4696594277502897,0.7818961624247875
30,Pororo_ENGLISH1_3_ep11,1,2513.0,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor,0.25,30,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor,0.25,False,False,True,0.0,Action,5,9,9,4,4,True,simple,0.44381436802474034,0.44381436802474034
31,Pororo_ENGLISH1_3_ep12,16,2575.0,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy,1.0,31,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy,1.0,False,False,True,0.0,Action,6,6,6,0,0,True,medium,1.0000000000000002,1.0000000000000002
32,Pororo_ENGLISH1_3_ep12,24,2582.0,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",loopy asks eddy what he is doing with the robot,0.25,32,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy about the robot's capabilities, not specifically about the test drive",0.0,False,True,False,-0.25,Dialog,5,10,13,5,8,False,simple,0.4068865273997273,0.18694238630427704
33,Pororo_ENGLISH1_3_ep13,18,2623.0,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused to see crong cleaning the house, as it was a sudden change from his usual behavior, especially with christmas approaching",1.0,33,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior for him",1.0,False,False,True,0.0,Action,9,25,18,16,9,False,medium,0.4385599603090946,0.5553305612403296
34,Pororo_ENGLISH1_3_ep2,49,2173.0,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a snowboard as pororo entered the house,1.0,34,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was not playing with anything specific as pororo entered the house,0.0,False,True,False,-1.0,Other,6,11,12,5,6,False,simple,0.7552788004768903,0.4697595504531583
35,Pororo_ENGLISH1_3_ep3,31,2206.0,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo expressed concern about something strange on the beach, which turned out to be a gorilla toy",0.0,35,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered loopy and crong by expressing surprise and excitement about the strange object on the beach, which turned out to be a gorilla toy",0.0,False,False,True,0.0,Action,4,17,25,13,21,False,simple,0.023367442048090638,0.018985561101901045
36,Pororo_ENGLISH1_3_ep4,45,2291.0,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him,1.0,36,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him,1.0,False,False,True,0.0,Dialog,5,8,8,3,3,True,medium,0.7003793231491586,0.7003793231491586
37,Pororo_ENGLISH1_3_ep5,1,2298.0,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"the friends were secretly discussing something while eddy animatedly explained to loopy and poby, who were engaged and responsive",1.0,37,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"the friends were secretly discussing something when pororo arrived, leading to a playful exchange about his birthday celebration",1.0,False,False,True,0.0,Action,7,19,18,12,11,False,medium,0.4239961946341758,0.4387254080297832
38,Pororo_ENGLISH1_3_ep5,25,2333.0,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman",0.0,38,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind the snowman",0.0,False,False,True,0.0,Visual,8,10,10,2,2,True,simple,0.5469055197703971,0.5469055197703971
39,Pororo_ENGLISH1_3_ep7,25,2425.0,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong tries to run away when pororo says ""come here",1.0,39,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong tries to run away when pororo says ""come here",1.0,False,False,True,0.0,Dialog,5,10,10,5,5,True,medium,0.24172121236238378,0.24172121236238378
40,Pororo_ENGLISH1_3_ep7,47,2446.0,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play",1.0,40,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby joyfully responds, ""of course",1.0,False,False,True,0.0,Dialog,4,8,5,4,1,False,medium,0.5661380513243706,0.45750548745533937
