row_num,qid,video_name,gif_num,question,correct_answer,visual_description
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","First, Crong stands with a surprised expression, opening his mouth wide. Then, he shakes his head from side to side while holding a lamp in his left hand. Finally, the lamp goes out as he continues to look around, maintaining his surprised posture."
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"First, Loopy holds a salt bottle above the mixing bowl. Then, she tilts the salt bottle to pour a small amount of salt into the bowl. Finally, she returns the salt bottle to a resting position while continuing to mix the contents in the bowl."
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","First, Eddy stands with a wide smile, looking directly at the camera. Then, he raises his arms slightly and tilts his head back, maintaining his cheerful expression. Finally, he closes his eyes and tilts his head to the side, still smiling broadly."
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"First, Loopy sits at the table, holding a glass of juice and smiling. Then, Crong stands next to her, looking at the table. Poby is positioned to the left of Loopy, also holding a glass of juice and smiling. Eddy is in the background, standing behind Poby and Crong, looking toward the table. 

While Crong says ""crong,"" he appears to be looking at Loopy and gesturing slightly with his hands. Loopy continues to smile while looking at Crong. Poby raises his glass slightly as if to toast, maintaining a cheerful expression. Eddy remains in the background, observing the scene. 

The characters are all engaged in a relaxed gathering, with visible interactions as they drink juice and communicate."
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","First, Pororo stands facing Loopy, who is slightly further away. Then, Pororo tilts his head slightly and asks, ""what was it that you did a minute ago"" while looking directly at Loopy. Meanwhile, Loopy raises her hand to her face, touching it gently. Finally, Loopy looks at Pororo while maintaining her hand on her face."
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"First, Poby stands outside and scratches his head with his right paw. Then, he lowers his paw back down to his side. While doing this, he says, ""I could not sleep."""
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"First, Poby stands with his arms outstretched and eyes closed, appearing to be in a relaxed position. Then, he tilts his head slightly to the side while maintaining his stance. Finally, he smiles broadly, indicating a cheerful demeanor."
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"First, Pororo stands upright and raises his left arm. Then, Crong slides down from behind Pororo. Finally, Pororo looks toward Crong while saying, ""hey why did not you move."""
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"First, Loopy stands in the center of the scene, smiling while holding a vase with flowers in it. Then, she raises the vase slightly and looks toward Eddy and Pororo, who are sitting on the ground. Finally, Loopy says, ""so go ahead ask me anything"" while maintaining her smile and holding the vase in front of her."
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"First, Pororo stands with a slight frown, looking slightly to the side. Then, he raises his eyebrows and tilts his head slightly while saying, ""what should I do."" Finally, he lowers his head and looks down, maintaining a sad expression."
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","First, Poby, Eddy, and Loopy are positioned at the edge of a hole, looking down. Then, Poby opens his mouth wide, appearing to shout or call out. Eddy stands next to Poby, looking down with a focused expression. Loopy is also beside them, her eyes wide and her mouth open, indicating she is speaking. 

While they are looking down, they collectively express the dialogue: ""we are here to save you."""
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"First, Loopy is smiling and facing the camera. Then, she raises her hands to her mouth while sticking out her tongue. Finally, she says, ""did you think you could play a trick on me"" while maintaining her smile and playful posture."
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"First, Pororo stands with his arms crossed and a slight tilt of his head, looking at Eddy. Then, he raises one eyebrow and narrows his eyes while maintaining a suspicious expression. Finally, Pororo says, ""why are you hiding it as if it is some kind of treasure"" while continuing to look intently at Eddy."
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"First, Pororo is sitting on a green sofa with a book open on his lap. Then, he looks down at the floor, focusing on something moving. Finally, he raises his head slightly and watches the wind-up toy as it moves across the floor. 

While observing the toy, Pororo says, ""the doll is moving."""
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"First, Loopy holds a sandwich in her right hand while smiling. Then, she extends her arm toward Eddy, offering the sandwich. Finally, Eddy reaches out with his robot arm to pick up the sandwich from Loopy's hand."
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","First, Loopy stands with her hands on her hips, looking toward Eddy. Then, she tilts her head slightly and asks, ""Eddy, what happened?"" while maintaining eye contact with him. Meanwhile, Poby, Crong, and Pororo are positioned nearby, watching Eddy and the robot. Poby has a neutral expression, Crong appears curious, and Pororo looks attentive as they observe the scene."
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"First, Crong is seen standing in the center of the room, looking down at a small piece of debris on the floor. Then, he bends down and picks up the debris with both hands. After that, he stands up straight and smiles, looking pleased with his action. Meanwhile, Pororo is positioned to the side, leaning slightly toward Loopy, who is also nearby. Pororo appears to be whispering something to Loopy while looking at Crong. 

Throughout this sequence, Crong's movements are focused on cleaning, while Pororo's posture indicates he is engaged in a conversation with Loopy."
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"### Task 1 - Structured Scene Understanding:
{
  ""objects"": [
    {""name"": ""house"", ""attributes"": [""igloo-shaped"", ""snow-covered""], ""location"": [""center"", ""center""]},
    {""name"": ""snow"", ""attributes"": [""falling"", ""covering ground""], ""location"": [""foreground"", ""center""]}
  ],
  ""actions"": [
    {""subject"": ""Pororo"", ""action"": ""looking"", ""object"": ""Crong""}
  ],
  ""relationships"": [
    {""subject"": ""Pororo"", ""relation"": ""near"", ""object"": ""house""}
  ],
  ""uncertain"": [
    {""description"": ""Crong's activity"", ""location"": [""foreground"", ""center""]}
  ]
}

### Task 2 - Region-based Captions:
{
  ""left"": ""The left region is empty with snow-covered ground."",
  ""center"": ""The center region features the igloo-shaped house and falling snow."",
  ""right"": ""The right region is empty with snow-covered ground."",
  ""foreground"": ""The foreground shows snow covering the ground."",
  ""background"": ""The background has a snowy landscape with trees.""
}"
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","First, Pororo stands in the foreground with his arms outstretched and a surprised expression on his face. Then, he turns his body slightly to the right while maintaining his arm position. Finally, he says ""uh well"" while looking towards Loopy and Crong, who are positioned in the background."
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"### Task 1 - Structured Scene Understanding:
{
  ""objects"": [
    {""name"": ""Eddy"", ""attributes"": [""standing"", ""apologetic""], ""location"": [""foreground"", ""center""]},
    {""name"": ""Pororo"", ""attributes"": [""smiling"", ""friendly""], ""location"": [""foreground"", ""left""]},
    {""name"": ""snowman"", ""attributes"": [""frosty"", ""decorated""], ""location"": [""background"", ""center""]}
  ],
  ""actions"": [
    {""subject"": ""Eddy"", ""action"": ""apologizes"", ""object"": ""Pororo""}
  ],
  ""relationships"": [
    {""subject"": ""Eddy"", ""relation"": ""next to"", ""object"": ""snowman""},
    {""subject"": ""Eddy"", ""relation"": ""looking at"", ""object"": ""Pororo""},
    {""subject"": ""Pororo"", ""relation"": ""looking at"", ""object"": ""Eddy""}
  ],
  ""uncertain"": []
}

### Task 2 - Region-based Captions:
{
  ""left"": ""Pororo is smiling and looking at Eddy."",
  ""center"": ""Eddy is standing next to a snowman and is apologizing."",
  ""right"": ""Empty or unclear."",
  ""foreground"": ""Eddy and Pororo are in the foreground, interacting."",
  ""background"": ""A snowman is visible in the background.""
}"
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"First, Eddy stands in front of Loopy and Poby, gesturing with his hands as he explains something. Then, Loopy claps her hands together while looking at Eddy, showing enthusiasm. Poby nods his head in agreement while maintaining eye contact with Eddy. The three characters are gathered closely together, indicating a private conversation."
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"First, Loopy, Poby, Crong, and Eddy stand together in the snow, facing toward the camera. Then, they all wave their hands while smiling. Finally, they say ""bye Pororo"" while continuing to wave at the camera. 

There is no visible action indicating that they find Pororo behind the snowman."
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"First, Pororo stands with his arms crossed and a serious expression on his face. Then, he looks directly at Crong and says ""come here"" while maintaining his posture. Finally, Crong, who is positioned slightly away from Pororo, turns his head and attempts to run away in the opposite direction."
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","First, Poby stands on a snowy path, holding a fishing rod. Then, he looks ahead and smiles, dropping the fishing rod to the ground. Finally, Poby raises his arms and says ""of course"" while moving forward to join his friends."
