row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,predicted_answer,evaluator_scores,accuracy,model_confidence,visual_description_quality,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly indicates that crong misses his shot, which aligns with the pure language answer stating that he did not score. the scene description supports this by explicitly stating crong's disappointment after missing the shot.","the image shows a basketball near the hoop, which reinforces the context of the shot being taken.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,POOR,"the scene description clearly states that ""pororo is apologizing to poby"" and the subtitles confirm this with ""oh sorry poby i will clean it up,"" providing definitive evidence that pororo does apologize.","the visual context supports the scene description and dialogue, showing pororo in a position to apologize to poby.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, providing context that supports the dialogue. the scene description and subtitles confirm that eddy is telling poby they are going to leave, matching the pure language answer.","the scene description indicates that eddy and loopy are communicating with poby, which aligns with the dialogue provided in the pure language answer.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby the camera he placed on the floor.,pororo almost forgets to leave with poby the camera he placed on the floor.,"0.5,0.5,0.5",0.5,1.0,POOR,"the visual description clearly indicates that pororo placed a camera on the floor and left, which aligns with the pure language answer. the scene description supports this action, confirming that pororo almost forgot the camera.","the scene shows pororo and poby in poby's place, with the camera likely visible on the floor, reinforcing the action described.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad and concerned after seeing that the flower had wilted.,pororo felt sad and concerned after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description provided is ambiguous and lacks detail relevant to the emotional context of pororo's feelings. therefore, the pure language answer is favored as it directly addresses the emotional response.","none, as the visual description did not provide useful context.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly indicates that loopy is preparing for a picnic tomorrow, supported by the scene description and subtitles.","the scene description states that loopy is cooking to prepare for tomorrow's picnic, and the subtitles explicitly mention ""we are going on a picnic tomorrow.""",False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"0.5,0.5,0.5",0.5,1.0,POOR,"the visual description provided is vague and does not offer specific details relevant to the question. however, the pure language answer accurately captures the essence of crong's fear based on the context of being surprised in a dark environment.","the image shows crong surprised and holding a lamp, which aligns with the pure language answer.",False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly indicates that loopy is holding a salt bottle and trying to add salt to her mixing bowl, which aligns with the pure language answer. the scene description and subtitles further confirm this action.","the scene description states that loopy is ""holding a salts bottle"" and ""sprinkles a little salt in the bowl,"" which directly supports the claim.",False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide relevant information to assess eddy's thoughts about the ghost. the pure language answer aligns with the scene description and subtitles, which clearly state eddy's belief about the ghost running away.","none, as the visual description was not useful for this evaluation.",False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","0.75,0.75,0.75",0.75,1.0,POOR,"the visual description clearly identifies the characters and their actions, which aligns with the scene description provided.","the image shows pororo, crong, poby, and eddy sitting around a table, which supports the description of them drinking juice.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, providing context about the characters and their interaction. the scene description and subtitles confirm that pororo asked loopy what she did a minute ago, aligning with the pure language answer.","the scene description indicates pororo is asking loopy a question, and the subtitles directly state the dialogue.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy would say, ""i couldn't sleep!""","loopy would say, ""i couldn't sleep!""","0.5,0.5,0.5",0.5,1.0,POOR,"the visual description does not provide sufficient detail to assess the context or dialogue accurately. therefore, the pure language answer is favored as it directly states the dialogue.","none, as the visual description was deemed poor.",False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the context of the scene or the actions of the characters. however, the pure language answer aligns with the subtitles indicating eddy's intention to help poby get some sleep.","none, as the visual description was deemed poor.",False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,1.0,POOR,"the visual description is clear and relevant, providing context about the characters and their actions, which supports the pure language answer.","the scene description indicates crong's action of sliding down behind pororo, which aligns with the interruption context.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75,1.0,POOR,"the visual description is clear and relevant, providing context about loopy's actions and the scene, which supports the dialogue content. the subtitles directly indicate loopy's proposal to the group.",the scene description and subtitles confirm that loopy is engaging with the group and inviting questions about the flower.,False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to come up with a plan to cheer up crong.,pororo thought he needed to come up with a plan to cheer up crong.,"0.5,0.5,0.5",0.5,1.0,POOR,"the visual description lacks detail and relevance to the specific question about pororo's thoughts. therefore, the pure language answer is favored as it directly addresses the question.","not applicable, as the visual description did not provide useful context.",False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, and the subtitles directly support the dialogue content. the scene description aligns with the dialogue provided in the pure language answer.","the scene description ""loopy, poby, and eddy look down from the hole"" and the subtitles ""we are here to save you"" confirm the dialogue.",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,1.0,POOR,"the visual description is clear and relevant, providing context that supports the dialogue. the subtitles directly quote loopy's words, confirming the content of the pure language answer.","the scene description indicates loopy is smiling and talking, which aligns with the dialogue provided in the subtitles.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,"0.75,0.75,0.75",0.75,1.0,POOR,"the visual description does not provide sufficient detail to assess the context of the scene or the characters' actions. however, the pure language answer aligns with the scene description and subtitles, which clearly indicate pororo's suspicion about eddy hiding the map as if it were treasure.","none, as the visual description was deemed poor.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25,1.0,POOR,"the visual description is clear and relevant, indicating that pororo is observing a wind-up toy moving on the floor, which aligns with the scene description and subtitles.","the scene description confirms that pororo sees the wind-up toy moving, supporting the pure language answer.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly indicates that loopy is handing a sandwich to eddy, which aligns with the pure language answer. the scene description and subtitles further confirm this action.","the image shows loopy holding a sandwich, which supports the description of the action taking place.",False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide relevant details to assess the dialogue accurately. the pure language answer aligns with the subtitles provided, which explicitly state ""e eddy what happened.""","none, as the visual description did not contribute to the dialogue assessment.",False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,"0.75,0.75,0.75",0.75,1.0,POOR,"the visual description provided is ambiguous and lacks detail relevant to the emotions of the characters, making it difficult to assess feelings based solely on it. the pure language answer effectively captures the emotions of the characters based on the scene description.","the image shows crong cleaning, but does not provide additional context about the feelings of the characters.",False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.5,0.5,0.5",0.5,1.0,POOR,"the visual description does not provide relevant details about what crong was playing with, and the scene description and subtitles do not contradict the pure language answer.",no specific visual evidence was used due to the poor quality of the visual description.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, indicating that the scene is from ""pororo"" and supports the dialogue provided in the pure language answer. the actions described align with the dialogue, confirming the context.","the image shows pororo with his arms out, which corresponds to the action described in the pure language answer.",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to confirm the context of the dialogue. however, the scene description and subtitles clearly indicate that eddy apologizes to pororo.","the scene description states that ""eddy says sorry to pororo for doubting pororo,"" which aligns with the pure language answer.",False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the scene accurately, so i relied on the scene description and subtitles, which clearly indicate that eddy, loopy, and poby were secretly discussing something.","the scene description confirms the characters' actions and interactions, supporting the pure language answer.",False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"the friends do not find pororo behind the snowman, as they are waving goodbye to him.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","0.0,0.0,0.0",0.0,1.0,POOR,"the visual description is clear and relevant, indicating that the characters are waving goodbye to pororo, which aligns with the scene description and subtitles.","the scene shows loopy, poby, crong, and eddy waving, confirming they are not looking for pororo behind the snowman.",False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong tries to run away when pororo says ""come here.""","crong tries to run away when pororo says ""come here.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the actions of crong in response to pororo's dialogue. the scene description and subtitles clearly indicate that crong is trying to run away when pororo says ""come here,"" supporting the pure language answer.",n/a,False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to support the dialogue context, so i rely on the pure language answer, which is consistent with the provided subtitles.","none, as the visual description was deemed poor.",False
41,Average,,,,,,,,0.825,1.0,,,,0/40
