row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Visual Description: Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.",crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly states that crong misses his shot, which directly answers the question about whether he scored.","the visual description indicates crong's disappointment after missing the shot, confirming he did not score.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['polar bear', 'white color'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'looking at', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background or other objects', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, a polar bear, is present in the left region.', 'center': 'Pororo, a penguin, is in the center, looking at Poby.', 'right': 'The right region is unclear or empty.', 'foreground': 'Pororo and Poby are both in the foreground.', 'background': 'The background contains a window and some unclear details.'}}","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that pororo is apologizing to poby, which directly answers the question. the actions and relationships described support the conclusion that pororo is indeed apologizing.",the actions and relationships in the visual description confirm pororo's apology to poby.,False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['wearing a helmet', 'blue and orange color'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white bear', 'standing'], 'location': ['foreground', 'center']}, {'name': 'suitcase', 'attributes': ['black', 'open'], 'location': ['foreground', 'right']}, {'name': 'bed', 'attributes': ['not visible in detail'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'telling', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'Poby', 'relation': 'in front of', 'object': 'suitcase'}], 'uncertain': [{'description': 'details of the bed', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy is standing with a helmet on.', 'center': 'Poby is standing next to Eddy.', 'right': 'An open black suitcase is on the ground.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'A bed is present but not clearly visible.'}}","eddy tells poby, ""we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about the characters and their actions, confirming that eddy is telling poby they are going to leave. the dialogue in the subtitles aligns with this action.","the description of eddy and poby in the foreground, along with the action of eddy telling poby, supports the conclusion.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue outfit'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['white bear', 'standing still'], 'location': ['foreground', 'left']}, {'name': 'camera', 'attributes': ['on the floor'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'left', 'object': 'camera'}], 'relationships': [{'subject': 'Pororo', 'relation': 'is next to', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the white bear, is standing still.', 'center': 'Pororo is walking away, leaving a camera on the floor.', 'right': 'The right region is empty.', 'foreground': 'Pororo and Poby are in the foreground with the camera on the floor.', 'background': 'The background contains unclear details, possibly furniture or decorations.'}}",pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description clearly indicates that pororo is leaving with the camera on the floor, which directly answers the question.","the description specifies that pororo is walking away while leaving the camera on the floor, confirming the action.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'dandelion', 'attributes': ['wilted', 'yellowish'], 'location': ['foreground', 'center']}, {'name': 'flower pot', 'attributes': ['white', 'ceramic'], 'location': ['foreground', 'center']}, {'name': 'window', 'attributes': ['wooden', 'transparent'], 'location': ['background', 'center']}], 'actions': [], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'A wilted dandelion in a white pot is visible.', 'right': 'The right region is empty.', 'foreground': 'The dandelion and its pot are in the foreground.', 'background': 'A wooden window with a blue sky is in the background.'}}",pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that the flower is wilted, which aligns with the emotional response of pororo feeling sad. both the pure language and visual language answers are consistent with this interpretation.",the description of the wilted dandelion in the foreground directly supports the emotional context of sadness.,False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a chef hat'], 'location': ['foreground', 'center']}, {'name': 'bowl', 'attributes': ['being stirred'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'cooking', 'object': 'bowl'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region contains shelves with kitchen items, but details are unclear.', 'center': 'Loopy is smiling and cooking in the center.', 'right': 'The right region is empty or unclear.', 'foreground': 'Loopy and the bowl are in the foreground.', 'background': 'The background shows a kitchen setting with shelves.'}}",loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear context about loopy's actions and intentions, confirming that loopy is preparing for a picnic tomorrow.",the description of loopy cooking in the kitchen and the mention of preparing for tomorrow's picnic directly supports the answer.,False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'frog-like', 'holding a lamp'], 'location': ['foreground', 'center']}, {'name': 'lamp', 'attributes': ['small', 'out'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Crong', 'action': 'opens', 'object': 'mouth'}, {'subject': 'Crong', 'action': 'shakes', 'object': 'head'}], 'relationships': [], 'uncertain': [{'description': 'background details', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region contains unclear background details.', 'center': 'Crong is surprised, holding an out lamp.', 'right': 'The right region is empty.', 'foreground': 'Crong is in the foreground, expressing surprise.', 'background': 'The background features a night sky with trees.'}}",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"crong is scared of pororo because he is surprised and holding an out lamp, indicating fear in a dark environment.","crong is scared of pororo because he is surprised and holding an out lamp, indicating fear in a dark environment.","0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description provides clear details about crong's actions and emotional state, which directly relate to the question about his fear of pororo.",the description of crong being surprised and holding an out lamp in a dark environment supports the understanding of his fear.,False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['holding a salt bottle', 'cooking'], 'location': ['foreground', 'center']}, {'name': 'mixing bowl', 'attributes': ['empty', 'white'], 'location': ['foreground', 'center']}, {'name': 'salt bottle', 'attributes': ['small', 'transparent'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'sprinkles', 'object': 'salt'}], 'relationships': [{'subject': 'Loopy', 'relation': 'holds', 'object': 'salt bottle'}, {'subject': 'Loopy', 'relation': 'interacts with', 'object': 'mixing bowl'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is unclear or empty.', 'center': 'Loopy is holding a salt bottle and sprinkling salt into a mixing bowl.', 'right': 'The right region is unclear or empty.', 'foreground': 'Loopy and the mixing bowl are in the foreground.', 'background': 'The background contains indistinct details.'}}",loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is holding a salt bottle and sprinkling salt into a mixing bowl, which directly answers the question about the seasoning added.",the description of loopy holding a salt bottle and the action of sprinkling salt into the mixing bowl supports the answer.,False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'fox character'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'guesses', 'object': 'the ghost ran away'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy, a smiling fox character, is visible.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground, prominently displayed.', 'background': 'The background features a night sky with stars and distant hills.'}}","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides relevant details about eddy's actions and context, confirming that he is guessing about the ghost's behavior.","the description of eddy guessing that the ghost ran away aligns with the visual depiction of him in the foreground, smiling and engaged in the scene.",False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['bear', 'white'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['fox', 'orange'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['crocodile', 'green'], 'location': ['foreground', 'right']}, {'name': 'table', 'attributes': ['round', 'wooden'], 'location': ['foreground', 'center']}, {'name': 'juice', 'attributes': ['in glass', 'yellow'], 'location': ['foreground', 'center']}, {'name': 'mountains', 'attributes': ['snowy', 'background'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Poby', 'action': 'sitting', 'object': 'table'}, {'subject': 'Eddy', 'action': 'sitting', 'object': 'table'}, {'subject': 'Crong', 'action': 'sitting', 'object': 'table'}, {'subject': 'Poby', 'action': 'drinking', 'object': 'juice'}, {'subject': 'Eddy', 'action': 'drinking', 'object': 'juice'}, {'subject': 'Crong', 'action': 'drinking', 'object': 'juice'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Poby', 'relation': 'in front of', 'object': 'mountains'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'mountains'}, {'subject': 'Crong', 'relation': 'in front of', 'object': 'mountains'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby the bear is sitting at the table.', 'center': 'Eddy the fox is sitting at the table with juice.', 'right': 'Crong the crocodile is sitting at the table.', 'foreground': 'The characters are gathered around a table with juice.', 'background': 'Snowy mountains are visible in the background.'}}","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around a table drinking juice together.","loopy's friends, pororo, crong, poby, and eddy, sit around a table drinking juice together.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual_description provides a clear and detailed account of the characters, their actions, and the setting, which directly supports the question about what loopy's friends do inside.","the description specifies that poby, eddy, and crong are sitting around a table drinking juice, which aligns perfectly with the question.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue body'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['pink body', 'touching her face'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': 'Loopy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'facing', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy is standing and touching her face.', 'center': 'Pororo is facing Loopy, asking a question.', 'right': 'Empty or unclear.', 'foreground': 'Pororo and Loopy are in the snowy landscape.', 'background': 'Blue sky and snow-covered trees.'}}","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about pororo asking loopy a question, which aligns perfectly with the dialogue in the answers.","the description confirms pororo is facing loopy and asking a question, which matches the dialogue provided.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'white fur', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'standing'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'scratches', 'object': 'his head'}], 'relationships': [{'subject': 'Poby', 'relation': 'is next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the background scenery', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is scratching his head.', 'center': 'The background is unclear, possibly depicting a night scene.', 'right': 'Loopy, the pink character, is standing.', 'foreground': 'Poby and Loopy are in the foreground.', 'background': 'The background is dark with trees, details are unclear.'}}","loopy, i could not sleep.","""poby tells loopy, 'i could not sleep.'""","loopy, i could not sleep.","0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description provides relevant context about the characters and their actions, supporting the dialogue. the subtitles directly state the dialogue, confirming the accuracy of the pure_language_answer.",the description of poby scratching his head and the presence of both characters in the foreground aligns with the dialogue context.,False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,Visual Description: Eddy is talking and swinging his arms.,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description confirms eddy's action of talking and swinging his arms, which aligns with the decision to help poby get some sleep.",eddy's actions of talking and swinging his arms support the context of discussing how to help poby.,False
