row_num_df1,video_name_df1,gif_num_df1,qid,question_df1,correct_answer_df1,predicted_answer_df1,accuracy_df1,row_num_df2,video_name_df2,gif_num_df2,question_df2,correct_answer_df2,predicted_answer_df2,accuracy_df2,improved,degraded,unchanged,performance_diff,question_type,correct_clean,single_clean,multi_clean,single_similarity,multi_similarity,similarity_diff,correct_length,single_length,multi_length,length_diff_single,length_diff_multi,agents_consistent,question_complexity,correct_single_similarity,correct_multi_similarity
16,Pororo_ENGLISH1_1_ep6,2,925.0,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow,1.0,16,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy is preparing for a picnic tomorrow by cooking and is going to get salt from poby,0.75,False,True,False,-0.25,Other,loopy going picnic tomorrow fun,loopy go picnic tomorrow,loopy preparing picnic tomorrow cooking going get salt poby,0.7466666666666667,0.5354330708661418,-0.21123359580052492,8,7,17,-1,9,False,medium,0.4160719595046818,0.575188356551919
32,Pororo_ENGLISH1_3_ep12,24,2582.0,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",loopy asks eddy what he is doing with the robot,0.25,32,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy about the robot's capabilities, not specifically about the test drive",0.0,False,True,False,-0.25,Dialog,loopy asks eddy happened,loopy asks eddy robot,loopy asks eddy robots capabilities specifically test drive,0.6329113924050633,0.4444444444444444,-0.1884669479606189,5,10,13,5,8,False,simple,0.4068865273997273,0.18694238630427704
34,Pororo_ENGLISH1_3_ep2,49,2173.0,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a snowboard as pororo entered the house,1.0,34,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was not playing with anything specific as pororo entered the house,0.0,False,True,False,-1.0,Other,crong playing snowboard,crong playing snowboard pororo entered house,crong playing anything specific pororo entered house,0.7083333333333334,0.5283018867924528,-0.18003144654088055,6,11,12,5,6,True,simple,0.7552788004768903,0.4697595504531583
27,Pororo_ENGLISH1_2_ep8,48,1767.0,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong that they were there to save loopy from danger, but later realized she was not in danger after all",0.75,27,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy did not tell pororo and crong anything specific about saving them from danger; instead, they were involved in their own adventure",0.0,False,True,False,-0.75,Dialog,poby eddy loopy told pororo crong save,poby eddy loopy told pororo crong save loopy danger later realized danger,poby eddy loopy tell pororo crong anything specific saving danger instead involved adventure,0.684931506849315,0.5526315789473685,-0.13229992790194656,15,27,25,12,10,False,simple,0.5820309807316869,0.369299511985272
6,Pororo_ENGLISH1_1_ep12,36,1222.0,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what is that box",0.0,6,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what are you arguing about",0.25,True,False,False,0.25,Dialog,poby asks eddy jumpy,poby asks eddy box,poby asks eddy arguing,0.7272727272727273,0.6052631578947368,-0.12200956937799046,8,7,8,-1,0,False,medium,0.3695646042312076,0.20530883178763354
35,Pororo_ENGLISH1_3_ep3,31,2206.0,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo expressed concern about something strange on the beach, which turned out to be a gorilla toy",0.0,35,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered loopy and crong by expressing surprise and excitement about the strange object on the beach, which turned out to be a gorilla toy",0.0,False,False,True,0.0,Action,pororo said uh well,pororo expressed concern something strange beach turned gorilla toy,pororo answered loopy crong expressing surprise excitement strange object beach turned gorilla toy,0.26666666666666666,0.1927710843373494,-0.07389558232931726,4,17,25,13,21,False,simple,0.023367442048090638,0.018985561101901045
17,Pororo_ENGLISH1_1_ep6,23,946.0,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because he mistakenly believes pororo is a ghost in the dark, leading to surprise and fear",0.75,17,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he mistakenly thinks pororo is a ghost in the dark,0.75,False,False,True,0.0,Reasoning,crong scared dark doesnt lantern mind playing tricks,crong scared pororo mistakenly believes pororo ghost dark leading surprise fear,crong scared pororo mistakenly thinks pororo ghost dark,0.42790697674418604,0.36065573770491804,-0.067251239039268,20,21,16,1,-4,False,complex,0.40968611623331214,0.4766579026967774
25,Pororo_ENGLISH1_2_ep5,26,1579.0,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed to the group that they ask the magic flower questions, claiming it would provide answers to anything they wanted to know",1.0,25,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed that the group ask the magic flower questions, claiming it would provide answers to all of them",0.75,False,True,False,-0.25,Dialog,loopy proposed ask anything,loopy proposed group ask magic flower questions claiming would provide answers anything wanted know,loopy proposed group ask magic flower questions claiming would provide answers,0.4918032786885246,0.46835443037974683,-0.023448848308777748,8,23,19,15,11,True,simple,0.41969577398314223,0.2810109383754878
28,Pororo_ENGLISH1_2_ep8,49,1768.0,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,loopy told pororo and crong that she was not in danger and suggested going to eddy's house instead,0.25,28,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,loopy did not tell pororo and crong anything specific; she was not in danger and did not need saving,0.0,False,True,False,-0.25,Dialog,loopy told pororo crong couldnt play trick,loopy told pororo crong danger suggested going eddys house instead,loopy tell pororo crong anything specific danger need saving,0.48484848484848486,0.46706586826347307,-0.01778261658501179,13,18,19,5,6,False,simple,0.2732970936838843,0.11379298283392597
18,Pororo_ENGLISH1_1_ep6,4,928.0,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt to her mixing bowl,1.0,18,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl,1.0,False,False,True,0.0,Action,loopy adds salt,loopy adds salt mixing bowl,loopy adds little salt mixing bowl,0.5555555555555556,0.5396825396825397,-0.015873015873015928,4,7,9,3,5,True,simple,0.5382055448577067,0.4819003336568477
40,Pororo_ENGLISH1_3_ep7,47,2446.0,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play",1.0,40,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby joyfully responds, ""of course",1.0,False,False,True,0.0,Dialog,says course,poby says course invited play,poby joyfully responds course,0.5396825396825397,0.5283018867924528,-0.011380652890086829,4,8,5,4,1,False,medium,0.5661380513243706,0.45750548745533937
