row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"First, the basketball is seen approaching the hoop. Then, it hits the rim and bounces off. Finally, the ball rolls away from the hoop, indicating that Crong missed the shot.",crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly indicates that the basketball hits the rim and bounces off, confirming that crong did not score. this aligns with both the pure language and visual language answers.",the description of the basketball hitting the rim and rolling away directly supports the conclusion that crong missed the shot.,False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"First, Pororo looks up at Poby with his eyes closed and a slight smile. Then, he raises his right hand and gestures toward the ground. Finally, he says, ""oh sorry poby I will clean it up"" while maintaining eye contact with Poby.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,1.0,1.0,SUFFICIENT,"the visual description clearly depicts pororo apologizing to poby, aligning with the question about whether he apologizes for knocking down poby's things. the dialogue in the subtitles supports this action.","the description of pororo looking at poby, raising his hand, and saying ""oh sorry poby i will clean it up"" directly illustrates the apology.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"First, Eddy stands next to Poby, who is facing him. Then, Eddy raises his hand and gestures while saying, ""Poby, we are going to leave now."" Meanwhile, Poby remains still, looking at Eddy. Finally, Loopy is positioned slightly behind Eddy, observing the interaction.","eddy tells poby, ""we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""we are going to leave now.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts eddy's dialogue with poby and confirms the action of leaving, aligning with both the pure language and visual language answers.",the description of eddy gesturing and speaking to poby directly supports the dialogue provided.,False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"First, Pororo places a camera on the floor while facing Poby. Then, he turns around and begins to walk away from the camera. Poby remains standing still, facing Pororo. Finally, Pororo exits the scene, leaving the camera behind.",pororo almost forgets to leave with the camera.,pororo almost forgets to leave the camera behind with poby.,pororo almost forgets to leave the camera behind with poby.,0.5,0.5,1.0,SUFFICIENT,"the visual description clearly outlines the action of pororo leaving the camera behind, which directly answers the question.","the description states that pororo places the camera on the floor and then walks away, confirming the action of forgetting the camera.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"First, the dandelion flower is shown in a pot, visibly wilted with brown petals. Then, the camera focuses on the flower as it remains still in front of the window. Finally, the scene emphasizes the wilted state of the flower, highlighting its drooping posture.",pororo felt sad after seeing that the flower had wilted.,pororo felt sad and concerned after seeing that the flower had wilted.,pororo felt sad and concerned after seeing that the flower had wilted.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly depicts the wilted state of the flower, which aligns with pororo's emotional response of sadness.",the description of the flower's brown petals and drooping posture directly supports the emotional context of pororo feeling sad.,False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"First, Loopy stands at a table wearing a chef hat. Then, she smiles and stirs a bowl with a spoon. While stirring, Loopy looks directly at the camera. Finally, she continues to stir the bowl, indicating she is preparing food.",loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is preparing food for a picnic tomorrow, aligning perfectly with the question about who will go on a picnic and when.",the description of loopy cooking and the mention of the picnic in both the scene and subtitles support the answer.,False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","First, Crong stands with a surprised expression, opening his mouth wide. Then, he shakes his head from side to side while holding a lamp in his left hand. Finally, the lamp goes out as he continues to look around, maintaining his surprised posture.",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,"crong is scared of pororo because he is surprised and anxious in the dark, especially when his lamp goes out.","crong is scared of pororo because he is surprised and anxious in the dark, especially when his lamp goes out.",0.75,0.75,1.0,SUFFICIENT,"the visual description accurately captures crong's surprised expression and his actions with the lamp, which directly relate to why he is scared of pororo.",the description of crong's surprised expression and the lamp going out supports the understanding of his fear in the dark.,True
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"First, Loopy holds a salt bottle above the mixing bowl. Then, she tilts the salt bottle to pour a small amount of salt into the bowl. Finally, she returns the salt bottle to a resting position while continuing to mix the contents in the bowl.",loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly outlines the action of loopy adding salt to the mixing bowl, which directly answers the question.","the description details loopy holding a salt bottle and pouring salt into the bowl, confirming the action.",False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","First, Eddy stands with a wide smile, looking directly at the camera. Then, he raises his arms slightly and tilts his head back, maintaining his cheerful expression. Finally, he closes his eyes and tilts his head to the side, still smiling broadly.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.",1.0,1.0,1.0,SUFFICIENT,the visual description aligns well with the context of eddy's cheerful demeanor and supports the idea that he is discussing the ghost's actions.,eddy's wide smile and cheerful expression indicate his positive interpretation of the ghost's actions.,False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"First, Loopy sits at the table, holding a glass of juice and smiling. Then, Crong stands next to her, looking at the table. Poby is positioned to the left of Loopy, also holding a glass of juice and smiling. Eddy is in the background, standing behind Poby and Crong, looking toward the table. 

While Crong says ""crong,"" he appears to be looking at Loopy and gesturing slightly with his hands. Loopy continues to smile while looking at Crong. Poby raises his glass slightly as if to toast, maintaining a cheerful expression. Eddy remains in the background, observing the scene. 

The characters are all engaged in a relaxed gathering, with visible interactions as they drink juice and communicate.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice and enjoying each other's company.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice and enjoying each other's company.",1.0,1.0,1.0,SUFFICIENT,"the visual description provides a clear depiction of loopy and her friends engaging in the action of drinking juice and interacting, which directly answers the question.","the description details the characters sitting around the table, holding glasses of juice, and interacting with each other, confirming the actions described in the answers.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","First, Pororo stands facing Loopy, who is slightly further away. Then, Pororo tilts his head slightly and asks, ""what was it that you did a minute ago"" while looking directly at Loopy. Meanwhile, Loopy raises her hand to her face, touching it gently. Finally, Loopy looks at Pororo while maintaining her hand on her face.","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the interaction between pororo and loopy, confirming the dialogue in the question.","the description details pororo asking loopy about her previous action while she touches her face, aligning with the dialogue.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"First, Poby stands outside and scratches his head with his right paw. Then, he lowers his paw back down to his side. While doing this, he says, ""I could not sleep.""","loopy, i could not sleep.","loopy, i could not sleep.","loopy, i could not sleep.",0.5,0.5,1.0,SUFFICIENT,"the visual description accurately depicts poby's action of scratching his head and stating ""i could not sleep,"" which aligns perfectly with the question.","the description of poby scratching his head and then saying ""i could not sleep"" directly supports the dialogue.",False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"First, Poby stands with his arms outstretched and eyes closed, appearing to be in a relaxed position. Then, he tilts his head slightly to the side while maintaining his stance. Finally, he smiles broadly, indicating a cheerful demeanor.",eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,1.0,1.0,1.0,SUFFICIENT,"the visual description supports the action of poby being relaxed and cheerful, aligning with eddy's decision to help him get some sleep.","poby's relaxed stance and cheerful demeanor indicate he is in need of help to sleep, which aligns with eddy's decision.",False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"First, Pororo stands upright and raises his left arm. Then, Crong slides down from behind Pororo. Finally, Pororo looks toward Crong while saying, ""hey why did not you move.""",crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,0.0,0.0,1.0,SUFFICIENT,"the visual description clearly indicates that crong interrupts eddy while he is saying hello to loopy, aligning with the provided answers.",the description of crong sliding down behind pororo supports the action of interruption.,False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"First, Loopy stands in the center of the scene, smiling while holding a vase with flowers in it. Then, she raises the vase slightly and looks toward Eddy and Pororo, who are sitting on the ground. Finally, Loopy says, ""so go ahead ask me anything"" while maintaining her smile and holding the vase in front of her.",loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed to the group to ask her anything while holding the vase with flowers.,loopy proposed to the group to ask her anything while holding the vase with flowers.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly depicts loopy holding a vase with flowers and inviting the group to ask questions, aligning perfectly with the question asked.","the description of loopy smiling and holding the vase while saying, ""so go ahead ask me anything,"" directly supports the proposed action.",True
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"First, Pororo stands with a slight frown, looking slightly to the side. Then, he raises his eyebrows and tilts his head slightly while saying, ""what should I do."" Finally, he lowers his head and looks down, maintaining a sad expression.",pororo thought he needed to come up with a plan to cheer up crong.,pororo thought he needed to find a way to cheer up crong and himself.,pororo thought he needed to come up with a plan to cheer up crong.,0.5,0.5,0.75,SUFFICIENT,"the visual description provides relevant context about pororo's expressions and thoughts, indicating he is contemplating how to cheer up crong, which aligns with both answers. however, the slight difference in wording between the answers leads to a lower confidence level.","the description of pororo's expressions and dialogue (""what should i do"") supports the idea that he is thinking about how to cheer up crong.",False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","First, Poby, Eddy, and Loopy are positioned at the edge of a hole, looking down. Then, Poby opens his mouth wide, appearing to shout or call out. Eddy stands next to Poby, looking down with a focused expression. Loopy is also beside them, her eyes wide and her mouth open, indicating she is speaking. 

While they are looking down, they collectively express the dialogue: ""we are here to save you.""","loopy, poby, and eddy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","loopy, poby, and eddy told pororo and crong, ""we are here to save you.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the characters and their actions, confirming the dialogue they express.","the description of poby, eddy, and loopy looking down and expressing the dialogue ""we are here to save you"" aligns perfectly with the visual scene.",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"First, Loopy is smiling and facing the camera. Then, she raises her hands to her mouth while sticking out her tongue. Finally, she says, ""did you think you could play a trick on me"" while maintaining her smile and playful posture.","loopy told pororo and crong, ""did you think you could play a trick on me?""",loopy playfully asked pororo and crong if they thought they could play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""",0.75,0.75,1.0,INSUFFICIENT,"the visual description accurately captures loopy's playful demeanor and her dialogue, aligning well with the question.","the description of loopy smiling, raising her hands, and sticking out her tongue supports the playful tone of her question.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"First, Pororo stands with his arms crossed and a slight tilt of his head, looking at Eddy. Then, he raises one eyebrow and narrows his eyes while maintaining a suspicious expression. Finally, Pororo says, ""why are you hiding it as if it is some kind of treasure"" while continuing to look intently at Eddy.",pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it might be some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it might be some kind of treasure.,0.75,0.75,1.0,SUFFICIENT,"the visual description clearly illustrates pororo's actions and expressions, which align with the context of the question about what he thinks eddy is hiding.",pororo's suspicious expression and dialogue directly support the claim that he believes eddy is hiding something valuable.,False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"First, Pororo is sitting on a green sofa with a book open on his lap. Then, he looks down at the floor, focusing on something moving. Finally, he raises his head slightly and watches the wind-up toy as it moves across the floor. 

While observing the toy, Pororo says, ""the doll is moving.""",pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,0.25,0.25,1.0,SUFFICIENT,"the visual description clearly details pororo observing a wind-up toy moving on the floor, which directly answers the question.",the part where pororo looks down at the floor and watches the wind-up toy moving supports the answer.,False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"First, Loopy holds a sandwich in her right hand while smiling. Then, she extends her arm toward Eddy, offering the sandwich. Finally, Eddy reaches out with his robot arm to pick up the sandwich from Loopy's hand.",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly depicts loopy offering a sandwich to eddy, confirming the action described in both the pure language and visual language answers.",the description of loopy holding the sandwich and extending her arm towards eddy directly supports the action of giving the sandwich.,False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","First, Loopy stands with her hands on her hips, looking toward Eddy. Then, she tilts her head slightly and asks, ""Eddy, what happened?"" while maintaining eye contact with him. Meanwhile, Poby, Crong, and Pororo are positioned nearby, watching Eddy and the robot. Poby has a neutral expression, Crong appears curious, and Pororo looks attentive as they observe the scene.","loopy asks eddy, ""what happened?""","loopy asks eddy, ""eddy, what happened?"" while observing him and the robot.","loopy asks eddy, ""what happened?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description provides a clear context of loopy's interaction with eddy, confirming her question and the surrounding characters' reactions.","the description details loopy's posture and dialogue, which aligns with the question asked.",False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"First, Crong is seen standing in the center of the room, looking down at a small piece of debris on the floor. Then, he bends down and picks up the debris with both hands. After that, he stands up straight and smiles, looking pleased with his action. Meanwhile, Pororo is positioned to the side, leaning slightly toward Loopy, who is also nearby. Pororo appears to be whispering something to Loopy while looking at Crong. 

Throughout this sequence, Crong's movements are focused on cleaning, while Pororo's posture indicates he is engaged in a conversation with Loopy.",everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,"everyone felt amused and pleased watching crong happily clean the house, while pororo and loopy shared a secretive conversation.",everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,0.75,0.75,1.0,SUFFICIENT,"the visual description provides a clear depiction of crong cleaning and the interactions between pororo and loopy, aligning well with the question about how everyone felt.",the description of crong's actions and the secretive conversation between pororo and loopy supports the overall sentiment of amusement and entertainment.,False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"### Task 1 - Structured Scene Understanding:
{
  ""objects"": [
    {""name"": ""house"", ""attributes"": [""igloo-shaped"", ""snow-covered""], ""location"": [""center"", ""center""]},
    {""name"": ""snow"", ""attributes"": [""falling"", ""covering ground""], ""location"": [""foreground"", ""center""]}
  ],
  ""actions"": [
    {""subject"": ""Pororo"", ""action"": ""looking"", ""object"": ""Crong""}
  ],
  ""relationships"": [
    {""subject"": ""Pororo"", ""relation"": ""near"", ""object"": ""house""}
  ],
  ""uncertain"": [
    {""description"": ""Crong's activity"", ""location"": [""foreground"", ""center""]}
  ]
}

### Task 2 - Region-based Captions:
{
  ""left"": ""The left region is empty with snow-covered ground."",
  ""center"": ""The center region features the igloo-shaped house and falling snow."",
  ""right"": ""The right region is empty with snow-covered ground."",
  ""foreground"": ""The foreground shows snow covering the ground."",
  ""background"": ""The background has a snowy landscape with trees.""
}",crong was playing with a toy as pororo entered the house.,crong was playing with something unspecified as pororo entered the house.,crong was playing with a toy as pororo entered the house.,0.5,0.5,0.5,INSUFFICIENT,"the visual description does not provide specific information about what crong was playing with, making it insufficient to answer the question accurately.","the visual description mentions crong's activity as uncertain, which does not clarify the object involved.",False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","First, Pororo stands in the foreground with his arms outstretched and a surprised expression on his face. Then, he turns his body slightly to the right while maintaining his arm position. Finally, he says ""uh well"" while looking towards Loopy and Crong, who are positioned in the background.","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered loopy and crong with ""uh well"" while looking surprised and gesturing with his arms.","pororo answered, ""uh well,"" while moving his arms and turning around.",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts pororo's actions and expressions while he responds, aligning well with the dialogue provided in both answers.",the description of pororo's surprised expression and arm gestures directly supports the dialogue he delivers.,False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"### Task 1 - Structured Scene Understanding:
{
  ""objects"": [
    {""name"": ""Eddy"", ""attributes"": [""standing"", ""apologetic""], ""location"": [""foreground"", ""center""]},
    {""name"": ""Pororo"", ""attributes"": [""smiling"", ""friendly""], ""location"": [""foreground"", ""left""]},
    {""name"": ""snowman"", ""attributes"": [""frosty"", ""decorated""], ""location"": [""background"", ""center""]}
  ],
  ""actions"": [
    {""subject"": ""Eddy"", ""action"": ""apologizes"", ""object"": ""Pororo""}
  ],
  ""relationships"": [
    {""subject"": ""Eddy"", ""relation"": ""next to"", ""object"": ""snowman""},
    {""subject"": ""Eddy"", ""relation"": ""looking at"", ""object"": ""Pororo""},
    {""subject"": ""Pororo"", ""relation"": ""looking at"", ""object"": ""Eddy""}
  ],
  ""uncertain"": []
}

### Task 2 - Region-based Captions:
{
  ""left"": ""Pororo is smiling and looking at Eddy."",
  ""center"": ""Eddy is standing next to a snowman and is apologizing."",
  ""right"": ""Empty or unclear."",
  ""foreground"": ""Eddy and Pororo are in the foreground, interacting."",
  ""background"": ""A snowman is visible in the background.""
}",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly indicates that eddy is apologizing to pororo, which directly answers the question.",the actions and relationships described in the visual description confirm that eddy is apologizing to pororo.,False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"First, Eddy stands in front of Loopy and Poby, gesturing with his hands as he explains something. Then, Loopy claps her hands together while looking at Eddy, showing enthusiasm. Poby nods his head in agreement while maintaining eye contact with Eddy. The three characters are gathered closely together, indicating a private conversation.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.",1.0,1.0,1.0,SUFFICIENT,"the visual_description provides a clear depiction of the characters' actions and interactions, confirming that eddy, loopy, and poby were engaged in a discussion before pororo and crong arrived.",the description of eddy explaining while loopy claps and poby nods supports the actions described in the answers.,True
