row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_language_answer,predicted_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly states that ""crong misses his shot with the basketball,"" which directly answers the question about whether he scored.","the visual evidence shows the basketball near the hoop, supporting the description of crong's missed shot.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that pororo is apologizing to poby, supported by the scene description and subtitles.",the action of pororo apologizing is explicitly mentioned in the structured scene understanding.,False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description and subtitles clearly indicate that eddy tells poby they are going to leave, matching the dialogue provided.","the scene shows eddy speaking to poby, and the context supports the dialogue from the subtitles.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera that he placed on the floor.,pororo almost forgets to leave with the camera that he placed on the floor.,"0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description clearly indicates that pororo placed the camera on the floor and was about to leave, which directly answers the question about what he almost forgot.","the description states that the camera is on the floor and that pororo is leaving, which supports the conclusion.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that the flower is wilted, which aligns with the emotional response of sadness attributed to pororo. the context provided by the scene description and subtitles supports this interpretation.",the wilted dandelion in the foreground directly correlates with the emotional response of sadness.,False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy is cooking to prepare for a picnic tomorrow.,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is cooking to prepare for a picnic tomorrow, which directly answers the question of when and who will go on a picnic. the scene description and subtitles reinforce this information.","the scene description states, ""loopy is cooking to prepare tomorrow's picnic,"" and the subtitles confirm, ""we are going on a picnic tomorrow.""",True
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because he is surprised and shaken, holding a lamp that has gone out in a dark environment.","crong is scared of pororo because he is surprised and startled in the dark, holding a lamp that has gone out.","crong is scared of pororo because he is surprised and startled in the dark, holding a lamp that has gone out.","0.5,0.5,0.5",0.5,1.0,SUFFICIENT,"the visual description provides clear details about crong's actions and expressions, indicating he is surprised and shaken while holding a lamp that has gone out in a dark environment. this directly supports the reasoning for why crong is scared of pororo.",the description of crong holding the lamp and expressing surprise with an open mouth in a dark setting helped confirm the context of his fear.,False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is holding a salt bottle and sprinkling salt into the mixing bowl, which directly answers the question.","the description states that loopy is ""holding a salt bottle"" and ""sprinkling salt,"" confirming the action and the seasoning being added.",False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost ran away after seeing him, poby, and loopy.","eddy thinks the ghost ran away after seeing him, poby, and loopy.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that eddy is guessing about the ghost running away after seeing him and his friends, which aligns with the provided scene description and subtitles.",the description of eddy's action of guessing supports the conclusion about what he thinks happened to the ghost.,True
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice together.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice together.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear details about the characters, their actions, and their relationships, confirming that they are sitting around a table drinking juice.","the structured scene understanding indicates that poby, eddy, and pororo are all holding juice while sitting at the table, which directly answers the question.",True
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that pororo is asking loopy a question, and the subtitles provide the exact dialogue. this aligns perfectly with the pure language answer.","the actions described in the visual description confirm that pororo is asking loopy, and the specific dialogue is supported by the subtitles.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy would say, ""i couldn't sleep!""","""poby tells loopy, 'i could not sleep,' while scratching his head.""","""poby tells loopy, 'i could not sleep,' while scratching his head.""","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description provides clear context about poby's action of scratching his head, which aligns with the dialogue ""i could not sleep,"" indicating a moment of concern or inquiry. this supports the interaction between poby and loopy effectively.","the scene description mentions poby scratching his head, which suggests he is expressing confusion or concern, enhancing the context for the dialogue.",False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific information about eddy's decision regarding helping poby sleep, so i rely on the pure language answer, which directly states the decision.",no visual evidence was used due to insufficient description.,False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,1.0,INSUFFICIENT,"the visual description does not provide sufficient details about eddy or loopy, which are crucial for answering the question. therefore, i rely on the pure language answer.","not applicable, as the visual description lacked necessary details.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is holding a vase with flowers and smiling, which aligns with the dialogue provided in the subtitles. the phrase ""so go ahead ask me anything"" directly supports the proposal made by loopy.",the description of loopy holding the vase with flowers and the dialogue from the subtitles confirm his proposal to the group.,False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to come up with a plan to cheer crong up.,pororo thought about how to cheer up crong and make them both feel better.,pororo thought about how to cheer up crong and make them both feel better.,"0.5,0.5,0.5",0.5,0.75,SUFFICIENT,"the visual description indicates that pororo is thinking with a sad expression while next to crong, who also has a sad face. this context supports the idea that pororo is considering how to cheer up crong. however, the specific thought process is not explicitly detailed in the visual description.","the description of pororo's sad expression and his action of thinking, along with crong's sad face, provides context for understanding pororo's thoughts.",False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about poby, eddy, and loopy looking down from a hole, which aligns with the dialogue ""we are here to save you,"" confirming their intent to assist pororo and crong.","the characters' expressions and actions in the visual description support the dialogue, indicating they are engaged in a rescue.",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is smiling and talking, and the provided subtitles confirm the dialogue. this aligns perfectly with the pure language answer.","the description of loopy smiling and talking, along with the specific dialogue in the subtitles, supports the answer.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it might be a treasure.,pororo thinks eddy is hiding the map because he suspects it might be a treasure.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description provides clear context about pororo's actions and expressions, indicating his suspicion regarding eddy's hidden map, which aligns with the dialogue.","the description notes pororo's suspicious expression while asking about the map, reinforcing the idea that he suspects it might be treasure.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25,1.0,SUFFICIENT,"the visual description clearly indicates that pororo sees a wind-up toy moving on the floor, which directly answers the question.","the description specifies that pororo is sitting on a sofa and that a wind-up toy is moving on the floor, confirming the action observed.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is handing a sandwich to eddy, confirming the action and relationship between the characters.","the scene description states ""loopy hands a sandwich over to eddy,"" which directly supports the answer.",False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific dialogue or confirm what loopy asks eddy, making it insufficient to answer the question definitively. the pure language answer is consistent with the subtitles provided.",the visual description indicates characters watching eddy but does not specify any dialogue.,False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,everyone felt happy and amused watching crong cheerfully clean the house.,everyone felt happy and amused watching crong cheerfully clean the house.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description provides clear details about crong's actions and expressions, indicating that he is happily cleaning, which aligns with the feelings of amusement and happiness expressed in both answers.","the description states that ""crong is happily cleaning the floor,"" which supports the idea that everyone felt happy and amused.",True
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.75,0.75,0.5",0.75,1.0,INSUFFICIENT,"the visual description does not provide specific information about what crong was playing with, making it impossible to confirm the details needed to answer the question.",no visual evidence was used as the description was insufficient.,False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about pororo's actions and the characters involved, confirming the dialogue ""uh well"" as the response.","the description indicates pororo's position and actions, which align with the dialogue provided.",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that eddy is apologizing to pororo, confirming the context of the dialogue. the scene description and subtitles support this interaction without contradiction.",the structured scene understanding and the action description confirm that eddy is next to pororo and is apologizing.,False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear details about the actions of eddy, loopy, and poby, confirming that they were engaged in a discussion when pororo and crong arrived. the actions of clapping and nodding further support the context of their interaction.","the structured scene understanding indicates that eddy was explaining something, while loopy was clapping and poby was nodding, which aligns with the context of them discussing something secretly.",False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"the friends do not find pororo behind the snowman, as they are waving goodbye to him.","the friends do not find pororo behind the snowman, as his location remains unclear in the scene.","the friends do not find pororo behind the snowman, as his location remains unclear in the scene.","0.0,0.0,0.0",0.0,1.0,SUFFICIENT,"the visual description clearly indicates that the friends are waving goodbye to pororo, and there is uncertainty about pororo's location, which supports the conclusion that they do not find him behind the snowman.","the scene description states that ""loopy, poby, crong and eddy waves at pororo and say goodbye to pororo,"" confirming their actions and intent.",False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again.","when pororo says ""come here,"" crong tries to run away instead of approaching him.","when pororo says ""come here,"" crong tries to run away instead of approaching him.","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description clearly indicates that crong is trying to run away when pororo calls him, aligning with both answers provided.",the structured scene understanding and region-based captions confirm crong's action of attempting to run away in response to pororo's call.,False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description indicates poby's action of abandoning his fishing rod to join friends, which aligns with the context of being invited to play. the provided subtitles confirm his response as ""of course.""",the description of poby abandoning his fishing rod and going to his friends supports the context of the dialogue.,False
41,Average,,,,,,,,,0.825,0.9875,,,,7/40
