row_num,qid,video_name,gif_num,question,correct_answer,visual_description
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"First, Pororo stands with his arms crossed and tilts his head slightly to the side. Then, he raises one eyebrow and narrows his eyes while looking at Eddy. Finally, he gestures with his hand, pointing towards Eddy, while maintaining a suspicious expression. 

Pororo says, ""why are you hiding it as if it is some kind of treasure"" while looking directly at Eddy and shifting his weight from one foot to the other."
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"First, Pororo is sitting on the sofa with a book open on his lap. Then, he looks down at the floor, focusing on something moving. After that, he raises his head slightly and turns his body to the side, watching the wind-up toy as it moves across the floor. 

While observing this, Pororo says, ""the doll is moving."""
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"First, Loopy holds a sandwich in her right hand while smiling. Then, she extends her arm forward, offering the sandwich to Eddy. Eddy reaches out with his robot arm to grasp the sandwich. Finally, Eddy picks up the sandwich from Loopy's hand."
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","First, Loopy stands next to Poby, Crong, and Pororo, looking toward Eddy. Then, she raises her hands slightly and tilts her head while saying, ""Eddy, what happened?"" During this, her facial expression appears curious. 

Eddy is riding on a robot that is moving in a strange way, and he looks focused on controlling it. Poby, Crong, and Pororo are also watching Eddy and the robot, with their bodies turned toward the action."
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"1. **Visible Actions in Sequence**:
   - First, Crong is seen cleaning the floor with a small broom, moving it back and forth.
   - Then, Pororo is positioned to the side, looking toward Loopy while whispering.
   - After that, Crong continues to clean, occasionally glancing around the room.

2. **Character Behaviors**:
   - Crong is actively sweeping the floor, with a focused expression as he moves the broom.
   - Pororo leans slightly toward Loopy, maintaining a secretive posture while speaking.
   - Loopy stands nearby, facing Pororo, appearing attentive to what he is saying.

3. **Dialogue Integration**:
   - Crong says ""crong crong crong"" while continuing to sweep the floor with the broom."
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"1. **Visible Actions in Sequence**:
   - First, observe what Crong is doing before Pororo enters the house.
   - Then, note any movements or interactions Crong has with objects or other characters.
   - Finally, see how Pororo enters the house and what he does upon arrival.

2. **Character Behaviors**:
   - Look for specific actions performed by Crong, such as playing with a toy or moving around.
   - Pay attention to Pororo's actions as he searches for Crong, including any gestures or movements.

3. **Dialogue Integration**:
   - Match the dialogue from the subtitles with the actions of Pororo as he speaks.

By following these steps, you can create an objective narrative of the events in the GIF."
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","First, Pororo raises his arms and turns around to face Loopy and Crong. Then, he opens his mouth as if to speak. While doing this, he says, ""uh well."""
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"First, Eddy stands next to his snowman and looks at Pororo. Then, Eddy raises his hands slightly and says, ""I am sorry too,"" while maintaining eye contact with Pororo. Pororo smiles and tilts his head slightly, looking back at Eddy. Finally, both characters continue to face each other, with a sense of connection between them."
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"First, Eddy stands in front of Loopy and Poby, gesturing with his hands as he explains something. Then, Loopy claps her hands together enthusiastically while looking at Eddy. Poby nods his head in agreement, maintaining eye contact with Eddy. The three characters are gathered closely together, indicating a sense of secrecy in their discussion. 

While this is happening, the dialogue states, ""the friends are talking about something secretly."""
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"First, Loopy waves her hand while looking at Pororo. Then, Poby raises his hand and also waves goodbye. After that, Crong stands beside Poby and waves his hand. Finally, Eddy smiles and waves at Pororo, all while saying, ""bye pororo."" 

The characters are positioned in a line, with Loopy on the left, followed by Crong, Poby, and Eddy on the right. Each character maintains a cheerful posture while waving."
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"First, Pororo stands with his arms crossed and a serious expression on his face. Then, he looks directly at Crong while saying, ""come here."" Crong, positioned a short distance away, appears to be crouching down and looking away, indicating he is trying to run away. After that, Crong quickly turns and starts to move away from Pororo, maintaining a hesitant posture."
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","Poby says ""of course"" while walking forward with a cheerful expression. He raises his arms slightly as he approaches his friends, indicating his eagerness to join them."
