row_num,video_name,gif_num,qid,question,correct_answer,visual_desc,initial_predicted_answer,predicted_answer,evaluator_scores,accuracy,similarity,hallucination
23,Pororo_ENGLISH1_2_ep2,23,1441,what did poby's friend decide,poby's friend decided to help poby to get some sleep,This is a cartoon image from Pororo.,poby's friend decided to help him get some sleep after staying up all night together,poby's friend decided to help him get some sleep after realizing he had been awake all night reading,"1.0,1.0,1.0",1.0,0.43080848645811487,True
24,Pororo_ENGLISH1_2_ep5,19,1572,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,This is a cartoon image from Pororo.,eddy is interrupted by loopy while he is saying hello,eddy is interrupted by poby while he is saying hello to loopy,"0.25,0.25,0.25",0.25,0.6204182109765572,True
25,Pororo_ENGLISH1_2_ep5,26,1579,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,This is a cartoon image from Pororo.,"loopy proposed that the group ask the magic flower questions, claiming it would provide answers to anything they wanted to know","loopy proposed that the group ask the magic flower questions, claiming it would provide answers to anything they wanted to know","1.0,1.0,1.0",1.0,1.0,False
26,Pororo_ENGLISH1_2_ep8,43,1762,what did pororo think next?,pororo thought next: wjat should i do?,This is a cartoon image from Pororo.,pororo likely felt frustrated and uncertain about his superhero abilities after realizing he couldn't save loopy and that his trap backfired,pororo likely felt frustrated and confused about being a superhero after his trap backfired and he realized he couldn't save loopy,"0.25,0.25,0.25",0.25,0.5301663643545007,True
27,Pororo_ENGLISH1_2_ep8,48,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.",This is a cartoon image from Pororo.,"poby, eddy, and loopy expressed concern for alice's safety and discussed their superhero mission to save loopy from danger","poby, eddy, and loopy discussed their concern for alice's safety and their superhero mission to save loopy from danger","0.25,0.25,0.25",0.25,0.6591269394079485,True
28,Pororo_ENGLISH1_2_ep8,49,1768,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,This is a cartoon image from Pororo.,"loopy expressed gratitude to super pororo for coming to save her, despite not being in danger","loopy thanked super pororo for trying to save her, even though she was not in danger","0.0,0.0,0.0",0.0,0.37019030659116453,True
29,Pororo_ENGLISH1_3_ep1,15,2079,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,This is a cartoon image from Pororo.,pororo thinks eddy is hiding the map because he suspects it might lead to treasure,pororo thinks eddy is hiding the map because he suspects it is a treasure map,"0.75,0.75,0.75",0.75,0.5626289393283652,True
30,Pororo_ENGLISH1_3_ep11,1,2513,what did pororo see moving?,pororo saw the magnet moving.,This is a cartoon image from Pororo.,pororo saw a wind-up toy moving on the floor,pororo saw a wind-up toy moving on the floor,"0.0,0.0,0.0",0.0,1.0,False
31,Pororo_ENGLISH1_3_ep12,16,2575,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,This is a cartoon image from Pororo.,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy,"1.0,1.0,1.0",1.0,1.0,False
32,Pororo_ENGLISH1_3_ep12,24,2582,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",This is a cartoon image from Pororo.,loopy asks eddy what he is doing with the robot and expresses excitement about his new invention,"loopy asks eddy what he is doing with the robot and expresses excitement about his new invention, saying, ""hi poby, this is the robot that i made","0.0,0.0,0.0",0.0,0.5730558414755982,True
33,Pororo_ENGLISH1_3_ep13,18,2623,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,This is a cartoon image from Pororo.,"everyone felt surprised and amused seeing crong clean the house, as it was unexpected behavior motivated by wanting to impress santa claus","everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior motivated by his desire to impress santa claus","1.0,1.0,1.0",1.0,0.5395514708819928,True
34,Pororo_ENGLISH1_3_ep2,49,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,This is a cartoon image from Pororo.,crong was playing with a snowboard as pororo entered the house,crong was playing with a book as pororo entered the house,"0.0,0.0,0.0",0.0,0.5870124435692708,True
35,Pororo_ENGLISH1_3_ep3,31,2206,what did pororo answer to loopy and crong,"pororo said ""uh well""",This is a cartoon image from Pororo.,"pororo told loopy and crong that there was something strange on the beach, which turned out to be a gorilla toy","pororo told loopy and crong that there was something strange on the beach, which turned out to be a gorilla toy washed ashore","0.0,0.0,0.0",0.0,0.6482863905576673,True
36,Pororo_ENGLISH1_3_ep4,45,2291,whom did eddy say sorry to,eddy said sorry to pororo,This is a cartoon image from Pororo.,eddy said sorry to pororo for doubting him,eddy apologized to pororo for doubting him,"0.75,0.75,0.75",0.75,0.4891123027468488,True
37,Pororo_ENGLISH1_3_ep5,1,2298,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,This is a cartoon image from Pororo.,"eddy, loopy, and poby were secretly discussing something when pororo arrived, leading to a surprise birthday celebration for him","eddy, loopy, and poby were secretly discussing a surprise for pororo when he arrived, leading to a birthday celebration for him","1.0,1.0,1.0",1.0,0.6288851069161108,True
38,Pororo_ENGLISH1_3_ep5,25,2333,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,This is a cartoon image from Pororo.,"no, the friends do not find pororo behind the snowman; instead, they celebrate his birthday","no, the friends do not find pororo behind the snowman; they are celebrating his birthday","0.0,0.0,0.0",0.0,0.5699173875081152,True
39,Pororo_ENGLISH1_3_ep7,25,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,This is a cartoon image from Pororo.,"when pororo says ""come here,"" crong tries to run away instead of obeying","when pororo says ""come here,"" crong tries to run away instead of coming over","0.75,0.75,0.75",0.75,0.5727148671402379,True
40,Pororo_ENGLISH1_3_ep7,47,2446,what does poby say when invited to play,"he says ""of course""",This is a cartoon image from Pororo.,"poby responds enthusiastically, ""of course,"" when invited to play together","poby responds, ""of course,"" when invited to play together","1.0,1.0,1.0",1.0,0.6433299790565237,True
